2024/11/19 22:46:54 logger.go:55: 1732056414251374877 Lookup     /etc
2024/11/19 22:46:54 logger.go:55: 1732056414251473294 Lookup     /etc/host.conf
2024/11/19 22:46:54 logger.go:55: 1732056414251503482 Lookup     /etc/hosts
2024/11/19 22:46:54 logger.go:55: 1732056414251530002 Lookup     /etc/nsswitch.conf
2024/11/19 22:46:54 logger.go:55: 1732056414251552725 Lookup     /etc/resolv.conf
2024/11/19 22:46:54 logger.go:55: 1732056414251582081 Lookup     /dev
2024/11/19 22:46:54 logger.go:55: 1732056414251602139 Lookup     /sys
2024/11/19 22:46:54 logger.go:55: 1732056414251621827 Lookup     /proc
2024/11/19 22:46:54 logger.go:55: 1732056414251641234 Lookup     /tmp
2024/11/19 22:46:54 logger.go:55: 1732056414251662314 Lookup     /root
2024/11/19 22:46:54 logger.go:55: 1732056414251701549 Lookup     /opt
2024/11/19 22:46:54 logger.go:55: 1732056414251724763 Lookup     /opt/lammps
2024/11/19 22:46:54 logger.go:55: 1732056414251745813 Lookup     /opt/lammps/examples
2024/11/19 22:46:54 logger.go:55: 1732056414251770750 Lookup     /opt/lammps/examples/reax
2024/11/19 22:46:54 logger.go:55: 1732056414251797451 Lookup     /opt/lammps/examples/reax/HNS
2024/11/19 22:46:54 logger.go:55: 1732056414251919283 Lookup     /usr
2024/11/19 22:46:54 logger.go:55: 1732056414251941926 Lookup     /usr/local
2024/11/19 22:46:54 logger.go:55: 1732056414251963467 Lookup     /usr/local/sbin
2024/11/19 22:46:54 logger.go:55: 1732056414252048800 Lookup     /usr/local/bin
2024/11/19 22:46:54 logger.go:55: 1732056414252141917 Lookup     /usr/sbin
2024/11/19 22:46:54 logger.go:55: 1732056414252222711 Lookup     /usr/bin
2024/11/19 22:46:54 logger.go:55: 1732056414252255443 Lookup     /usr/bin/lmp
2024/11/19 22:46:54 logger.go:55: 1732056414252497955 Open       /usr/bin/lmp
2024/11/19 22:46:54 logger.go:55: 1732056414252571816 Close      /usr/bin/lmp
2024/11/19 22:46:54 logger.go:55: 1732056414252592846 Open       /usr/bin/lmp
