2024/11/19 22:12:15 logger.go:55: 1732054335300903684 Lookup     /etc
2024/11/19 22:12:15 logger.go:55: 1732054335301033881 Lookup     /etc/host.conf
2024/11/19 22:12:15 logger.go:55: 1732054335301071032 Lookup     /etc/hosts
2024/11/19 22:12:15 logger.go:55: 1732054335301113984 Lookup     /etc/nsswitch.conf
2024/11/19 22:12:15 logger.go:55: 1732054335301143900 Lookup     /etc/resolv.conf
2024/11/19 22:12:15 logger.go:55: 1732054335301168567 Lookup     /dev
2024/11/19 22:12:15 logger.go:55: 1732054335301193134 Lookup     /sys
2024/11/19 22:12:15 logger.go:55: 1732054335301214154 Lookup     /proc
2024/11/19 22:12:15 logger.go:55: 1732054335301235344 Lookup     /tmp
2024/11/19 22:12:15 logger.go:55: 1732054335301258578 Lookup     /root
2024/11/19 22:12:15 logger.go:55: 1732054335301303193 Lookup     /opt
2024/11/19 22:12:15 logger.go:55: 1732054335301325515 Lookup     /opt/lammps
2024/11/19 22:12:15 logger.go:55: 1732054335301353037 Lookup     /opt/lammps/examples
2024/11/19 22:12:15 logger.go:55: 1732054335301379908 Lookup     /opt/lammps/examples/reax
2024/11/19 22:12:15 logger.go:55: 1732054335301406058 Lookup     /opt/lammps/examples/reax/HNS
2024/11/19 22:12:15 logger.go:55: 1732054335301536255 Lookup     /usr
2024/11/19 22:12:15 logger.go:55: 1732054335301562846 Lookup     /usr/local
2024/11/19 22:12:15 logger.go:55: 1732054335301585609 Lookup     /usr/local/sbin
2024/11/19 22:12:15 logger.go:55: 1732054335301674648 Lookup     /usr/local/bin
2024/11/19 22:12:15 logger.go:55: 1732054335301768606 Lookup     /usr/sbin
2024/11/19 22:12:15 logger.go:55: 1732054335301862936 Lookup     /usr/bin
2024/11/19 22:12:15 logger.go:55: 1732054335301896810 Lookup     /usr/bin/lmp
2024/11/19 22:12:15 logger.go:55: 1732054335302195697 Open       /usr/bin/lmp
2024/11/19 22:12:15 logger.go:55: 1732054335302286349 Close      /usr/bin/lmp
2024/11/19 22:12:15 logger.go:55: 1732054335302309403 Open       /usr/bin/lmp
2024/11/19 22:12:15 logger.go:55: 1732054335302369628 Lookup     /lib64
2024/11/19 22:12:15 logger.go:55: 1732054335302415134 Lookup     /usr/lib64
2024/11/19 22:12:15 logger.go:55: 1732054335302492601 Lookup     /usr/lib64/ld-linux-x86-64.so.2
2024/11/19 22:12:15 logger.go:55: 1732054335302557544 Lookup     /lib
2024/11/19 22:12:15 logger.go:55: 1732054335302591950 Lookup     /usr/lib
2024/11/19 22:12:15 logger.go:55: 1732054335302660289 Lookup     /usr/lib/x86_64-linux-gnu
2024/11/19 22:12:15 logger.go:55: 1732054335302684004 Lookup     /usr/lib/x86_64-linux-gnu/ld-linux-x86-64.so.2
2024/11/19 22:12:15 logger.go:55: 1732054335302747826 Close      /usr/bin/lmp
2024/11/19 22:12:15 logger.go:55: 1732054335302765990 Open       /usr/lib/x86_64-linux-gnu/ld-linux-x86-64.so.2
2024/11/19 22:12:15 logger.go:55: 1732054335302819872 Close      /usr/lib/x86_64-linux-gnu/ld-linux-x86-64.so.2
2024/11/19 22:12:15 logger.go:55: 1732054335303411155 Open       /usr/bin/lmp
2024/11/19 22:12:15 logger.go:55: 1732054335303670337 Close      /usr/bin/lmp
2024/11/19 22:12:15 logger.go:55: 1732054335303900033 Open       /usr/lib/x86_64-linux-gnu/ld-linux-x86-64.so.2
2024/11/19 22:12:15 logger.go:55: 1732054335304089182 Close      /usr/lib/x86_64-linux-gnu/ld-linux-x86-64.so.2
2024/11/19 22:12:15 logger.go:55: 1732054335304552592 Lookup     /opt/software
2024/11/19 22:12:15 logger.go:55: 1732054335304588751 Lookup     /opt/software/linux-rocky9-x86_64
2024/11/19 22:12:15 logger.go:55: 1732054335304614480 Lookup     /opt/software/linux-rocky9-x86_64/gcc-11.4.1
2024/11/19 22:12:15 logger.go:55: 1732054335304639868 Lookup     /opt/software/linux-rocky9-x86_64/gcc-11.4.1/flux-core-0.61.2-va52p5ph7ylanopgk7ranjgtjgc2wb5y
2024/11/19 22:12:15 logger.go:55: 1732054335304684483 Lookup     /opt/software/linux-rocky9-x86_64/gcc-11.4.1/flux-core-0.61.2-va52p5ph7ylanopgk7ranjgtjgc2wb5y/lib
2024/11/19 22:12:15 logger.go:55: 1732054335304710462 Lookup     /opt/software/linux-rocky9-x86_64/gcc-11.4.1/flux-core-0.61.2-va52p5ph7ylanopgk7ranjgtjgc2wb5y/lib/flux
2024/11/19 22:12:15 logger.go:55: 1732054335306913354 Lookup     /etc/ld.so.cache
2024/11/19 22:12:15 logger.go:55: 1732054335306949563 Open       /etc/ld.so.cache
2024/11/19 22:12:15 logger.go:55: 1732054335307043411 Close      /etc/ld.so.cache
2024/11/19 22:12:15 logger.go:55: 1732054335307208465 Lookup     /usr/lib/x86_64-linux-gnu/libmpich.so.12
2024/11/19 22:12:15 logger.go:55: 1732054335307252067 Lookup     /usr/lib/x86_64-linux-gnu/libmpich.so.12.2.0
2024/11/19 22:12:15 logger.go:55: 1732054335307320157 Open       /usr/lib/x86_64-linux-gnu/libmpich.so.12.2.0
2024/11/19 22:12:15 logger.go:55: 1732054335307600469 Close      /usr/lib/x86_64-linux-gnu/libmpich.so.12.2.0
2024/11/19 22:12:15 logger.go:55: 1732054335307928952 Lookup     /usr/lib/x86_64-linux-gnu/libgomp.so.1
2024/11/19 22:12:15 logger.go:55: 1732054335307976202 Lookup     /usr/lib/x86_64-linux-gnu/libgomp.so.1.0.0
2024/11/19 22:12:15 logger.go:55: 1732054335308041717 Open       /usr/lib/x86_64-linux-gnu/libgomp.so.1.0.0
2024/11/19 22:12:15 logger.go:55: 1732054335308323401 Close      /usr/lib/x86_64-linux-gnu/libgomp.so.1.0.0
2024/11/19 22:12:15 logger.go:55: 1732054335308621848 Lookup     /usr/lib/x86_64-linux-gnu/libstdc++.so.6
2024/11/19 22:12:15 logger.go:55: 1732054335308656183 Lookup     /usr/lib/x86_64-linux-gnu/libstdc++.so.6.0.30
2024/11/19 22:12:15 logger.go:55: 1732054335308726877 Open       /usr/lib/x86_64-linux-gnu/libstdc++.so.6.0.30
2024/11/19 22:12:15 logger.go:55: 1732054335309041665 Close      /usr/lib/x86_64-linux-gnu/libstdc++.so.6.0.30
2024/11/19 22:12:15 logger.go:55: 1732054335309401348 Lookup     /usr/lib/x86_64-linux-gnu/libm.so.6
2024/11/19 22:12:15 logger.go:55: 1732054335309437727 Open       /usr/lib/x86_64-linux-gnu/libm.so.6
2024/11/19 22:12:15 logger.go:55: 1732054335309714883 Close      /usr/lib/x86_64-linux-gnu/libm.so.6
2024/11/19 22:12:15 logger.go:55: 1732054335310012999 Lookup     /usr/lib/x86_64-linux-gnu/libgcc_s.so.1
2024/11/19 22:12:15 logger.go:55: 1732054335310046293 Open       /usr/lib/x86_64-linux-gnu/libgcc_s.so.1
2024/11/19 22:12:15 logger.go:55: 1732054335310307899 Close      /usr/lib/x86_64-linux-gnu/libgcc_s.so.1
2024/11/19 22:12:15 logger.go:55: 1732054335310533417 Lookup     /usr/lib/x86_64-linux-gnu/libc.so.6
2024/11/19 22:12:15 logger.go:55: 1732054335310569816 Open       /usr/lib/x86_64-linux-gnu/libc.so.6
2024/11/19 22:12:15 logger.go:55: 1732054335310981117 Close      /usr/lib/x86_64-linux-gnu/libc.so.6
2024/11/19 22:12:15 logger.go:55: 1732054335311319219 Lookup     /usr/lib/x86_64-linux-gnu/libhwloc.so.15
2024/11/19 22:12:15 logger.go:55: 1732054335311363423 Lookup     /usr/lib/x86_64-linux-gnu/libhwloc.so.15.5.2
2024/11/19 22:12:15 logger.go:55: 1732054335311430070 Open       /usr/lib/x86_64-linux-gnu/libhwloc.so.15.5.2
2024/11/19 22:12:15 logger.go:55: 1732054335311694131 Close      /usr/lib/x86_64-linux-gnu/libhwloc.so.15.5.2
2024/11/19 22:12:15 logger.go:55: 1732054335311990844 Lookup     /usr/lib/x86_64-linux-gnu/libfabric.so.1
2024/11/19 22:12:15 logger.go:55: 1732054335312030961 Lookup     /usr/lib/x86_64-linux-gnu/libfabric.so.1.14.0
2024/11/19 22:12:15 logger.go:55: 1732054335312107917 Open       /usr/lib/x86_64-linux-gnu/libfabric.so.1.14.0
2024/11/19 22:12:15 logger.go:55: 1732054335312422273 Close      /usr/lib/x86_64-linux-gnu/libfabric.so.1.14.0
2024/11/19 22:12:15 logger.go:55: 1732054335312658252 Lookup     /usr/lib/x86_64-linux-gnu/libudev.so.1
2024/11/19 22:12:15 logger.go:55: 1732054335312692246 Lookup     /usr/lib/x86_64-linux-gnu/libudev.so.1.7.2
