2024/11/19 18:15:42 logger.go:55: 1732040142594803557 Lookup     /etc
2024/11/19 18:15:42 logger.go:55: 1732040142594950263 Lookup     /etc/host.conf
2024/11/19 18:15:42 logger.go:55: 1732040142594983155 Lookup     /etc/hosts
2024/11/19 18:15:42 logger.go:55: 1732040142595013923 Lookup     /etc/nsswitch.conf
2024/11/19 18:15:42 logger.go:55: 1732040142595042026 Lookup     /etc/resolv.conf
2024/11/19 18:15:42 logger.go:55: 1732040142595067934 Lookup     /dev
2024/11/19 18:15:42 logger.go:55: 1732040142595093603 Lookup     /sys
2024/11/19 18:15:42 logger.go:55: 1732040142595122677 Lookup     /proc
2024/11/19 18:15:42 logger.go:55: 1732040142595151902 Lookup     /tmp
2024/11/19 18:15:42 logger.go:55: 1732040142595175006 Lookup     /root
2024/11/19 18:15:42 logger.go:55: 1732040142595225320 Lookup     /opt
2024/11/19 18:15:42 logger.go:55: 1732040142595249075 Lookup     /opt/lammps
2024/11/19 18:15:42 logger.go:55: 1732040142595278771 Lookup     /opt/lammps/examples
2024/11/19 18:15:42 logger.go:55: 1732040142595316471 Lookup     /opt/lammps/examples/reaxff
2024/11/19 18:15:42 logger.go:55: 1732040142595351367 Lookup     /opt/lammps/examples/reaxff/HNS
2024/11/19 18:15:42 logger.go:55: 1732040142595512690 Lookup     /usr
2024/11/19 18:15:42 logger.go:55: 1732040142595551072 Lookup     /usr/local
2024/11/19 18:15:42 logger.go:55: 1732040142595581269 Lookup     /usr/local/sbin
2024/11/19 18:15:42 logger.go:55: 1732040142595673052 Lookup     /usr/local/bin
2024/11/19 18:15:42 logger.go:55: 1732040142595776075 Lookup     /usr/sbin
2024/11/19 18:15:42 logger.go:55: 1732040142595874971 Lookup     /usr/bin
2024/11/19 18:15:42 logger.go:55: 1732040142595905469 Lookup     /usr/bin/lmp
2024/11/19 18:15:42 logger.go:55: 1732040142596235709 Open       /usr/bin/lmp
2024/11/19 18:15:42 logger.go:55: 1732040142596361396 Close      /usr/bin/lmp
2024/11/19 18:15:42 logger.go:55: 1732040142596397564 Open       /usr/bin/lmp
2024/11/19 18:15:42 logger.go:55: 1732040142596478005 Lookup     /lib64
2024/11/19 18:15:42 logger.go:55: 1732040142596541975 Lookup     /usr/lib64
2024/11/19 18:15:42 logger.go:55: 1732040142596638457 Lookup     /usr/lib64/ld-linux-x86-64.so.2
2024/11/19 18:15:42 logger.go:55: 1732040142596704100 Lookup     /lib
2024/11/19 18:15:42 logger.go:55: 1732040142596739857 Lookup     /usr/lib
2024/11/19 18:15:42 logger.go:55: 1732040142596809829 Lookup     /usr/lib/x86_64-linux-gnu
2024/11/19 18:15:42 logger.go:55: 1732040142596833984 Lookup     /usr/lib/x86_64-linux-gnu/ld-linux-x86-64.so.2
2024/11/19 18:15:42 logger.go:55: 1732040142596961714 Close      /usr/bin/lmp
2024/11/19 18:15:42 logger.go:55: 1732040142596980840 Open       /usr/lib/x86_64-linux-gnu/ld-linux-x86-64.so.2
2024/11/19 18:15:42 logger.go:55: 1732040142597039080 Close      /usr/lib/x86_64-linux-gnu/ld-linux-x86-64.so.2
2024/11/19 18:15:42 logger.go:55: 1732040142597679393 Open       /usr/bin/lmp
2024/11/19 18:15:42 logger.go:55: 1732040142597958558 Close      /usr/bin/lmp
2024/11/19 18:15:42 logger.go:55: 1732040142598200703 Open       /usr/lib/x86_64-linux-gnu/ld-linux-x86-64.so.2
2024/11/19 18:15:42 logger.go:55: 1732040142598429032 Close      /usr/lib/x86_64-linux-gnu/ld-linux-x86-64.so.2
2024/11/19 18:15:42 logger.go:55: 1732040142598861455 Lookup     /opt/software
2024/11/19 18:15:42 logger.go:55: 1732040142598891381 Lookup     /opt/software/linux-rocky9-x86_64
2024/11/19 18:15:42 logger.go:55: 1732040142598916188 Lookup     /opt/software/linux-rocky9-x86_64/gcc-11.4.1
2024/11/19 18:15:42 logger.go:55: 1732040142598941135 Lookup     /opt/software/linux-rocky9-x86_64/gcc-11.4.1/flux-core-0.61.2-va52p5ph7ylanopgk7ranjgtjgc2wb5y
2024/11/19 18:15:42 logger.go:55: 1732040142598969819 Lookup     /opt/software/linux-rocky9-x86_64/gcc-11.4.1/flux-core-0.61.2-va52p5ph7ylanopgk7ranjgtjgc2wb5y/lib
2024/11/19 18:15:42 logger.go:55: 1732040142598995277 Lookup     /opt/software/linux-rocky9-x86_64/gcc-11.4.1/flux-core-0.61.2-va52p5ph7ylanopgk7ranjgtjgc2wb5y/lib/flux
2024/11/19 18:15:42 logger.go:55: 1732040142601447156 Lookup     /etc/ld.so.cache
2024/11/19 18:15:42 logger.go:55: 1732040142601484346 Open       /etc/ld.so.cache
2024/11/19 18:15:42 logger.go:55: 1732040142601579144 Close      /etc/ld.so.cache
2024/11/19 18:15:42 logger.go:55: 1732040142601718897 Lookup     /usr/lib/x86_64-linux-gnu/libgomp.so.1
2024/11/19 18:15:42 logger.go:55: 1732040142601758992 Lookup     /usr/lib/x86_64-linux-gnu/libgomp.so.1.0.0
2024/11/19 18:15:42 logger.go:55: 1732040142601825667 Open       /usr/lib/x86_64-linux-gnu/libgomp.so.1.0.0
2024/11/19 18:15:42 logger.go:55: 1732040142602088040 Close      /usr/lib/x86_64-linux-gnu/libgomp.so.1.0.0
2024/11/19 18:15:42 logger.go:55: 1732040142602419433 Lookup     /usr/lib/x86_64-linux-gnu/libmpich.so.12
2024/11/19 18:15:42 logger.go:55: 1732040142602462524 Lookup     /usr/lib/x86_64-linux-gnu/libmpich.so.12.2.0
2024/11/19 18:15:42 logger.go:55: 1732040142602541042 Open       /usr/lib/x86_64-linux-gnu/libmpich.so.12.2.0
2024/11/19 18:15:42 logger.go:55: 1732040142602823443 Close      /usr/lib/x86_64-linux-gnu/libmpich.so.12.2.0
2024/11/19 18:15:42 logger.go:55: 1732040142603128266 Lookup     /usr/lib/x86_64-linux-gnu/libstdc++.so.6
2024/11/19 18:15:42 logger.go:55: 1732040142603166568 Lookup     /usr/lib/x86_64-linux-gnu/libstdc++.so.6.0.30
2024/11/19 18:15:42 logger.go:55: 1732040142603231700 Open       /usr/lib/x86_64-linux-gnu/libstdc++.so.6.0.30
2024/11/19 18:15:42 logger.go:55: 1732040142603547784 Close      /usr/lib/x86_64-linux-gnu/libstdc++.so.6.0.30
2024/11/19 18:15:42 logger.go:55: 1732040142603851946 Lookup     /usr/lib/x86_64-linux-gnu/libm.so.6
2024/11/19 18:15:42 logger.go:55: 1732040142603892502 Open       /usr/lib/x86_64-linux-gnu/libm.so.6
2024/11/19 18:15:42 logger.go:55: 1732040142604186315 Close      /usr/lib/x86_64-linux-gnu/libm.so.6
2024/11/19 18:15:42 logger.go:55: 1732040142604477392 Lookup     /usr/lib/x86_64-linux-gnu/libgcc_s.so.1
2024/11/19 18:15:42 logger.go:55: 1732040142604512117 Open       /usr/lib/x86_64-linux-gnu/libgcc_s.so.1
2024/11/19 18:15:42 logger.go:55: 1732040142604764021 Close      /usr/lib/x86_64-linux-gnu/libgcc_s.so.1
2024/11/19 18:15:42 logger.go:55: 1732040142604983654 Lookup     /usr/lib/x86_64-linux-gnu/libc.so.6
2024/11/19 18:15:42 logger.go:55: 1732040142605022276 Open       /usr/lib/x86_64-linux-gnu/libc.so.6
2024/11/19 18:15:42 logger.go:55: 1732040142605437026 Close      /usr/lib/x86_64-linux-gnu/libc.so.6
2024/11/19 18:15:42 logger.go:55: 1732040142605755124 Lookup     /usr/lib/x86_64-linux-gnu/libhwloc.so.15
2024/11/19 18:15:42 logger.go:55: 1732040142605797002 Lookup     /usr/lib/x86_64-linux-gnu/libhwloc.so.15.5.2
2024/11/19 18:15:42 logger.go:55: 1732040142605861123 Open       /usr/lib/x86_64-linux-gnu/libhwloc.so.15.5.2
2024/11/19 18:15:42 logger.go:55: 1732040142606134737 Close      /usr/lib/x86_64-linux-gnu/libhwloc.so.15.5.2
2024/11/19 18:15:42 logger.go:55: 1732040142606440843 Lookup     /usr/lib/x86_64-linux-gnu/libfabric.so.1
2024/11/19 18:15:42 logger.go:55: 1732040142606479345 Lookup     /usr/lib/x86_64-linux-gnu/libfabric.so.1.14.0
2024/11/19 18:15:42 logger.go:55: 1732040142606550328 Open       /usr/lib/x86_64-linux-gnu/libfabric.so.1.14.0
2024/11/19 18:15:42 logger.go:55: 1732040142606850362 Close      /usr/lib/x86_64-linux-gnu/libfabric.so.1.14.0
2024/11/19 18:15:42 logger.go:55: 1732040142607074364 Lookup     /usr/lib/x86_64-linux-gnu/libudev.so.1
2024/11/19 18:15:42 logger.go:55: 1732040142607115731 Lookup     /usr/lib/x86_64-linux-gnu/libudev.so.1.7.2
2024/11/19 18:15:42 logger.go:55: 1732040142607192536 Open       /usr/lib/x86_64-linux-gnu/libudev.so.1.7.2
2024/11/19 18:15:42 logger.go:55: 1732040142607477441 Close      /usr/lib/x86_64-linux-gnu/libudev.so.1.7.2
2024/11/19 18:15:42 logger.go:55: 1732040142607719536 Lookup     /usr/lib/x86_64-linux-gnu/librdmacm.so.1
2024/11/19 18:15:42 logger.go:55: 1732040142607766645 Lookup     /usr/lib/x86_64-linux-gnu/librdmacm.so.1.3.39.0
2024/11/19 18:15:42 logger.go:55: 1732040142607839742 Open       /usr/lib/x86_64-linux-gnu/librdmacm.so.1.3.39.0
2024/11/19 18:15:42 logger.go:55: 1732040142608130779 Close      /usr/lib/x86_64-linux-gnu/librdmacm.so.1.3.39.0
2024/11/19 18:15:42 logger.go:55: 1732040142608367254 Lookup     /usr/lib/x86_64-linux-gnu/libefa.so.1
2024/11/19 18:15:42 logger.go:55: 1732040142608406377 Lookup     /usr/lib/x86_64-linux-gnu/libefa.so.1.1.39.0
2024/11/19 18:15:42 logger.go:55: 1732040142608474656 Open       /usr/lib/x86_64-linux-gnu/libefa.so.1.1.39.0
2024/11/19 18:15:42 logger.go:55: 1732040142608740566 Close      /usr/lib/x86_64-linux-gnu/libefa.so.1.1.39.0
