2024/11/19 19:03:05 logger.go:55: 1732042985792186774 Lookup     /etc
2024/11/19 19:03:05 logger.go:55: 1732042985792315848 Lookup     /etc/host.conf
2024/11/19 19:03:05 logger.go:55: 1732042985792348650 Lookup     /etc/hosts
2024/11/19 19:03:05 logger.go:55: 1732042985792377956 Lookup     /etc/nsswitch.conf
2024/11/19 19:03:05 logger.go:55: 1732042985792402983 Lookup     /etc/resolv.conf
2024/11/19 19:03:05 logger.go:55: 1732042985792429894 Lookup     /dev
2024/11/19 19:03:05 logger.go:55: 1732042985792449942 Lookup     /sys
2024/11/19 19:03:05 logger.go:55: 1732042985792470922 Lookup     /proc
2024/11/19 19:03:05 logger.go:55: 1732042985792493204 Lookup     /tmp
2024/11/19 19:03:05 logger.go:55: 1732042985792516418 Lookup     /root
2024/11/19 19:03:05 logger.go:55: 1732042985792557486 Lookup     /opt
2024/11/19 19:03:05 logger.go:55: 1732042985792582262 Lookup     /opt/lammps
2024/11/19 19:03:05 logger.go:55: 1732042985792604885 Lookup     /opt/lammps/examples
2024/11/19 19:03:05 logger.go:55: 1732042985792630774 Lookup     /opt/lammps/examples/reaxff
2024/11/19 19:03:05 logger.go:55: 1732042985792657174 Lookup     /opt/lammps/examples/reaxff/HNS
2024/11/19 19:03:05 logger.go:55: 1732042985792778294 Lookup     /usr
2024/11/19 19:03:05 logger.go:55: 1732042985792804744 Lookup     /usr/local
2024/11/19 19:03:05 logger.go:55: 1732042985792825703 Lookup     /usr/local/sbin
2024/11/19 19:03:05 logger.go:55: 1732042985792915333 Lookup     /usr/local/bin
2024/11/19 19:03:05 logger.go:55: 1732042985793003159 Lookup     /usr/sbin
2024/11/19 19:03:05 logger.go:55: 1732042985793088361 Lookup     /usr/bin
2024/11/19 19:03:05 logger.go:55: 1732042985793128366 Lookup     /usr/bin/lmp
2024/11/19 19:03:05 logger.go:55: 1732042985793399289 Open       /usr/bin/lmp
2024/11/19 19:03:05 logger.go:55: 1732042985793482036 Close      /usr/bin/lmp
2024/11/19 19:03:05 logger.go:55: 1732042985793513525 Open       /usr/bin/lmp
2024/11/19 19:03:05 logger.go:55: 1732042985793566846 Lookup     /lib64
2024/11/19 19:03:05 logger.go:55: 1732042985793608816 Lookup     /usr/lib64
2024/11/19 19:03:05 logger.go:55: 1732042985793675332 Lookup     /usr/lib64/ld-linux-x86-64.so.2
2024/11/19 19:03:05 logger.go:55: 1732042985793739263 Lookup     /lib
2024/11/19 19:03:05 logger.go:55: 1732042985793770863 Lookup     /usr/lib
2024/11/19 19:03:05 logger.go:55: 1732042985793838340 Lookup     /usr/lib/x86_64-linux-gnu
2024/11/19 19:03:05 logger.go:55: 1732042985793861013 Lookup     /usr/lib/x86_64-linux-gnu/ld-linux-x86-64.so.2
2024/11/19 19:03:05 logger.go:55: 1732042985793924934 Close      /usr/bin/lmp
2024/11/19 19:03:05 logger.go:55: 1732042985793943519 Open       /usr/lib/x86_64-linux-gnu/ld-linux-x86-64.so.2
2024/11/19 19:03:05 logger.go:55: 1732042985793996339 Close      /usr/lib/x86_64-linux-gnu/ld-linux-x86-64.so.2
2024/11/19 19:03:05 logger.go:55: 1732042985794567911 Open       /usr/bin/lmp
2024/11/19 19:03:05 logger.go:55: 1732042985794831561 Close      /usr/bin/lmp
2024/11/19 19:03:05 logger.go:55: 1732042985795046257 Open       /usr/lib/x86_64-linux-gnu/ld-linux-x86-64.so.2
2024/11/19 19:03:05 logger.go:55: 1732042985795243541 Close      /usr/lib/x86_64-linux-gnu/ld-linux-x86-64.so.2
2024/11/19 19:03:05 logger.go:55: 1732042985795985505 Lookup     /opt/software
2024/11/19 19:03:05 logger.go:55: 1732042985796024419 Lookup     /opt/software/linux-rocky9-x86_64
2024/11/19 19:03:05 logger.go:55: 1732042985796056650 Lookup     /opt/software/linux-rocky9-x86_64/gcc-11.4.1
2024/11/19 19:03:05 logger.go:55: 1732042985796090814 Lookup     /opt/software/linux-rocky9-x86_64/gcc-11.4.1/flux-core-0.61.2-va52p5ph7ylanopgk7ranjgtjgc2wb5y
2024/11/19 19:03:05 logger.go:55: 1732042985796198969 Lookup     /opt/software/linux-rocky9-x86_64/gcc-11.4.1/flux-core-0.61.2-va52p5ph7ylanopgk7ranjgtjgc2wb5y/lib
2024/11/19 19:03:05 logger.go:55: 1732042985796232072 Lookup     /opt/software/linux-rocky9-x86_64/gcc-11.4.1/flux-core-0.61.2-va52p5ph7ylanopgk7ranjgtjgc2wb5y/lib/flux
2024/11/19 19:03:05 logger.go:55: 1732042985798406929 Lookup     /etc/ld.so.cache
2024/11/19 19:03:05 logger.go:55: 1732042985798440633 Open       /etc/ld.so.cache
2024/11/19 19:03:05 logger.go:55: 1732042985798536504 Close      /etc/ld.so.cache
2024/11/19 19:03:05 logger.go:55: 1732042985798674075 Lookup     /usr/lib/x86_64-linux-gnu/libgomp.so.1
2024/11/19 19:03:05 logger.go:55: 1732042985798713179 Lookup     /usr/lib/x86_64-linux-gnu/libgomp.so.1.0.0
2024/11/19 19:03:05 logger.go:55: 1732042985798780777 Open       /usr/lib/x86_64-linux-gnu/libgomp.so.1.0.0
2024/11/19 19:03:05 logger.go:55: 1732042985799043384 Close      /usr/lib/x86_64-linux-gnu/libgomp.so.1.0.0
2024/11/19 19:03:05 logger.go:55: 1732042985799357979 Lookup     /usr/lib/x86_64-linux-gnu/libmpich.so.12
2024/11/19 19:03:05 logger.go:55: 1732042985799404768 Lookup     /usr/lib/x86_64-linux-gnu/libmpich.so.12.2.0
2024/11/19 19:03:05 logger.go:55: 1732042985799469020 Open       /usr/lib/x86_64-linux-gnu/libmpich.so.12.2.0
2024/11/19 19:03:05 logger.go:55: 1732042985799750312 Close      /usr/lib/x86_64-linux-gnu/libmpich.so.12.2.0
2024/11/19 19:03:05 logger.go:55: 1732042985800047625 Lookup     /usr/lib/x86_64-linux-gnu/libstdc++.so.6
2024/11/19 19:03:05 logger.go:55: 1732042985800081269 Lookup     /usr/lib/x86_64-linux-gnu/libstdc++.so.6.0.30
2024/11/19 19:03:05 logger.go:55: 1732042985800159447 Open       /usr/lib/x86_64-linux-gnu/libstdc++.so.6.0.30
2024/11/19 19:03:05 logger.go:55: 1732042985800458853 Close      /usr/lib/x86_64-linux-gnu/libstdc++.so.6.0.30
2024/11/19 19:03:05 logger.go:55: 1732042985800742130 Lookup     /usr/lib/x86_64-linux-gnu/libm.so.6
2024/11/19 19:03:05 logger.go:55: 1732042985800775222 Open       /usr/lib/x86_64-linux-gnu/libm.so.6
2024/11/19 19:03:05 logger.go:55: 1732042985801033331 Close      /usr/lib/x86_64-linux-gnu/libm.so.6
2024/11/19 19:03:05 logger.go:55: 1732042985801318391 Lookup     /usr/lib/x86_64-linux-gnu/libgcc_s.so.1
2024/11/19 19:03:05 logger.go:55: 1732042985801354399 Open       /usr/lib/x86_64-linux-gnu/libgcc_s.so.1
2024/11/19 19:03:05 logger.go:55: 1732042985801593181 Close      /usr/lib/x86_64-linux-gnu/libgcc_s.so.1
2024/11/19 19:03:05 logger.go:55: 1732042985801807036 Lookup     /usr/lib/x86_64-linux-gnu/libc.so.6
2024/11/19 19:03:05 logger.go:55: 1732042985801841691 Open       /usr/lib/x86_64-linux-gnu/libc.so.6
2024/11/19 19:03:05 logger.go:55: 1732042985802239374 Close      /usr/lib/x86_64-linux-gnu/libc.so.6
2024/11/19 19:03:05 logger.go:55: 1732042985802535885 Lookup     /usr/lib/x86_64-linux-gnu/libhwloc.so.15
2024/11/19 19:03:05 logger.go:55: 1732042985802575691 Lookup     /usr/lib/x86_64-linux-gnu/libhwloc.so.15.5.2
2024/11/19 19:03:05 logger.go:55: 1732042985802638870 Open       /usr/lib/x86_64-linux-gnu/libhwloc.so.15.5.2
2024/11/19 19:03:05 logger.go:55: 1732042985802892781 Close      /usr/lib/x86_64-linux-gnu/libhwloc.so.15.5.2
2024/11/19 19:03:05 logger.go:55: 1732042985803214350 Lookup     /usr/lib/x86_64-linux-gnu/libfabric.so.1
2024/11/19 19:03:05 logger.go:55: 1732042985803256720 Lookup     /usr/lib/x86_64-linux-gnu/libfabric.so.1.14.0
2024/11/19 19:03:05 logger.go:55: 1732042985803328276 Open       /usr/lib/x86_64-linux-gnu/libfabric.so.1.14.0
2024/11/19 19:03:05 logger.go:55: 1732042985803646237 Close      /usr/lib/x86_64-linux-gnu/libfabric.so.1.14.0
2024/11/19 19:03:05 logger.go:55: 1732042985803952077 Lookup     /usr/lib/x86_64-linux-gnu/libudev.so.1
2024/11/19 19:03:05 logger.go:55: 1732042985803997573 Lookup     /usr/lib/x86_64-linux-gnu/libudev.so.1.7.2
2024/11/19 19:03:05 logger.go:55: 1732042985804067265 Open       /usr/lib/x86_64-linux-gnu/libudev.so.1.7.2
2024/11/19 19:03:05 logger.go:55: 1732042985804611054 Close      /usr/lib/x86_64-linux-gnu/libudev.so.1.7.2
2024/11/19 19:03:05 logger.go:55: 1732042985805092255 Lookup     /usr/lib/x86_64-linux-gnu/librdmacm.so.1
2024/11/19 19:03:05 logger.go:55: 1732042985805150074 Lookup     /usr/lib/x86_64-linux-gnu/librdmacm.so.1.3.39.0
2024/11/19 19:03:05 logger.go:55: 1732042985805223393 Open       /usr/lib/x86_64-linux-gnu/librdmacm.so.1.3.39.0
2024/11/19 19:03:05 logger.go:55: 1732042985805607741 Close      /usr/lib/x86_64-linux-gnu/librdmacm.so.1.3.39.0
2024/11/19 19:03:05 logger.go:55: 1732042985805854137 Lookup     /usr/lib/x86_64-linux-gnu/libefa.so.1
