2024/11/19 23:40:03 logger.go:55: 1732059603786654535 Lookup     /etc
2024/11/19 23:40:03 logger.go:55: 1732059603786810233 Lookup     /etc/host.conf
2024/11/19 23:40:03 logger.go:55: 1732059603786847314 Lookup     /etc/hosts
2024/11/19 23:40:03 logger.go:55: 1732059603786874717 Lookup     /etc/nsswitch.conf
2024/11/19 23:40:03 logger.go:55: 1732059603786904664 Lookup     /etc/resolv.conf
2024/11/19 23:40:03 logger.go:55: 1732059603786927678 Lookup     /dev
2024/11/19 23:40:03 logger.go:55: 1732059603786948237 Lookup     /sys
2024/11/19 23:40:03 logger.go:55: 1732059603786970169 Lookup     /proc
2024/11/19 23:40:03 logger.go:55: 1732059603786996971 Lookup     /tmp
2024/11/19 23:40:03 logger.go:55: 1732059603787019714 Lookup     /root
2024/11/19 23:40:03 logger.go:55: 1732059603787067426 Lookup     /opt
2024/11/19 23:40:03 logger.go:55: 1732059603787089879 Lookup     /opt/lammps
2024/11/19 23:40:03 logger.go:55: 1732059603787121269 Lookup     /opt/lammps/examples
2024/11/19 23:40:03 logger.go:55: 1732059603787151667 Lookup     /opt/lammps/examples/reax
2024/11/19 23:40:03 logger.go:55: 1732059603787176625 Lookup     /opt/lammps/examples/reax/HNS
2024/11/19 23:40:03 logger.go:55: 1732059603787315120 Lookup     /usr
2024/11/19 23:40:03 logger.go:55: 1732059603787346149 Lookup     /usr/local
2024/11/19 23:40:03 logger.go:55: 1732059603787369775 Lookup     /usr/local/sbin
2024/11/19 23:40:03 logger.go:55: 1732059603787459707 Lookup     /usr/local/bin
2024/11/19 23:40:03 logger.go:55: 1732059603787545681 Lookup     /usr/sbin
2024/11/19 23:40:03 logger.go:55: 1732059603787636986 Lookup     /usr/bin
2024/11/19 23:40:03 logger.go:55: 1732059603787669769 Lookup     /usr/bin/lmp
2024/11/19 23:40:03 logger.go:55: 1732059603787996304 Open       /usr/bin/lmp
2024/11/19 23:40:03 logger.go:55: 1732059603788080836 Close      /usr/bin/lmp
2024/11/19 23:40:03 logger.go:55: 1732059603788114220 Open       /usr/bin/lmp
2024/11/19 23:40:03 logger.go:55: 1732059603788177161 Lookup     /lib64
2024/11/19 23:40:03 logger.go:55: 1732059603788218380 Lookup     /usr/lib64
2024/11/19 23:40:03 logger.go:55: 1732059603788297341 Lookup     /usr/lib64/ld-linux-x86-64.so.2
2024/11/19 23:40:03 logger.go:55: 1732059603788370561 Lookup     /lib
2024/11/19 23:40:03 logger.go:55: 1732059603788414726 Lookup     /usr/lib
2024/11/19 23:40:03 logger.go:55: 1732059603788487765 Lookup     /usr/lib/x86_64-linux-gnu
2024/11/19 23:40:03 logger.go:55: 1732059603788512723 Lookup     /usr/lib/x86_64-linux-gnu/ld-linux-x86-64.so.2
2024/11/19 23:40:03 logger.go:55: 1732059603788574712 Close      /usr/bin/lmp
2024/11/19 23:40:03 logger.go:55: 1732059603788593267 Open       /usr/lib/x86_64-linux-gnu/ld-linux-x86-64.so.2
2024/11/19 23:40:03 logger.go:55: 1732059603788649465 Close      /usr/lib/x86_64-linux-gnu/ld-linux-x86-64.so.2
2024/11/19 23:40:03 logger.go:55: 1732059603789256127 Open       /usr/bin/lmp
2024/11/19 23:40:03 logger.go:55: 1732059603789482941 Close      /usr/bin/lmp
2024/11/19 23:40:03 logger.go:55: 1732059603789714805 Open       /usr/lib/x86_64-linux-gnu/ld-linux-x86-64.so.2
2024/11/19 23:40:03 logger.go:55: 1732059603789930969 Close      /usr/lib/x86_64-linux-gnu/ld-linux-x86-64.so.2
2024/11/19 23:40:03 logger.go:55: 1732059603792047111 Lookup     /opt/software
2024/11/19 23:40:03 logger.go:55: 1732059603792093821 Lookup     /opt/software/linux-rocky9-x86_64
2024/11/19 23:40:03 logger.go:55: 1732059603792153465 Lookup     /opt/software/linux-rocky9-x86_64/gcc-11.4.1
2024/11/19 23:40:03 logger.go:55: 1732059603792192179 Lookup     /opt/software/linux-rocky9-x86_64/gcc-11.4.1/flux-core-0.61.2-va52p5ph7ylanopgk7ranjgtjgc2wb5y
2024/11/19 23:40:03 logger.go:55: 1732059603792245762 Lookup     /opt/software/linux-rocky9-x86_64/gcc-11.4.1/flux-core-0.61.2-va52p5ph7ylanopgk7ranjgtjgc2wb5y/lib
2024/11/19 23:40:03 logger.go:55: 1732059603792280087 Lookup     /opt/software/linux-rocky9-x86_64/gcc-11.4.1/flux-core-0.61.2-va52p5ph7ylanopgk7ranjgtjgc2wb5y/lib/flux
2024/11/19 23:40:03 logger.go:55: 1732059603794664874 Lookup     /etc/ld.so.cache
2024/11/19 23:40:03 logger.go:55: 1732059603794704259 Open       /etc/ld.so.cache
2024/11/19 23:40:03 logger.go:55: 1732059603794800583 Close      /etc/ld.so.cache
2024/11/19 23:40:03 logger.go:55: 1732059603794951663 Lookup     /usr/lib/x86_64-linux-gnu/libmpich.so.12
2024/11/19 23:40:03 logger.go:55: 1732059603794994835 Lookup     /usr/lib/x86_64-linux-gnu/libmpich.so.12.2.0
2024/11/19 23:40:03 logger.go:55: 1732059603795062665 Open       /usr/lib/x86_64-linux-gnu/libmpich.so.12.2.0
2024/11/19 23:40:03 logger.go:55: 1732059603795379913 Close      /usr/lib/x86_64-linux-gnu/libmpich.so.12.2.0
2024/11/19 23:40:03 logger.go:55: 1732059603795684747 Lookup     /usr/lib/x86_64-linux-gnu/libstdc++.so.6
2024/11/19 23:40:03 logger.go:55: 1732059603795733159 Lookup     /usr/lib/x86_64-linux-gnu/libstdc++.so.6.0.30
2024/11/19 23:40:03 logger.go:55: 1732059603795799556 Open       /usr/lib/x86_64-linux-gnu/libstdc++.so.6.0.30
2024/11/19 23:40:03 logger.go:55: 1732059603796113307 Close      /usr/lib/x86_64-linux-gnu/libstdc++.so.6.0.30
2024/11/19 23:40:03 logger.go:55: 1732059603796438780 Lookup     /usr/lib/x86_64-linux-gnu/libm.so.6
2024/11/19 23:40:03 logger.go:55: 1732059603796473727 Open       /usr/lib/x86_64-linux-gnu/libm.so.6
2024/11/19 23:40:03 logger.go:55: 1732059603796735168 Close      /usr/lib/x86_64-linux-gnu/libm.so.6
2024/11/19 23:40:03 logger.go:55: 1732059603797028460 Lookup     /usr/lib/x86_64-linux-gnu/libgcc_s.so.1
2024/11/19 23:40:03 logger.go:55: 1732059603797062324 Open       /usr/lib/x86_64-linux-gnu/libgcc_s.so.1
2024/11/19 23:40:03 logger.go:55: 1732059603797338133 Close      /usr/lib/x86_64-linux-gnu/libgcc_s.so.1
2024/11/19 23:40:03 logger.go:55: 1732059603797568824 Lookup     /usr/lib/x86_64-linux-gnu/libc.so.6
2024/11/19 23:40:03 logger.go:55: 1732059603797610254 Open       /usr/lib/x86_64-linux-gnu/libc.so.6
2024/11/19 23:40:03 logger.go:55: 1732059603797999399 Close      /usr/lib/x86_64-linux-gnu/libc.so.6
