2024/11/19 22:43:16 logger.go:55: 1732056196470624999 Lookup     /etc
2024/11/19 22:43:16 logger.go:55: 1732056196470732083 Lookup     /etc/host.conf
2024/11/19 22:43:16 logger.go:55: 1732056196470764334 Lookup     /etc/hosts
2024/11/19 22:43:16 logger.go:55: 1732056196470792488 Lookup     /etc/nsswitch.conf
2024/11/19 22:43:16 logger.go:55: 1732056196470819840 Lookup     /etc/resolv.conf
2024/11/19 22:43:16 logger.go:55: 1732056196470845800 Lookup     /dev
2024/11/19 22:43:16 logger.go:55: 1732056196470866669 Lookup     /sys
2024/11/19 22:43:16 logger.go:55: 1732056196470891236 Lookup     /proc
2024/11/19 22:43:16 logger.go:55: 1732056196470915923 Lookup     /tmp
2024/11/19 22:43:16 logger.go:55: 1732056196470938546 Lookup     /root
2024/11/19 22:43:16 logger.go:55: 1732056196470982901 Lookup     /opt
2024/11/19 22:43:16 logger.go:55: 1732056196471005313 Lookup     /opt/lammps
2024/11/19 22:43:16 logger.go:55: 1732056196471027526 Lookup     /opt/lammps/examples
2024/11/19 22:43:16 logger.go:55: 1732056196471056912 Lookup     /opt/lammps/examples/reax
2024/11/19 22:43:16 logger.go:55: 1732056196471083903 Lookup     /opt/lammps/examples/reax/HNS
2024/11/19 22:43:16 logger.go:55: 1732056196471219431 Lookup     /usr
2024/11/19 22:43:16 logger.go:55: 1732056196471246763 Lookup     /usr/local
2024/11/19 22:43:16 logger.go:55: 1732056196471270228 Lookup     /usr/local/sbin
2024/11/19 22:43:16 logger.go:55: 1732056196471359197 Lookup     /usr/local/bin
2024/11/19 22:43:16 logger.go:55: 1732056196471447916 Lookup     /usr/sbin
2024/11/19 22:43:16 logger.go:55: 1732056196471534341 Lookup     /usr/bin
2024/11/19 22:43:16 logger.go:55: 1732056196471567584 Lookup     /usr/bin/lmp
2024/11/19 22:43:16 logger.go:55: 1732056196471832699 Open       /usr/bin/lmp
2024/11/19 22:43:16 logger.go:55: 1732056196471915377 Close      /usr/bin/lmp
2024/11/19 22:43:16 logger.go:55: 1732056196471940765 Open       /usr/bin/lmp
2024/11/19 22:43:16 logger.go:55: 1732056196471991893 Lookup     /lib64
2024/11/19 22:43:16 logger.go:55: 1732056196472033762 Lookup     /usr/lib64
2024/11/19 22:43:16 logger.go:55: 1732056196472097173 Lookup     /usr/lib64/ld-linux-x86-64.so.2
2024/11/19 22:43:16 logger.go:55: 1732056196472176334 Lookup     /lib
2024/11/19 22:43:16 logger.go:55: 1732056196472216661 Lookup     /usr/lib
2024/11/19 22:43:16 logger.go:55: 1732056196472285893 Lookup     /usr/lib/x86_64-linux-gnu
2024/11/19 22:43:16 logger.go:55: 1732056196472309508 Lookup     /usr/lib/x86_64-linux-gnu/ld-linux-x86-64.so.2
2024/11/19 22:43:16 logger.go:55: 1732056196472372057 Close      /usr/bin/lmp
2024/11/19 22:43:16 logger.go:55: 1732056196472391063 Open       /usr/lib/x86_64-linux-gnu/ld-linux-x86-64.so.2
2024/11/19 22:43:16 logger.go:55: 1732056196472446849 Close      /usr/lib/x86_64-linux-gnu/ld-linux-x86-64.so.2
2024/11/19 22:43:16 logger.go:55: 1732056196472995174 Open       /usr/bin/lmp
2024/11/19 22:43:16 logger.go:55: 1732056196473275387 Close      /usr/bin/lmp
2024/11/19 22:43:16 logger.go:55: 1732056196473509734 Open       /usr/lib/x86_64-linux-gnu/ld-linux-x86-64.so.2
2024/11/19 22:43:16 logger.go:55: 1732056196473729282 Close      /usr/lib/x86_64-linux-gnu/ld-linux-x86-64.so.2
2024/11/19 22:43:16 logger.go:55: 1732056196474291773 Lookup     /opt/software
2024/11/19 22:43:16 logger.go:55: 1732056196474325407 Lookup     /opt/software/linux-rocky9-x86_64
2024/11/19 22:43:16 logger.go:55: 1732056196474349513 Lookup     /opt/software/linux-rocky9-x86_64/gcc-11.4.1
2024/11/19 22:43:16 logger.go:55: 1732056196474375733 Lookup     /opt/software/linux-rocky9-x86_64/gcc-11.4.1/flux-core-0.61.2-va52p5ph7ylanopgk7ranjgtjgc2wb5y
2024/11/19 22:43:16 logger.go:55: 1732056196474423314 Lookup     /opt/software/linux-rocky9-x86_64/gcc-11.4.1/flux-core-0.61.2-va52p5ph7ylanopgk7ranjgtjgc2wb5y/lib
2024/11/19 22:43:16 logger.go:55: 1732056196474447660 Lookup     /opt/software/linux-rocky9-x86_64/gcc-11.4.1/flux-core-0.61.2-va52p5ph7ylanopgk7ranjgtjgc2wb5y/lib/flux
2024/11/19 22:43:16 logger.go:55: 1732056196476648422 Lookup     /etc/ld.so.cache
2024/11/19 22:43:16 logger.go:55: 1732056196476683910 Open       /etc/ld.so.cache
2024/11/19 22:43:16 logger.go:55: 1732056196476775775 Close      /etc/ld.so.cache
2024/11/19 22:43:16 logger.go:55: 1732056196476908908 Lookup     /usr/lib/x86_64-linux-gnu/libmpich.so.12
2024/11/19 22:43:16 logger.go:55: 1732056196476949085 Lookup     /usr/lib/x86_64-linux-gnu/libmpich.so.12.2.0
2024/11/19 22:43:16 logger.go:55: 1732056196477024789 Open       /usr/lib/x86_64-linux-gnu/libmpich.so.12.2.0
2024/11/19 22:43:16 logger.go:55: 1732056196477324790 Close      /usr/lib/x86_64-linux-gnu/libmpich.so.12.2.0
2024/11/19 22:43:16 logger.go:55: 1732056196477650711 Lookup     /usr/lib/x86_64-linux-gnu/libgomp.so.1
2024/11/19 22:43:16 logger.go:55: 1732056196477697300 Lookup     /usr/lib/x86_64-linux-gnu/libgomp.so.1.0.0
2024/11/19 22:43:16 logger.go:55: 1732056196477766482 Open       /usr/lib/x86_64-linux-gnu/libgomp.so.1.0.0
2024/11/19 22:43:16 logger.go:55: 1732056196478018902 Close      /usr/lib/x86_64-linux-gnu/libgomp.so.1.0.0
2024/11/19 22:43:16 logger.go:55: 1732056196478332349 Lookup     /usr/lib/x86_64-linux-gnu/libstdc++.so.6
2024/11/19 22:43:16 logger.go:55: 1732056196478370071 Lookup     /usr/lib/x86_64-linux-gnu/libstdc++.so.6.0.30
2024/11/19 22:43:16 logger.go:55: 1732056196478441868 Open       /usr/lib/x86_64-linux-gnu/libstdc++.so.6.0.30
2024/11/19 22:43:16 logger.go:55: 1732056196478745687 Close      /usr/lib/x86_64-linux-gnu/libstdc++.so.6.0.30
2024/11/19 22:43:16 logger.go:55: 1732056196479058032 Lookup     /usr/lib/x86_64-linux-gnu/libm.so.6
2024/11/19 22:43:16 logger.go:55: 1732056196479101705 Open       /usr/lib/x86_64-linux-gnu/libm.so.6
2024/11/19 22:43:16 logger.go:55: 1732056196479410202 Close      /usr/lib/x86_64-linux-gnu/libm.so.6
2024/11/19 22:43:16 logger.go:55: 1732056196479877783 Lookup     /usr/lib/x86_64-linux-gnu/libgcc_s.so.1
2024/11/19 22:43:16 logger.go:55: 1732056196479911988 Open       /usr/lib/x86_64-linux-gnu/libgcc_s.so.1
2024/11/19 22:43:16 logger.go:55: 1732056196480203554 Close      /usr/lib/x86_64-linux-gnu/libgcc_s.so.1
2024/11/19 22:43:16 logger.go:55: 1732056196480425797 Lookup     /usr/lib/x86_64-linux-gnu/libc.so.6
2024/11/19 22:43:16 logger.go:55: 1732056196480462968 Open       /usr/lib/x86_64-linux-gnu/libc.so.6
2024/11/19 22:43:16 logger.go:55: 1732056196480893257 Close      /usr/lib/x86_64-linux-gnu/libc.so.6
2024/11/19 22:43:16 logger.go:55: 1732056196481260978 Lookup     /usr/lib/x86_64-linux-gnu/libhwloc.so.15
2024/11/19 22:43:16 logger.go:55: 1732056196481303339 Lookup     /usr/lib/x86_64-linux-gnu/libhwloc.so.15.5.2
2024/11/19 22:43:16 logger.go:55: 1732056196481367851 Open       /usr/lib/x86_64-linux-gnu/libhwloc.so.15.5.2
2024/11/19 22:43:16 logger.go:55: 1732056196481621364 Close      /usr/lib/x86_64-linux-gnu/libhwloc.so.15.5.2
2024/11/19 22:43:16 logger.go:55: 1732056196481917088 Lookup     /usr/lib/x86_64-linux-gnu/libfabric.so.1
2024/11/19 22:43:16 logger.go:55: 1732056196481955551 Lookup     /usr/lib/x86_64-linux-gnu/libfabric.so.1.14.0
2024/11/19 22:43:16 logger.go:55: 1732056196482028149 Open       /usr/lib/x86_64-linux-gnu/libfabric.so.1.14.0
2024/11/19 22:43:16 logger.go:55: 1732056196482371784 Close      /usr/lib/x86_64-linux-gnu/libfabric.so.1.14.0
2024/11/19 22:43:16 logger.go:55: 1732056196482609757 Lookup     /usr/lib/x86_64-linux-gnu/libudev.so.1
2024/11/19 22:43:16 logger.go:55: 1732056196482643942 Lookup     /usr/lib/x86_64-linux-gnu/libudev.so.1.7.2
2024/11/19 22:43:16 logger.go:55: 1732056196482707483 Open       /usr/lib/x86_64-linux-gnu/libudev.so.1.7.2
2024/11/19 22:43:16 logger.go:55: 1732056196482985242 Close      /usr/lib/x86_64-linux-gnu/libudev.so.1.7.2
