2024/11/19 23:08:19 logger.go:55: 1732057699127708838 Lookup     /etc
2024/11/19 23:08:19 logger.go:55: 1732057699127869275 Lookup     /etc/host.conf
2024/11/19 23:08:19 logger.go:55: 1732057699127927482 Lookup     /etc/hosts
2024/11/19 23:08:19 logger.go:55: 1732057699127972836 Lookup     /etc/nsswitch.conf
2024/11/19 23:08:19 logger.go:55: 1732057699128011347 Lookup     /etc/resolv.conf
2024/11/19 23:08:19 logger.go:55: 1732057699128038247 Lookup     /dev
2024/11/19 23:08:19 logger.go:55: 1732057699128061590 Lookup     /sys
2024/11/19 23:08:19 logger.go:55: 1732057699128085475 Lookup     /proc
2024/11/19 23:08:19 logger.go:55: 1732057699128116953 Lookup     /tmp
2024/11/19 23:08:19 logger.go:55: 1732057699128148441 Lookup     /root
2024/11/19 23:08:19 logger.go:55: 1732057699128199656 Lookup     /opt
2024/11/19 23:08:19 logger.go:55: 1732057699128226435 Lookup     /opt/lammps
2024/11/19 23:08:19 logger.go:55: 1732057699128251191 Lookup     /opt/lammps/examples
2024/11/19 23:08:19 logger.go:55: 1732057699128283361 Lookup     /opt/lammps/examples/reax
2024/11/19 23:08:19 logger.go:55: 1732057699128312184 Lookup     /opt/lammps/examples/reax/HNS
2024/11/19 23:08:19 logger.go:55: 1732057699128446803 Lookup     /usr
2024/11/19 23:08:19 logger.go:55: 1732057699128473913 Lookup     /usr/local
2024/11/19 23:08:19 logger.go:55: 1732057699128513286 Lookup     /usr/local/sbin
2024/11/19 23:08:19 logger.go:55: 1732057699128607080 Lookup     /usr/local/bin
2024/11/19 23:08:19 logger.go:55: 1732057699128704690 Lookup     /usr/sbin
2024/11/19 23:08:19 logger.go:55: 1732057699128802471 Lookup     /usr/bin
2024/11/19 23:08:19 logger.go:55: 1732057699128837606 Lookup     /usr/bin/lmp
2024/11/19 23:08:19 logger.go:55: 1732057699129269526 Open       /usr/bin/lmp
2024/11/19 23:08:19 logger.go:55: 1732057699129391682 Close      /usr/bin/lmp
2024/11/19 23:08:19 logger.go:55: 1732057699129417289 Open       /usr/bin/lmp
2024/11/19 23:08:19 logger.go:55: 1732057699129485595 Lookup     /lib64
2024/11/19 23:08:19 logger.go:55: 1732057699129528866 Lookup     /usr/lib64
2024/11/19 23:08:19 logger.go:55: 1732057699129602913 Lookup     /usr/lib64/ld-linux-x86-64.so.2
2024/11/19 23:08:19 logger.go:55: 1732057699129677380 Lookup     /lib
2024/11/19 23:08:19 logger.go:55: 1732057699129708658 Lookup     /usr/lib
2024/11/19 23:08:19 logger.go:55: 1732057699129780621 Lookup     /usr/lib/x86_64-linux-gnu
2024/11/19 23:08:19 logger.go:55: 1732057699129808663 Lookup     /usr/lib/x86_64-linux-gnu/ld-linux-x86-64.so.2
2024/11/19 23:08:19 logger.go:55: 1732057699129869887 Close      /usr/bin/lmp
2024/11/19 23:08:19 logger.go:55: 1732057699129890715 Open       /usr/lib/x86_64-linux-gnu/ld-linux-x86-64.so.2
2024/11/19 23:08:19 logger.go:55: 1732057699129940678 Close      /usr/lib/x86_64-linux-gnu/ld-linux-x86-64.so.2
2024/11/19 23:08:19 logger.go:55: 1732057699130775202 Open       /usr/bin/lmp
2024/11/19 23:08:19 logger.go:55: 1732057699131049369 Close      /usr/bin/lmp
2024/11/19 23:08:19 logger.go:55: 1732057699131294874 Open       /usr/lib/x86_64-linux-gnu/ld-linux-x86-64.so.2
2024/11/19 23:08:19 logger.go:55: 1732057699131505864 Close      /usr/lib/x86_64-linux-gnu/ld-linux-x86-64.so.2
2024/11/19 23:08:19 logger.go:55: 1732057699132094984 Lookup     /opt/software
2024/11/19 23:08:19 logger.go:55: 1732057699132139366 Lookup     /opt/software/linux-rocky9-x86_64
2024/11/19 23:08:19 logger.go:55: 1732057699132168140 Lookup     /opt/software/linux-rocky9-x86_64/gcc-11.4.1
2024/11/19 23:08:19 logger.go:55: 1732057699132199087 Lookup     /opt/software/linux-rocky9-x86_64/gcc-11.4.1/flux-core-0.61.2-va52p5ph7ylanopgk7ranjgtjgc2wb5y
2024/11/19 23:08:19 logger.go:55: 1732057699132255772 Lookup     /opt/software/linux-rocky9-x86_64/gcc-11.4.1/flux-core-0.61.2-va52p5ph7ylanopgk7ranjgtjgc2wb5y/lib
2024/11/19 23:08:19 logger.go:55: 1732057699132294824 Lookup     /opt/software/linux-rocky9-x86_64/gcc-11.4.1/flux-core-0.61.2-va52p5ph7ylanopgk7ranjgtjgc2wb5y/lib/flux
2024/11/19 23:08:19 logger.go:55: 1732057699134742383 Lookup     /etc/ld.so.cache
2024/11/19 23:08:19 logger.go:55: 1732057699134795762 Open       /etc/ld.so.cache
2024/11/19 23:08:19 logger.go:55: 1732057699134905735 Close      /etc/ld.so.cache
2024/11/19 23:08:19 logger.go:55: 1732057699135060702 Lookup     /usr/lib/x86_64-linux-gnu/libmpich.so.12
2024/11/19 23:08:19 logger.go:55: 1732057699135129630 Lookup     /usr/lib/x86_64-linux-gnu/libmpich.so.12.2.0
2024/11/19 23:08:19 logger.go:55: 1732057699135209518 Open       /usr/lib/x86_64-linux-gnu/libmpich.so.12.2.0
2024/11/19 23:08:19 logger.go:55: 1732057699135531243 Close      /usr/lib/x86_64-linux-gnu/libmpich.so.12.2.0
2024/11/19 23:08:19 logger.go:55: 1732057699135859039 Lookup     /usr/lib/x86_64-linux-gnu/libstdc++.so.6
2024/11/19 23:08:19 logger.go:55: 1732057699135903061 Lookup     /usr/lib/x86_64-linux-gnu/libstdc++.so.6.0.30
2024/11/19 23:08:19 logger.go:55: 1732057699135977028 Open       /usr/lib/x86_64-linux-gnu/libstdc++.so.6.0.30
2024/11/19 23:08:19 logger.go:55: 1732057699136344408 Close      /usr/lib/x86_64-linux-gnu/libstdc++.so.6.0.30
2024/11/19 23:08:19 logger.go:55: 1732057699136683585 Lookup     /usr/lib/x86_64-linux-gnu/libm.so.6
2024/11/19 23:08:19 logger.go:55: 1732057699136735321 Open       /usr/lib/x86_64-linux-gnu/libm.so.6
2024/11/19 23:08:19 logger.go:55: 1732057699137029616 Close      /usr/lib/x86_64-linux-gnu/libm.so.6
2024/11/19 23:08:19 logger.go:55: 1732057699137344208 Lookup     /usr/lib/x86_64-linux-gnu/libgcc_s.so.1
2024/11/19 23:08:19 logger.go:55: 1732057699137382729 Open       /usr/lib/x86_64-linux-gnu/libgcc_s.so.1
2024/11/19 23:08:19 logger.go:55: 1732057699137701018 Close      /usr/lib/x86_64-linux-gnu/libgcc_s.so.1
2024/11/19 23:08:19 logger.go:55: 1732057699137951281 Lookup     /usr/lib/x86_64-linux-gnu/libc.so.6
2024/11/19 23:08:19 logger.go:55: 1732057699137989111 Open       /usr/lib/x86_64-linux-gnu/libc.so.6
2024/11/19 23:08:19 logger.go:55: 1732057699138500678 Close      /usr/lib/x86_64-linux-gnu/libc.so.6
2024/11/19 23:08:19 logger.go:55: 1732057699139007516 Lookup     /usr/lib/x86_64-linux-gnu/libhwloc.so.15
2024/11/19 23:08:19 logger.go:55: 1732057699139073738 Lookup     /usr/lib/x86_64-linux-gnu/libhwloc.so.15.5.2
2024/11/19 23:08:19 logger.go:55: 1732057699139252619 Open       /usr/lib/x86_64-linux-gnu/libhwloc.so.15.5.2
2024/11/19 23:08:19 logger.go:55: 1732057699139626161 Close      /usr/lib/x86_64-linux-gnu/libhwloc.so.15.5.2
2024/11/19 23:08:19 logger.go:55: 1732057699140072106 Lookup     /usr/lib/x86_64-linux-gnu/libfabric.so.1
2024/11/19 23:08:19 logger.go:55: 1732057699140154298 Lookup     /usr/lib/x86_64-linux-gnu/libfabric.so.1.14.0
2024/11/19 23:08:19 logger.go:55: 1732057699140243262 Open       /usr/lib/x86_64-linux-gnu/libfabric.so.1.14.0
2024/11/19 23:08:19 logger.go:55: 1732057699140729172 Close      /usr/lib/x86_64-linux-gnu/libfabric.so.1.14.0
2024/11/19 23:08:19 logger.go:55: 1732057699141027724 Lookup     /usr/lib/x86_64-linux-gnu/libudev.so.1
2024/11/19 23:08:19 logger.go:55: 1732057699141074891 Lookup     /usr/lib/x86_64-linux-gnu/libudev.so.1.7.2
2024/11/19 23:08:19 logger.go:55: 1732057699141157023 Open       /usr/lib/x86_64-linux-gnu/libudev.so.1.7.2
2024/11/19 23:08:19 logger.go:55: 1732057699141528310 Close      /usr/lib/x86_64-linux-gnu/libudev.so.1.7.2
2024/11/19 23:08:19 logger.go:55: 1732057699141856097 Lookup     /usr/lib/x86_64-linux-gnu/librdmacm.so.1
2024/11/19 23:08:19 logger.go:55: 1732057699141924604 Lookup     /usr/lib/x86_64-linux-gnu/librdmacm.so.1.3.39.0
2024/11/19 23:08:19 logger.go:55: 1732057699142008950 Open       /usr/lib/x86_64-linux-gnu/librdmacm.so.1.3.39.0
2024/11/19 23:08:19 logger.go:55: 1732057699142343910 Close      /usr/lib/x86_64-linux-gnu/librdmacm.so.1.3.39.0
2024/11/19 23:08:19 logger.go:55: 1732057699142606606 Lookup     /usr/lib/x86_64-linux-gnu/libefa.so.1
2024/11/19 23:08:19 logger.go:55: 1732057699142658923 Lookup     /usr/lib/x86_64-linux-gnu/libefa.so.1.1.39.0
2024/11/19 23:08:19 logger.go:55: 1732057699142753017 Open       /usr/lib/x86_64-linux-gnu/libefa.so.1.1.39.0
2024/11/19 23:08:19 logger.go:55: 1732057699143010243 Close      /usr/lib/x86_64-linux-gnu/libefa.so.1.1.39.0
2024/11/19 23:08:19 logger.go:55: 1732057699143287446 Lookup     /usr/lib/x86_64-linux-gnu/libibverbs.so.1
2024/11/19 23:08:19 logger.go:55: 1732057699143339562 Lookup     /usr/lib/x86_64-linux-gnu/libibverbs.so.1.14.39.0
2024/11/19 23:08:19 logger.go:55: 1732057699143414922 Open       /usr/lib/x86_64-linux-gnu/libibverbs.so.1.14.39.0
2024/11/19 23:08:19 logger.go:55: 1732057699143704828 Close      /usr/lib/x86_64-linux-gnu/libibverbs.so.1.14.39.0
2024/11/19 23:08:19 logger.go:55: 1732057699143950663 Lookup     /usr/lib/x86_64-linux-gnu/libpsm_infinipath.so.1
2024/11/19 23:08:19 logger.go:55: 1732057699144068932 Lookup     /etc/alternatives
2024/11/19 23:08:19 logger.go:55: 1732057699144093828 Lookup     /etc/alternatives/libpsm_infinipath.so.1
2024/11/19 23:08:19 logger.go:55: 1732057699144178775 Lookup     /usr/lib/libpsm1
2024/11/19 23:08:19 logger.go:55: 1732057699144207548 Lookup     /usr/lib/libpsm1/libpsm_infinipath.so.1.16
2024/11/19 23:08:19 logger.go:55: 1732057699144249015 Open       /usr/lib/libpsm1/libpsm_infinipath.so.1.16
2024/11/19 23:08:19 logger.go:55: 1732057699144580228 Close      /usr/lib/libpsm1/libpsm_infinipath.so.1.16
2024/11/19 23:08:19 logger.go:55: 1732057699144901352 Lookup     /usr/lib/x86_64-linux-gnu/libpsm2.so.2
2024/11/19 23:08:19 logger.go:55: 1732057699144952146 Lookup     /usr/lib/x86_64-linux-gnu/libpsm2.so.2.2
2024/11/19 23:08:19 logger.go:55: 1732057699145040219 Open       /usr/lib/x86_64-linux-gnu/libpsm2.so.2.2
2024/11/19 23:08:19 logger.go:55: 1732057699145369038 Close      /usr/lib/x86_64-linux-gnu/libpsm2.so.2.2
