2024/11/19 01:17:10 logger.go:55: 1731979030831220550 Lookup     /etc
2024/11/19 01:17:10 logger.go:55: 1731979030831361980 Lookup     /etc/host.conf
2024/11/19 01:17:10 logger.go:55: 1731979030831462212 Lookup     /etc/hosts
2024/11/19 01:17:10 logger.go:55: 1731979030831515614 Lookup     /etc/nsswitch.conf
2024/11/19 01:17:10 logger.go:55: 1731979030831552574 Lookup     /etc/resolv.conf
2024/11/19 01:17:10 logger.go:55: 1731979030831589114 Lookup     /dev
2024/11/19 01:17:10 logger.go:55: 1731979030831618230 Lookup     /sys
2024/11/19 01:17:10 logger.go:55: 1731979030831649820 Lookup     /proc
2024/11/19 01:17:10 logger.go:55: 1731979030831687232 Lookup     /tmp
2024/11/19 01:17:10 logger.go:55: 1731979030831717109 Lookup     /root
2024/11/19 01:17:10 logger.go:55: 1731979030831787013 Lookup     /opt
2024/11/19 01:17:10 logger.go:55: 1731979030831827049 Lookup     /opt/lammps
2024/11/19 01:17:10 logger.go:55: 1731979030831860132 Lookup     /opt/lammps/examples
2024/11/19 01:17:10 logger.go:55: 1731979030831905639 Lookup     /opt/lammps/examples/reax
2024/11/19 01:17:10 logger.go:55: 1731979030831941007 Lookup     /opt/lammps/examples/reax/HNS
2024/11/19 01:17:10 logger.go:55: 1731979030832128004 Lookup     /usr
2024/11/19 01:17:10 logger.go:55: 1731979030832173481 Lookup     /usr/local
2024/11/19 01:17:10 logger.go:55: 1731979030832205763 Lookup     /usr/local/sbin
2024/11/19 01:17:10 logger.go:55: 1731979030832343236 Lookup     /usr/local/bin
2024/11/19 01:17:10 logger.go:55: 1731979030832469176 Lookup     /usr/sbin
2024/11/19 01:17:10 logger.go:55: 1731979030832592663 Lookup     /usr/bin
2024/11/19 01:17:10 logger.go:55: 1731979030832634332 Lookup     /usr/bin/lmp
2024/11/19 01:17:10 logger.go:55: 1731979030833005231 Open       /usr/bin/lmp
2024/11/19 01:17:10 logger.go:55: 1731979030833152843 Open       /usr/bin/lmp
2024/11/19 01:17:10 logger.go:55: 1731979030833256431 Lookup     /lib64
2024/11/19 01:17:10 logger.go:55: 1731979030833322868 Lookup     /usr/lib64
2024/11/19 01:17:10 logger.go:55: 1731979030833418481 Lookup     /usr/lib64/ld-linux-x86-64.so.2
2024/11/19 01:17:10 logger.go:55: 1731979030833521378 Lookup     /lib
2024/11/19 01:17:10 logger.go:55: 1731979030833568778 Lookup     /usr/lib
2024/11/19 01:17:10 logger.go:55: 1731979030833668419 Lookup     /usr/lib/x86_64-linux-gnu
2024/11/19 01:17:10 logger.go:55: 1731979030833708135 Lookup     /usr/lib/x86_64-linux-gnu/ld-linux-x86-64.so.2
2024/11/19 01:17:10 logger.go:55: 1731979030833817995 Open       /usr/lib/x86_64-linux-gnu/ld-linux-x86-64.so.2
2024/11/19 01:17:10 logger.go:55: 1731979030834702686 Open       /usr/bin/lmp
2024/11/19 01:17:10 logger.go:55: 1731979030835418734 Open       /usr/lib/x86_64-linux-gnu/ld-linux-x86-64.so.2
2024/11/19 01:17:10 logger.go:55: 1731979030836581517 Lookup     /opt/software
2024/11/19 01:17:10 logger.go:55: 1731979030836629689 Lookup     /opt/software/linux-rocky9-x86_64
2024/11/19 01:17:10 logger.go:55: 1731979030836663193 Lookup     /opt/software/linux-rocky9-x86_64/gcc-11.4.1
2024/11/19 01:17:10 logger.go:55: 1731979030836705063 Lookup     /opt/software/linux-rocky9-x86_64/gcc-11.4.1/flux-core-0.61.2-va52p5ph7ylanopgk7ranjgtjgc2wb5y
2024/11/19 01:17:10 logger.go:55: 1731979030836750149 Lookup     /opt/software/linux-rocky9-x86_64/gcc-11.4.1/flux-core-0.61.2-va52p5ph7ylanopgk7ranjgtjgc2wb5y/lib
2024/11/19 01:17:10 logger.go:55: 1731979030836807559 Lookup     /opt/software/linux-rocky9-x86_64/gcc-11.4.1/flux-core-0.61.2-va52p5ph7ylanopgk7ranjgtjgc2wb5y/lib/flux
2024/11/19 01:17:10 logger.go:55: 1731979030840360129 Lookup     /etc/ld.so.cache
2024/11/19 01:17:10 logger.go:55: 1731979030840411668 Open       /etc/ld.so.cache
2024/11/19 01:17:10 logger.go:55: 1731979030840764492 Lookup     /usr/lib/x86_64-linux-gnu/libmpich.so.12
2024/11/19 01:17:10 logger.go:55: 1731979030840824697 Lookup     /usr/lib/x86_64-linux-gnu/libmpich.so.12.2.0
2024/11/19 01:17:10 logger.go:55: 1731979030840926091 Open       /usr/lib/x86_64-linux-gnu/libmpich.so.12.2.0
