2024/11/17 11:56:39 logger.go:55: 1731844599423600245 Lookup     /etc
2024/11/17 11:56:39 logger.go:55: 1731844599423741547 Lookup     /etc/host.conf
2024/11/17 11:56:39 logger.go:55: 1731844599423769171 Lookup     /etc/hosts
2024/11/17 11:56:39 logger.go:55: 1731844599423803547 Lookup     /etc/nsswitch.conf
2024/11/17 11:56:39 logger.go:55: 1731844599423833345 Lookup     /etc/resolv.conf
2024/11/17 11:56:39 logger.go:55: 1731844599423862110 Lookup     /dev
2024/11/17 11:56:39 logger.go:55: 1731844599423882690 Lookup     /sys
2024/11/17 11:56:39 logger.go:55: 1731844599423903099 Lookup     /proc
2024/11/17 11:56:39 logger.go:55: 1731844599423922336 Lookup     /tmp
2024/11/17 11:56:39 logger.go:55: 1731844599423947124 Lookup     /root
2024/11/17 11:56:39 logger.go:55: 1731844599423987702 Lookup     /opt
2024/11/17 11:56:39 logger.go:55: 1731844599424010566 Lookup     /opt/lammps
2024/11/17 11:56:39 logger.go:55: 1731844599424031617 Lookup     /opt/lammps/examples
2024/11/17 11:56:39 logger.go:55: 1731844599424056184 Lookup     /opt/lammps/examples/reax
2024/11/17 11:56:39 logger.go:55: 1731844599424089098 Lookup     /opt/lammps/examples/reax/HNS
2024/11/17 11:56:39 logger.go:55: 1731844599424214931 Lookup     /usr
2024/11/17 11:56:39 logger.go:55: 1731844599424240931 Lookup     /usr/local
2024/11/17 11:56:39 logger.go:55: 1731844599424262532 Lookup     /usr/local/sbin
2024/11/17 11:56:39 logger.go:55: 1731844599424349821 Lookup     /usr/local/bin
2024/11/17 11:56:39 logger.go:55: 1731844599424436037 Lookup     /usr/sbin
2024/11/17 11:56:39 logger.go:55: 1731844599424517745 Lookup     /usr/bin
2024/11/17 11:56:39 logger.go:55: 1731844599424548634 Lookup     /usr/bin/lmp
2024/11/17 11:56:39 logger.go:55: 1731844599424821601 Open       /usr/bin/lmp
2024/11/17 11:56:39 logger.go:55: 1731844599424917315 Open       /usr/bin/lmp
2024/11/17 11:56:39 logger.go:55: 1731844599424972341 Lookup     /lib64
2024/11/17 11:56:39 logger.go:55: 1731844599425010144 Lookup     /usr/lib64
2024/11/17 11:56:39 logger.go:55: 1731844599425077985 Lookup     /usr/lib64/ld-linux-x86-64.so.2
2024/11/17 11:56:39 logger.go:55: 1731844599425153260 Lookup     /lib
2024/11/17 11:56:39 logger.go:55: 1731844599425192847 Lookup     /usr/lib
2024/11/17 11:56:39 logger.go:55: 1731844599425259315 Lookup     /usr/lib/x86_64-linux-gnu
2024/11/17 11:56:39 logger.go:55: 1731844599425281818 Lookup     /usr/lib/x86_64-linux-gnu/ld-linux-x86-64.so.2
2024/11/17 11:56:39 logger.go:55: 1731844599425358296 Open       /usr/lib/x86_64-linux-gnu/ld-linux-x86-64.so.2
2024/11/17 11:56:39 logger.go:55: 1731844599425933385 Open       /usr/bin/lmp
2024/11/17 11:56:39 logger.go:55: 1731844599426367993 Open       /usr/lib/x86_64-linux-gnu/ld-linux-x86-64.so.2
2024/11/17 11:56:39 logger.go:55: 1731844599427125003 Lookup     /opt/software
2024/11/17 11:56:39 logger.go:55: 1731844599427155612 Lookup     /opt/software/linux-rocky9-x86_64
2024/11/17 11:56:39 logger.go:55: 1731844599427184087 Lookup     /opt/software/linux-rocky9-x86_64/gcc-11.4.1
2024/11/17 11:56:39 logger.go:55: 1731844599427210087 Lookup     /opt/software/linux-rocky9-x86_64/gcc-11.4.1/flux-core-0.61.2-va52p5ph7ylanopgk7ranjgtjgc2wb5y
2024/11/17 11:56:39 logger.go:55: 1731844599427253281 Lookup     /opt/software/linux-rocky9-x86_64/gcc-11.4.1/flux-core-0.61.2-va52p5ph7ylanopgk7ranjgtjgc2wb5y/lib
2024/11/17 11:56:39 logger.go:55: 1731844599427276896 Lookup     /opt/software/linux-rocky9-x86_64/gcc-11.4.1/flux-core-0.61.2-va52p5ph7ylanopgk7ranjgtjgc2wb5y/lib/flux
2024/11/17 11:56:39 logger.go:55: 1731844599429442363 Lookup     /etc/ld.so.cache
2024/11/17 11:56:39 logger.go:55: 1731844599429475207 Open       /etc/ld.so.cache
2024/11/17 11:56:39 logger.go:55: 1731844599429695081 Lookup     /usr/lib/x86_64-linux-gnu/libmpich.so.12
2024/11/17 11:56:39 logger.go:55: 1731844599429737462 Lookup     /usr/lib/x86_64-linux-gnu/libmpich.so.12.2.0
2024/11/17 11:56:39 logger.go:55: 1731844599429804912 Open       /usr/lib/x86_64-linux-gnu/libmpich.so.12.2.0
2024/11/17 11:56:39 logger.go:55: 1731844599430437553 Lookup     /usr/lib/x86_64-linux-gnu/libstdc++.so.6
2024/11/17 11:56:39 logger.go:55: 1731844599430481988 Lookup     /usr/lib/x86_64-linux-gnu/libstdc++.so.6.0.30
2024/11/17 11:56:39 logger.go:55: 1731844599430545872 Open       /usr/lib/x86_64-linux-gnu/libstdc++.so.6.0.30
2024/11/17 11:56:39 logger.go:55: 1731844599431150247 Lookup     /usr/lib/x86_64-linux-gnu/libm.so.6
2024/11/17 11:56:39 logger.go:55: 1731844599431195494 Open       /usr/lib/x86_64-linux-gnu/libm.so.6
2024/11/17 11:56:39 logger.go:55: 1731844599431753491 Lookup     /usr/lib/x86_64-linux-gnu/libgcc_s.so.1
2024/11/17 11:56:39 logger.go:55: 1731844599431786845 Open       /usr/lib/x86_64-linux-gnu/libgcc_s.so.1
2024/11/17 11:56:39 logger.go:55: 1731844599432257162 Lookup     /usr/lib/x86_64-linux-gnu/libc.so.6
2024/11/17 11:56:39 logger.go:55: 1731844599432295446 Open       /usr/lib/x86_64-linux-gnu/libc.so.6
2024/11/17 11:56:39 logger.go:55: 1731844599433060672 Lookup     /usr/lib/x86_64-linux-gnu/libhwloc.so.15
2024/11/17 11:56:39 logger.go:55: 1731844599433112372 Lookup     /usr/lib/x86_64-linux-gnu/libhwloc.so.15.5.2
2024/11/17 11:56:39 logger.go:55: 1731844599433183850 Open       /usr/lib/x86_64-linux-gnu/libhwloc.so.15.5.2
2024/11/17 11:56:39 logger.go:55: 1731844599433789849 Lookup     /usr/lib/x86_64-linux-gnu/libfabric.so.1
2024/11/17 11:56:39 logger.go:55: 1731844599433832431 Lookup     /usr/lib/x86_64-linux-gnu/libfabric.so.1.14.0
2024/11/17 11:56:39 logger.go:55: 1731844599433902726 Open       /usr/lib/x86_64-linux-gnu/libfabric.so.1.14.0
2024/11/17 11:56:39 logger.go:55: 1731844599434478617 Lookup     /usr/lib/x86_64-linux-gnu/libudev.so.1
2024/11/17 11:56:39 logger.go:55: 1731844599434520508 Lookup     /usr/lib/x86_64-linux-gnu/libudev.so.1.7.2
2024/11/17 11:56:39 logger.go:55: 1731844599434590373 Open       /usr/lib/x86_64-linux-gnu/libudev.so.1.7.2
2024/11/17 11:56:39 logger.go:55: 1731844599435125745 Lookup     /usr/lib/x86_64-linux-gnu/librdmacm.so.1
2024/11/17 11:56:39 logger.go:55: 1731844599435169430 Lookup     /usr/lib/x86_64-linux-gnu/librdmacm.so.1.3.39.0
2024/11/17 11:56:39 logger.go:55: 1731844599435241859 Open       /usr/lib/x86_64-linux-gnu/librdmacm.so.1.3.39.0
2024/11/17 11:56:39 logger.go:55: 1731844599435769397 Lookup     /usr/lib/x86_64-linux-gnu/libefa.so.1
2024/11/17 11:56:39 logger.go:55: 1731844599435814694 Lookup     /usr/lib/x86_64-linux-gnu/libefa.so.1.1.39.0
2024/11/17 11:56:39 logger.go:55: 1731844599435897674 Open       /usr/lib/x86_64-linux-gnu/libefa.so.1.1.39.0
2024/11/17 11:56:39 logger.go:55: 1731844599436408149 Lookup     /usr/lib/x86_64-linux-gnu/libibverbs.so.1
2024/11/17 11:56:39 logger.go:55: 1731844599436453526 Lookup     /usr/lib/x86_64-linux-gnu/libibverbs.so.1.14.39.0
2024/11/17 11:56:39 logger.go:55: 1731844599436519213 Open       /usr/lib/x86_64-linux-gnu/libibverbs.so.1.14.39.0
2024/11/17 11:56:39 logger.go:55: 1731844599437011663 Lookup     /usr/lib/x86_64-linux-gnu/libpsm_infinipath.so.1
2024/11/17 11:56:39 logger.go:55: 1731844599437116555 Lookup     /etc/alternatives
2024/11/17 11:56:39 logger.go:55: 1731844599437142585 Lookup     /etc/alternatives/libpsm_infinipath.so.1
2024/11/17 11:56:39 logger.go:55: 1731844599437231527 Lookup     /usr/lib/libpsm1
2024/11/17 11:56:39 logger.go:55: 1731844599437256475 Lookup     /usr/lib/libpsm1/libpsm_infinipath.so.1.16
2024/11/17 11:56:39 logger.go:55: 1731844599437292885 Open       /usr/lib/libpsm1/libpsm_infinipath.so.1.16
2024/11/17 11:56:39 logger.go:55: 1731844599437905938 Lookup     /usr/lib/x86_64-linux-gnu/libpsm2.so.2
2024/11/17 11:56:39 logger.go:55: 1731844599437948720 Lookup     /usr/lib/x86_64-linux-gnu/libpsm2.so.2.2
2024/11/17 11:56:39 logger.go:55: 1731844599438012804 Open       /usr/lib/x86_64-linux-gnu/libpsm2.so.2.2
2024/11/17 11:56:39 logger.go:55: 1731844599438643160 Lookup     /usr/lib/x86_64-linux-gnu/libnl-3.so.200
2024/11/17 11:56:39 logger.go:55: 1731844599438695541 Lookup     /usr/lib/x86_64-linux-gnu/libnl-3.so.200.26.0
2024/11/17 11:56:39 logger.go:55: 1731844599438770034 Open       /usr/lib/x86_64-linux-gnu/libnl-3.so.200.26.0
2024/11/17 11:56:39 logger.go:55: 1731844599439352127 Lookup     /usr/lib/x86_64-linux-gnu/libnl-route-3.so.200
2024/11/17 11:56:39 logger.go:55: 1731844599439401282 Lookup     /usr/lib/x86_64-linux-gnu/libnl-route-3.so.200.26.0
2024/11/17 11:56:39 logger.go:55: 1731844599439470485 Open       /usr/lib/x86_64-linux-gnu/libnl-route-3.so.200.26.0
2024/11/17 11:56:39 logger.go:55: 1731844599440068629 Lookup     /usr/lib/x86_64-linux-gnu/libinfinipath.so.4
2024/11/17 11:56:39 logger.go:55: 1731844599440114918 Lookup     /usr/lib/x86_64-linux-gnu/libinfinipath.so.4.0
