2024/11/17 06:50:32 logger.go:55: 1731826232638804730 Lookup     /etc
2024/11/17 06:50:32 logger.go:55: 1731826232638914037 Lookup     /etc/host.conf
2024/11/17 06:50:32 logger.go:55: 1731826232638977297 Lookup     /etc/hosts
2024/11/17 06:50:32 logger.go:55: 1731826232639018034 Lookup     /etc/nsswitch.conf
2024/11/17 06:50:32 logger.go:55: 1731826232639041870 Lookup     /etc/resolv.conf
2024/11/17 06:50:32 logger.go:55: 1731826232639066947 Lookup     /dev
2024/11/17 06:50:32 logger.go:55: 1731826232639087516 Lookup     /sys
2024/11/17 06:50:32 logger.go:55: 1731826232639108546 Lookup     /proc
2024/11/17 06:50:32 logger.go:55: 1731826232639142881 Lookup     /tmp
2024/11/17 06:50:32 logger.go:55: 1731826232639167498 Lookup     /root
2024/11/17 06:50:32 logger.go:55: 1731826232639212633 Lookup     /opt
2024/11/17 06:50:32 logger.go:55: 1731826232639233844 Lookup     /opt/lammps
2024/11/17 06:50:32 logger.go:55: 1731826232639255825 Lookup     /opt/lammps/examples
2024/11/17 06:50:32 logger.go:55: 1731826232639283918 Lookup     /opt/lammps/examples/reax
2024/11/17 06:50:32 logger.go:55: 1731826232639309026 Lookup     /opt/lammps/examples/reax/HNS
2024/11/17 06:50:32 logger.go:55: 1731826232639431338 Lookup     /usr
2024/11/17 06:50:32 logger.go:55: 1731826232639454171 Lookup     /usr/local
2024/11/17 06:50:32 logger.go:55: 1731826232639478938 Lookup     /usr/local/sbin
2024/11/17 06:50:32 logger.go:55: 1731826232639567436 Lookup     /usr/local/bin
2024/11/17 06:50:32 logger.go:55: 1731826232639654230 Lookup     /usr/sbin
2024/11/17 06:50:32 logger.go:55: 1731826232639958758 Lookup     /usr/bin
2024/11/17 06:50:32 logger.go:55: 1731826232639996670 Lookup     /usr/bin/lmp
2024/11/17 06:50:32 logger.go:55: 1731826232640308941 Open       /usr/bin/lmp
2024/11/17 06:50:32 logger.go:55: 1731826232640416866 Open       /usr/bin/lmp
2024/11/17 06:50:32 logger.go:55: 1731826232640480847 Lookup     /lib64
2024/11/17 06:50:32 logger.go:55: 1731826232640526223 Lookup     /usr/lib64
2024/11/17 06:50:32 logger.go:55: 1731826232640609251 Lookup     /usr/lib64/ld-linux-x86-64.so.2
