2024/11/17 04:59:05 logger.go:55: 1731819545748282203 Lookup     /etc
2024/11/17 04:59:05 logger.go:55: 1731819545748402597 Lookup     /etc/host.conf
2024/11/17 04:59:05 logger.go:55: 1731819545748443096 Lookup     /etc/hosts
2024/11/17 04:59:05 logger.go:55: 1731819545748478675 Lookup     /etc/nsswitch.conf
2024/11/17 04:59:05 logger.go:55: 1731819545748511469 Lookup     /etc/resolv.conf
2024/11/17 04:59:05 logger.go:55: 1731819545748537459 Lookup     /dev
2024/11/17 04:59:05 logger.go:55: 1731819545748558390 Lookup     /sys
2024/11/17 04:59:05 logger.go:55: 1731819545748582366 Lookup     /proc
2024/11/17 04:59:05 logger.go:55: 1731819545748604179 Lookup     /tmp
2024/11/17 04:59:05 logger.go:55: 1731819545748625971 Lookup     /root
2024/11/17 04:59:05 logger.go:55: 1731819545748672472 Lookup     /opt
2024/11/17 04:59:05 logger.go:55: 1731819545748695466 Lookup     /opt/lammps
2024/11/17 04:59:05 logger.go:55: 1731819545748721447 Lookup     /opt/lammps/examples
2024/11/17 04:59:05 logger.go:55: 1731819545748751395 Lookup     /opt/lammps/examples/reaxff
2024/11/17 04:59:05 logger.go:55: 1731819545748779470 Lookup     /opt/lammps/examples/reaxff/HNS
2024/11/17 04:59:05 logger.go:55: 1731819545748907358 Lookup     /usr
2024/11/17 04:59:05 logger.go:55: 1731819545748931495 Lookup     /usr/local
2024/11/17 04:59:05 logger.go:55: 1731819545748956574 Lookup     /usr/local/sbin
2024/11/17 04:59:05 logger.go:55: 1731819545749050466 Lookup     /usr/local/bin
2024/11/17 04:59:05 logger.go:55: 1731819545749154328 Lookup     /usr/sbin
2024/11/17 04:59:05 logger.go:55: 1731819545749255595 Lookup     /usr/bin
2024/11/17 04:59:05 logger.go:55: 1731819545749288549 Lookup     /usr/bin/lmp
2024/11/17 04:59:05 logger.go:55: 1731819545749574044 Open       /usr/bin/lmp
2024/11/17 04:59:05 logger.go:55: 1731819545749683958 Open       /usr/bin/lmp
2024/11/17 04:59:05 logger.go:55: 1731819545749743013 Lookup     /lib64
2024/11/17 04:59:05 logger.go:55: 1731819545749787760 Lookup     /usr/lib64
2024/11/17 04:59:05 logger.go:55: 1731819545749854199 Lookup     /usr/lib64/ld-linux-x86-64.so.2
2024/11/17 04:59:05 logger.go:55: 1731819545749918544 Lookup     /lib
2024/11/17 04:59:05 logger.go:55: 1731819545749956177 Lookup     /usr/lib
2024/11/17 04:59:05 logger.go:55: 1731819545750024600 Lookup     /usr/lib/x86_64-linux-gnu
2024/11/17 04:59:05 logger.go:55: 1731819545750048266 Lookup     /usr/lib/x86_64-linux-gnu/ld-linux-x86-64.so.2
2024/11/17 04:59:05 logger.go:55: 1731819545750133482 Open       /usr/lib/x86_64-linux-gnu/ld-linux-x86-64.so.2
2024/11/17 04:59:05 logger.go:55: 1731819545750750321 Open       /usr/bin/lmp
2024/11/17 04:59:05 logger.go:55: 1731819545751214514 Open       /usr/lib/x86_64-linux-gnu/ld-linux-x86-64.so.2
2024/11/17 04:59:05 logger.go:55: 1731819545751821704 Lookup     /opt/software
2024/11/17 04:59:05 logger.go:55: 1731819545751849969 Lookup     /opt/software/linux-rocky9-x86_64
2024/11/17 04:59:05 logger.go:55: 1731819545751872824 Lookup     /opt/software/linux-rocky9-x86_64/gcc-11.4.1
2024/11/17 04:59:05 logger.go:55: 1731819545751897602 Lookup     /opt/software/linux-rocky9-x86_64/gcc-11.4.1/flux-core-0.61.2-va52p5ph7ylanopgk7ranjgtjgc2wb5y
2024/11/17 04:59:05 logger.go:55: 1731819545751939093 Lookup     /opt/software/linux-rocky9-x86_64/gcc-11.4.1/flux-core-0.61.2-va52p5ph7ylanopgk7ranjgtjgc2wb5y/lib
2024/11/17 04:59:05 logger.go:55: 1731819545751964021 Lookup     /opt/software/linux-rocky9-x86_64/gcc-11.4.1/flux-core-0.61.2-va52p5ph7ylanopgk7ranjgtjgc2wb5y/lib/flux
2024/11/17 04:59:05 logger.go:55: 1731819545754066889 Lookup     /etc/ld.so.cache
2024/11/17 04:59:05 logger.go:55: 1731819545754118440 Open       /etc/ld.so.cache
2024/11/17 04:59:05 logger.go:55: 1731819545754394797 Lookup     /usr/lib/x86_64-linux-gnu/libgomp.so.1
