2024/11/17 03:23:05 logger.go:55: 1731813785429866984 Lookup     /etc
2024/11/17 03:23:05 logger.go:55: 1731813785430005874 Lookup     /etc/host.conf
2024/11/17 03:23:05 logger.go:55: 1731813785430048785 Lookup     /etc/hosts
2024/11/17 03:23:05 logger.go:55: 1731813785430092527 Lookup     /etc/nsswitch.conf
2024/11/17 03:23:05 logger.go:55: 1731813785430144715 Lookup     /etc/resolv.conf
2024/11/17 03:23:05 logger.go:55: 1731813785430183057 Lookup     /dev
2024/11/17 03:23:05 logger.go:55: 1731813785430229334 Lookup     /sys
2024/11/17 03:23:05 logger.go:55: 1731813785430261354 Lookup     /proc
2024/11/17 03:23:05 logger.go:55: 1731813785430299145 Lookup     /tmp
2024/11/17 03:23:05 logger.go:55: 1731813785430343187 Lookup     /root
2024/11/17 03:23:05 logger.go:55: 1731813785430409421 Lookup     /opt
2024/11/17 03:23:05 logger.go:55: 1731813785430446982 Lookup     /opt/lammps
2024/11/17 03:23:05 logger.go:55: 1731813785430478832 Lookup     /opt/lammps/examples
2024/11/17 03:23:05 logger.go:55: 1731813785430522203 Lookup     /opt/lammps/examples/reaxff
2024/11/17 03:23:05 logger.go:55: 1731813785430565635 Lookup     /opt/lammps/examples/reaxff/HNS
2024/11/17 03:23:05 logger.go:55: 1731813785430759869 Lookup     /usr
2024/11/17 03:23:05 logger.go:55: 1731813785430793362 Lookup     /usr/local
2024/11/17 03:23:05 logger.go:55: 1731813785430830522 Lookup     /usr/local/sbin
2024/11/17 03:23:05 logger.go:55: 1731813785430957530 Lookup     /usr/local/bin
2024/11/17 03:23:05 logger.go:55: 1731813785431084378 Lookup     /usr/sbin
2024/11/17 03:23:05 logger.go:55: 1731813785431220173 Lookup     /usr/bin
2024/11/17 03:23:05 logger.go:55: 1731813785431277771 Lookup     /usr/bin/lmp
2024/11/17 03:23:05 logger.go:55: 1731813785431630693 Open       /usr/bin/lmp
2024/11/17 03:23:05 logger.go:55: 1731813785431762380 Open       /usr/bin/lmp
2024/11/17 03:23:05 logger.go:55: 1731813785431835818 Lookup     /lib64
2024/11/17 03:23:05 logger.go:55: 1731813785431894428 Lookup     /usr/lib64
2024/11/17 03:23:05 logger.go:55: 1731813785432014864 Lookup     /usr/lib64/ld-linux-x86-64.so.2
2024/11/17 03:23:05 logger.go:55: 1731813785432114661 Lookup     /lib
2024/11/17 03:23:05 logger.go:55: 1731813785432168612 Lookup     /usr/lib
2024/11/17 03:23:05 logger.go:55: 1731813785432277316 Lookup     /usr/lib/x86_64-linux-gnu
2024/11/17 03:23:05 logger.go:55: 1731813785432311099 Lookup     /usr/lib/x86_64-linux-gnu/ld-linux-x86-64.so.2
2024/11/17 03:23:05 logger.go:55: 1731813785432423260 Open       /usr/lib/x86_64-linux-gnu/ld-linux-x86-64.so.2
2024/11/17 03:23:05 logger.go:55: 1731813785433264508 Open       /usr/bin/lmp
2024/11/17 03:23:05 logger.go:55: 1731813785433939064 Open       /usr/lib/x86_64-linux-gnu/ld-linux-x86-64.so.2
2024/11/17 03:23:05 logger.go:55: 1731813785434890579 Lookup     /opt/software
2024/11/17 03:23:05 logger.go:55: 1731813785434935633 Lookup     /opt/software/linux-rocky9-x86_64
2024/11/17 03:23:05 logger.go:55: 1731813785434969717 Lookup     /opt/software/linux-rocky9-x86_64/gcc-11.4.1
2024/11/17 03:23:05 logger.go:55: 1731813785435004402 Lookup     /opt/software/linux-rocky9-x86_64/gcc-11.4.1/flux-core-0.61.2-va52p5ph7ylanopgk7ranjgtjgc2wb5y
2024/11/17 03:23:05 logger.go:55: 1731813785435042474 Lookup     /opt/software/linux-rocky9-x86_64/gcc-11.4.1/flux-core-0.61.2-va52p5ph7ylanopgk7ranjgtjgc2wb5y/lib
2024/11/17 03:23:05 logger.go:55: 1731813785435075907 Lookup     /opt/software/linux-rocky9-x86_64/gcc-11.4.1/flux-core-0.61.2-va52p5ph7ylanopgk7ranjgtjgc2wb5y/lib/flux
2024/11/17 03:23:05 logger.go:55: 1731813785438237899 Lookup     /etc/ld.so.cache
2024/11/17 03:23:05 logger.go:55: 1731813785438286711 Open       /etc/ld.so.cache
2024/11/17 03:23:05 logger.go:55: 1731813785438593727 Lookup     /usr/lib/x86_64-linux-gnu/libgomp.so.1
