2024/11/17 12:01:52 logger.go:55: 1731844912062221143 Lookup     /etc
2024/11/17 12:01:52 logger.go:55: 1731844912062324813 Lookup     /etc/host.conf
2024/11/17 12:01:52 logger.go:55: 1731844912062353688 Lookup     /etc/hosts
2024/11/17 12:01:52 logger.go:55: 1731844912062381351 Lookup     /etc/nsswitch.conf
2024/11/17 12:01:52 logger.go:55: 1731844912062407271 Lookup     /etc/resolv.conf
2024/11/17 12:01:52 logger.go:55: 1731844912062432239 Lookup     /dev
2024/11/17 12:01:52 logger.go:55: 1731844912062450995 Lookup     /sys
2024/11/17 12:01:52 logger.go:55: 1731844912062475382 Lookup     /proc
2024/11/17 12:01:52 logger.go:55: 1731844912062495781 Lookup     /tmp
2024/11/17 12:01:52 logger.go:55: 1731844912062516501 Lookup     /root
2024/11/17 12:01:52 logger.go:55: 1731844912062561497 Lookup     /opt
2024/11/17 12:01:52 logger.go:55: 1731844912062581756 Lookup     /opt/lammps
2024/11/17 12:01:52 logger.go:55: 1731844912062602526 Lookup     /opt/lammps/examples
2024/11/17 12:01:52 logger.go:55: 1731844912062629398 Lookup     /opt/lammps/examples/reax
2024/11/17 12:01:52 logger.go:55: 1731844912062653113 Lookup     /opt/lammps/examples/reax/HNS
2024/11/17 12:01:52 logger.go:55: 1731844912062765409 Lookup     /usr
2024/11/17 12:01:52 logger.go:55: 1731844912062789515 Lookup     /usr/local
2024/11/17 12:01:52 logger.go:55: 1731844912062810476 Lookup     /usr/local/sbin
2024/11/17 12:01:52 logger.go:55: 1731844912062891351 Lookup     /usr/local/bin
2024/11/17 12:01:52 logger.go:55: 1731844912062971385 Lookup     /usr/sbin
2024/11/17 12:01:52 logger.go:55: 1731844912063049575 Lookup     /usr/bin
2024/11/17 12:01:52 logger.go:55: 1731844912063078781 Lookup     /usr/bin/lmp
2024/11/17 12:01:52 logger.go:55: 1731844912063324623 Open       /usr/bin/lmp
2024/11/17 12:01:52 logger.go:55: 1731844912063429034 Open       /usr/bin/lmp
2024/11/17 12:01:52 logger.go:55: 1731844912063482376 Lookup     /lib64
2024/11/17 12:01:52 logger.go:55: 1731844912063525509 Lookup     /usr/lib64
2024/11/17 12:01:52 logger.go:55: 1731844912063592658 Lookup     /usr/lib64/ld-linux-x86-64.so.2
2024/11/17 12:01:52 logger.go:55: 1731844912063655810 Lookup     /lib
2024/11/17 12:01:52 logger.go:55: 1731844912063686959 Lookup     /usr/lib
2024/11/17 12:01:52 logger.go:55: 1731844912063754529 Lookup     /usr/lib/x86_64-linux-gnu
2024/11/17 12:01:52 logger.go:55: 1731844912063777373 Lookup     /usr/lib/x86_64-linux-gnu/ld-linux-x86-64.so.2
2024/11/17 12:01:52 logger.go:55: 1731844912063851997 Open       /usr/lib/x86_64-linux-gnu/ld-linux-x86-64.so.2
2024/11/17 12:01:52 logger.go:55: 1731844912064402234 Open       /usr/bin/lmp
2024/11/17 12:01:52 logger.go:55: 1731844912064869461 Open       /usr/lib/x86_64-linux-gnu/ld-linux-x86-64.so.2
2024/11/17 12:01:52 logger.go:55: 1731844912065571810 Lookup     /opt/software
2024/11/17 12:01:52 logger.go:55: 1731844912065604894 Lookup     /opt/software/linux-rocky9-x86_64
2024/11/17 12:01:52 logger.go:55: 1731844912065630824 Lookup     /opt/software/linux-rocky9-x86_64/gcc-11.4.1
2024/11/17 12:01:52 logger.go:55: 1731844912065656263 Lookup     /opt/software/linux-rocky9-x86_64/gcc-11.4.1/flux-core-0.61.2-va52p5ph7ylanopgk7ranjgtjgc2wb5y
2024/11/17 12:01:52 logger.go:55: 1731844912065695809 Lookup     /opt/software/linux-rocky9-x86_64/gcc-11.4.1/flux-core-0.61.2-va52p5ph7ylanopgk7ranjgtjgc2wb5y/lib
