2024/11/17 04:52:28 logger.go:55: 1731819148923873912 Lookup     /etc
2024/11/17 04:52:28 logger.go:55: 1731819148923998380 Lookup     /etc/host.conf
2024/11/17 04:52:28 logger.go:55: 1731819148924027188 Lookup     /etc/hosts
2024/11/17 04:52:28 logger.go:55: 1731819148924064041 Lookup     /etc/nsswitch.conf
2024/11/17 04:52:28 logger.go:55: 1731819148924090394 Lookup     /etc/resolv.conf
2024/11/17 04:52:28 logger.go:55: 1731819148924130133 Lookup     /dev
2024/11/17 04:52:28 logger.go:55: 1731819148924158640 Lookup     /sys
2024/11/17 04:52:28 logger.go:55: 1731819148924180414 Lookup     /proc
2024/11/17 04:52:28 logger.go:55: 1731819148924204261 Lookup     /tmp
2024/11/17 04:52:28 logger.go:55: 1731819148924227097 Lookup     /root
2024/11/17 04:52:28 logger.go:55: 1731819148924275143 Lookup     /opt
2024/11/17 04:52:28 logger.go:55: 1731819148924300844 Lookup     /opt/lammps
2024/11/17 04:52:28 logger.go:55: 1731819148924323790 Lookup     /opt/lammps/examples
2024/11/17 04:52:28 logger.go:55: 1731819148924353619 Lookup     /opt/lammps/examples/reaxff
2024/11/17 04:52:28 logger.go:55: 1731819148924380152 Lookup     /opt/lammps/examples/reaxff/HNS
2024/11/17 04:52:28 logger.go:55: 1731819148924501414 Lookup     /usr
2024/11/17 04:52:28 logger.go:55: 1731819148924524300 Lookup     /usr/local
2024/11/17 04:52:28 logger.go:55: 1731819148924545963 Lookup     /usr/local/sbin
2024/11/17 04:52:28 logger.go:55: 1731819148924635702 Lookup     /usr/local/bin
2024/11/17 04:52:28 logger.go:55: 1731819148924729429 Lookup     /usr/sbin
2024/11/17 04:52:28 logger.go:55: 1731819148924819188 Lookup     /usr/bin
2024/11/17 04:52:28 logger.go:55: 1731819148924850942 Lookup     /usr/bin/lmp
2024/11/17 04:52:28 logger.go:55: 1731819148925141391 Open       /usr/bin/lmp
2024/11/17 04:52:28 logger.go:55: 1731819148925244026 Open       /usr/bin/lmp
2024/11/17 04:52:28 logger.go:55: 1731819148925295278 Lookup     /lib64
2024/11/17 04:52:28 logger.go:55: 1731819148925340448 Lookup     /usr/lib64
2024/11/17 04:52:28 logger.go:55: 1731819148925414055 Lookup     /usr/lib64/ld-linux-x86-64.so.2
2024/11/17 04:52:28 logger.go:55: 1731819148925480779 Lookup     /lib
2024/11/17 04:52:28 logger.go:55: 1731819148925512221 Lookup     /usr/lib
2024/11/17 04:52:28 logger.go:55: 1731819148925578263 Lookup     /usr/lib/x86_64-linux-gnu
2024/11/17 04:52:28 logger.go:55: 1731819148925600327 Lookup     /usr/lib/x86_64-linux-gnu/ld-linux-x86-64.so.2
2024/11/17 04:52:28 logger.go:55: 1731819148925674495 Open       /usr/lib/x86_64-linux-gnu/ld-linux-x86-64.so.2
2024/11/17 04:52:28 logger.go:55: 1731819148926260775 Open       /usr/bin/lmp
2024/11/17 04:52:28 logger.go:55: 1731819148926712817 Open       /usr/lib/x86_64-linux-gnu/ld-linux-x86-64.so.2
2024/11/17 04:52:28 logger.go:55: 1731819148927329618 Lookup     /opt/software
2024/11/17 04:52:28 logger.go:55: 1731819148927360239 Lookup     /opt/software/linux-rocky9-x86_64
2024/11/17 04:52:28 logger.go:55: 1731819148927382463 Lookup     /opt/software/linux-rocky9-x86_64/gcc-11.4.1
2024/11/17 04:52:28 logger.go:55: 1731819148927408295 Lookup     /opt/software/linux-rocky9-x86_64/gcc-11.4.1/flux-core-0.61.2-va52p5ph7ylanopgk7ranjgtjgc2wb5y
2024/11/17 04:52:28 logger.go:55: 1731819148927451641 Lookup     /opt/software/linux-rocky9-x86_64/gcc-11.4.1/flux-core-0.61.2-va52p5ph7ylanopgk7ranjgtjgc2wb5y/lib
2024/11/17 04:52:28 logger.go:55: 1731819148927480008 Lookup     /opt/software/linux-rocky9-x86_64/gcc-11.4.1/flux-core-0.61.2-va52p5ph7ylanopgk7ranjgtjgc2wb5y/lib/flux
2024/11/17 04:52:28 logger.go:55: 1731819148929597613 Lookup     /etc/ld.so.cache
2024/11/17 04:52:28 logger.go:55: 1731819148929631230 Open       /etc/ld.so.cache
2024/11/17 04:52:28 logger.go:55: 1731819148929844365 Lookup     /usr/lib/x86_64-linux-gnu/libgomp.so.1
2024/11/17 04:52:28 logger.go:55: 1731819148929886329 Lookup     /usr/lib/x86_64-linux-gnu/libgomp.so.1.0.0
2024/11/17 04:52:28 logger.go:55: 1731819148929948914 Open       /usr/lib/x86_64-linux-gnu/libgomp.so.1.0.0
2024/11/17 04:52:28 logger.go:55: 1731819148930488851 Lookup     /usr/lib/x86_64-linux-gnu/libmpich.so.12
2024/11/17 04:52:28 logger.go:55: 1731819148930535484 Lookup     /usr/lib/x86_64-linux-gnu/libmpich.so.12.2.0
2024/11/17 04:52:28 logger.go:55: 1731819148930602388 Open       /usr/lib/x86_64-linux-gnu/libmpich.so.12.2.0
2024/11/17 04:52:28 logger.go:55: 1731819148931151193 Lookup     /usr/lib/x86_64-linux-gnu/libstdc++.so.6
2024/11/17 04:52:28 logger.go:55: 1731819148931191163 Lookup     /usr/lib/x86_64-linux-gnu/libstdc++.so.6.0.30
2024/11/17 04:52:28 logger.go:55: 1731819148931266754 Open       /usr/lib/x86_64-linux-gnu/libstdc++.so.6.0.30
2024/11/17 04:52:28 logger.go:55: 1731819148931845829 Lookup     /usr/lib/x86_64-linux-gnu/libm.so.6
2024/11/17 04:52:28 logger.go:55: 1731819148931887452 Open       /usr/lib/x86_64-linux-gnu/libm.so.6
2024/11/17 04:52:28 logger.go:55: 1731819148932413422 Lookup     /usr/lib/x86_64-linux-gnu/libgcc_s.so.1
2024/11/17 04:52:28 logger.go:55: 1731819148932448522 Open       /usr/lib/x86_64-linux-gnu/libgcc_s.so.1
2024/11/17 04:52:28 logger.go:55: 1731819148932908389 Lookup     /usr/lib/x86_64-linux-gnu/libc.so.6
2024/11/17 04:52:28 logger.go:55: 1731819148932942267 Open       /usr/lib/x86_64-linux-gnu/libc.so.6
2024/11/17 04:52:28 logger.go:55: 1731819148933611993 Lookup     /usr/lib/x86_64-linux-gnu/libhwloc.so.15
2024/11/17 04:52:28 logger.go:55: 1731819148933664428 Lookup     /usr/lib/x86_64-linux-gnu/libhwloc.so.15.5.2
2024/11/17 04:52:28 logger.go:55: 1731819148933735720 Open       /usr/lib/x86_64-linux-gnu/libhwloc.so.15.5.2
2024/11/17 04:52:28 logger.go:55: 1731819148934257251 Lookup     /usr/lib/x86_64-linux-gnu/libfabric.so.1
2024/11/17 04:52:28 logger.go:55: 1731819148934301529 Lookup     /usr/lib/x86_64-linux-gnu/libfabric.so.1.14.0
2024/11/17 04:52:28 logger.go:55: 1731819148934375336 Open       /usr/lib/x86_64-linux-gnu/libfabric.so.1.14.0
2024/11/17 04:52:28 logger.go:55: 1731819148934906105 Lookup     /usr/lib/x86_64-linux-gnu/libudev.so.1
2024/11/17 04:52:28 logger.go:55: 1731819148934940113 Lookup     /usr/lib/x86_64-linux-gnu/libudev.so.1.7.2
2024/11/17 04:52:28 logger.go:55: 1731819148935002909 Open       /usr/lib/x86_64-linux-gnu/libudev.so.1.7.2
2024/11/17 04:52:28 logger.go:55: 1731819148935501864 Lookup     /usr/lib/x86_64-linux-gnu/librdmacm.so.1
2024/11/17 04:52:28 logger.go:55: 1731819148935546644 Lookup     /usr/lib/x86_64-linux-gnu/librdmacm.so.1.3.39.0
2024/11/17 04:52:28 logger.go:55: 1731819148935624589 Open       /usr/lib/x86_64-linux-gnu/librdmacm.so.1.3.39.0
2024/11/17 04:52:28 logger.go:55: 1731819148936117813 Lookup     /usr/lib/x86_64-linux-gnu/libefa.so.1
2024/11/17 04:52:28 logger.go:55: 1731819148936159106 Lookup     /usr/lib/x86_64-linux-gnu/libefa.so.1.1.39.0
2024/11/17 04:52:28 logger.go:55: 1731819148936225678 Open       /usr/lib/x86_64-linux-gnu/libefa.so.1.1.39.0
2024/11/17 04:52:28 logger.go:55: 1731819148936706478 Lookup     /usr/lib/x86_64-linux-gnu/libibverbs.so.1
2024/11/17 04:52:28 logger.go:55: 1731819148936747500 Lookup     /usr/lib/x86_64-linux-gnu/libibverbs.so.1.14.39.0
2024/11/17 04:52:28 logger.go:55: 1731819148936813071 Open       /usr/lib/x86_64-linux-gnu/libibverbs.so.1.14.39.0
2024/11/17 04:52:28 logger.go:55: 1731819148937284291 Lookup     /usr/lib/x86_64-linux-gnu/libpsm_infinipath.so.1
2024/11/17 04:52:28 logger.go:55: 1731819148937375693 Lookup     /etc/alternatives
2024/11/17 04:52:28 logger.go:55: 1731819148937402056 Lookup     /etc/alternatives/libpsm_infinipath.so.1
2024/11/17 04:52:28 logger.go:55: 1731819148937468178 Lookup     /usr/lib/libpsm1
2024/11/17 04:52:28 logger.go:55: 1731819148937492366 Lookup     /usr/lib/libpsm1/libpsm_infinipath.so.1.16
2024/11/17 04:52:28 logger.go:55: 1731819148937529179 Open       /usr/lib/libpsm1/libpsm_infinipath.so.1.16
2024/11/17 04:52:28 logger.go:55: 1731819148938186641 Lookup     /usr/lib/x86_64-linux-gnu/libpsm2.so.2
2024/11/17 04:52:28 logger.go:55: 1731819148938234797 Lookup     /usr/lib/x86_64-linux-gnu/libpsm2.so.2.2
2024/11/17 04:52:28 logger.go:55: 1731819148938303114 Open       /usr/lib/x86_64-linux-gnu/libpsm2.so.2.2
2024/11/17 04:52:28 logger.go:55: 1731819148938823983 Lookup     /usr/lib/x86_64-linux-gnu/libnl-3.so.200
2024/11/17 04:52:28 logger.go:55: 1731819148938876738 Lookup     /usr/lib/x86_64-linux-gnu/libnl-3.so.200.26.0
2024/11/17 04:52:28 logger.go:55: 1731819148938943021 Open       /usr/lib/x86_64-linux-gnu/libnl-3.so.200.26.0
2024/11/17 04:52:28 logger.go:55: 1731819148939481876 Lookup     /usr/lib/x86_64-linux-gnu/libnl-route-3.so.200
2024/11/17 04:52:28 logger.go:55: 1731819148939525443 Lookup     /usr/lib/x86_64-linux-gnu/libnl-route-3.so.200.26.0
2024/11/17 04:52:28 logger.go:55: 1731819148939591575 Open       /usr/lib/x86_64-linux-gnu/libnl-route-3.so.200.26.0
2024/11/17 04:52:28 logger.go:55: 1731819148940210991 Lookup     /usr/lib/x86_64-linux-gnu/libinfinipath.so.4
2024/11/17 04:52:28 logger.go:55: 1731819148940260449 Lookup     /usr/lib/x86_64-linux-gnu/libinfinipath.so.4.0
2024/11/17 04:52:28 logger.go:55: 1731819148940324347 Open       /usr/lib/x86_64-linux-gnu/libinfinipath.so.4.0
