2024/11/10 18:03:00 recorder.go:46: 1731261780845616733 Lookup     /etc
2024/11/10 18:03:00 recorder.go:46: 1731261780845863897 Lookup     /etc/host.conf
2024/11/10 18:03:00 recorder.go:46: 1731261780845948669 Lookup     /etc/hosts
2024/11/10 18:03:00 recorder.go:46: 1731261780845983045 Lookup     /etc/nsswitch.conf
2024/11/10 18:03:00 recorder.go:46: 1731261780846041978 Lookup     /etc/resolv.conf
2024/11/10 18:03:00 recorder.go:46: 1731261780846172307 Lookup     /dev
2024/11/10 18:03:00 recorder.go:46: 1731261780846245247 Lookup     /sys
2024/11/10 18:03:00 recorder.go:46: 1731261780846266708 Lookup     /proc
2024/11/10 18:03:00 recorder.go:46: 1731261780846296615 Lookup     /tmp
2024/11/10 18:03:00 recorder.go:46: 1731261780846316713 Lookup     /root
2024/11/10 18:03:00 recorder.go:46: 1731261780846363102 Lookup     /opt
2024/11/10 18:03:00 recorder.go:46: 1731261780846417947 Lookup     /opt/lammps
2024/11/10 18:03:00 recorder.go:46: 1731261780846439258 Lookup     /opt/lammps/examples
2024/11/10 18:03:00 recorder.go:46: 1731261780846463965 Lookup     /opt/lammps/examples/reax
2024/11/10 18:03:00 recorder.go:46: 1731261780846504493 Lookup     /opt/lammps/examples/reax/HNS
2024/11/10 18:03:00 recorder.go:46: 1731261780846818644 Lookup     /usr
2024/11/10 18:03:00 recorder.go:46: 1731261780846863931 Lookup     /usr/local
2024/11/10 18:03:00 recorder.go:46: 1731261780846902224 Lookup     /usr/local/sbin
2024/11/10 18:03:00 recorder.go:46: 1731261780847057932 Lookup     /usr/local/bin
2024/11/10 18:03:00 recorder.go:46: 1731261780847210124 Lookup     /usr/sbin
2024/11/10 18:03:00 recorder.go:46: 1731261780847376302 Lookup     /usr/bin
2024/11/10 18:03:00 recorder.go:46: 1731261780847432499 Lookup     /usr/bin/lmp
2024/11/10 18:03:00 recorder.go:46: 1731261780847834048 Open       /usr/bin/lmp
2024/11/10 18:03:00 recorder.go:46: 1731261780848183557 Open       /usr/bin/lmp
2024/11/10 18:03:00 recorder.go:46: 1731261780848257318 Lookup     /lib64
2024/11/10 18:03:00 recorder.go:46: 1731261780848317724 Lookup     /usr/lib64
2024/11/10 18:03:00 recorder.go:46: 1731261780848424669 Lookup     /usr/lib64/ld-linux-x86-64.so.2
2024/11/10 18:03:00 recorder.go:46: 1731261780848530441 Lookup     /lib
2024/11/10 18:03:00 recorder.go:46: 1731261780848617448 Lookup     /usr/lib
2024/11/10 18:03:00 recorder.go:46: 1731261780848692922 Lookup     /usr/lib/x86_64-linux-gnu
2024/11/10 18:03:00 recorder.go:46: 1731261780848721647 Lookup     /usr/lib/x86_64-linux-gnu/ld-linux-x86-64.so.2
2024/11/10 18:03:00 recorder.go:46: 1731261780848800809 Open       /usr/lib/x86_64-linux-gnu/ld-linux-x86-64.so.2
2024/11/10 18:03:00 recorder.go:46: 1731261780849481652 Open       /usr/bin/lmp
2024/11/10 18:03:00 recorder.go:46: 1731261780850567331 Open       /usr/lib/x86_64-linux-gnu/ld-linux-x86-64.so.2
2024/11/10 18:03:00 recorder.go:46: 1731261780851664170 Lookup     /etc/ld.so.cache
2024/11/10 18:03:00 recorder.go:46: 1731261780851695721 Open       /etc/ld.so.cache
2024/11/10 18:03:00 recorder.go:46: 1731261780851914099 Lookup     /usr/lib/x86_64-linux-gnu/libmpich.so.12
2024/11/10 18:03:00 recorder.go:46: 1731261780851962451 Lookup     /usr/lib/x86_64-linux-gnu/libmpich.so.12.2.0
2024/11/10 18:03:00 recorder.go:46: 1731261780852021605 Open       /usr/lib/x86_64-linux-gnu/libmpich.so.12.2.0
2024/11/10 18:03:00 recorder.go:46: 1731261780852553713 Lookup     /usr/lib/x86_64-linux-gnu/libgomp.so.1
2024/11/10 18:03:00 recorder.go:46: 1731261780852602747 Lookup     /usr/lib/x86_64-linux-gnu/libgomp.so.1.0.0
2024/11/10 18:03:00 recorder.go:46: 1731261780852665217 Open       /usr/lib/x86_64-linux-gnu/libgomp.so.1.0.0
2024/11/10 18:03:00 recorder.go:46: 1731261780853124055 Lookup     /usr/lib/x86_64-linux-gnu/libstdc++.so.6
2024/11/10 18:03:00 recorder.go:46: 1731261780853168510 Lookup     /usr/lib/x86_64-linux-gnu/libstdc++.so.6.0.30
2024/11/10 18:03:00 recorder.go:46: 1731261780853237803 Open       /usr/lib/x86_64-linux-gnu/libstdc++.so.6.0.30
2024/11/10 18:03:00 recorder.go:46: 1731261780853707722 Lookup     /usr/lib/x86_64-linux-gnu/libm.so.6
2024/11/10 18:03:00 recorder.go:46: 1731261780853740786 Open       /usr/lib/x86_64-linux-gnu/libm.so.6
2024/11/10 18:03:00 recorder.go:46: 1731261780854266031 Lookup     /usr/lib/x86_64-linux-gnu/libgcc_s.so.1
2024/11/10 18:03:00 recorder.go:46: 1731261780854315356 Open       /usr/lib/x86_64-linux-gnu/libgcc_s.so.1
2024/11/10 18:03:00 recorder.go:46: 1731261780854649365 Lookup     /usr/lib/x86_64-linux-gnu/libc.so.6
2024/11/10 18:03:00 recorder.go:46: 1731261780854686777 Open       /usr/lib/x86_64-linux-gnu/libc.so.6
2024/11/10 18:03:00 recorder.go:46: 1731261780855261357 Lookup     /usr/lib/x86_64-linux-gnu/libhwloc.so.15
2024/11/10 18:03:00 recorder.go:46: 1731261780855303838 Lookup     /usr/lib/x86_64-linux-gnu/libhwloc.so.15.5.2
2024/11/10 18:03:00 recorder.go:46: 1731261780855366077 Open       /usr/lib/x86_64-linux-gnu/libhwloc.so.15.5.2
2024/11/10 18:03:00 recorder.go:46: 1731261780855807843 Lookup     /usr/lib/x86_64-linux-gnu/libfabric.so.1
2024/11/10 18:03:00 recorder.go:46: 1731261780855850284 Lookup     /usr/lib/x86_64-linux-gnu/libfabric.so.1.14.0
2024/11/10 18:03:00 recorder.go:46: 1731261780855916681 Open       /usr/lib/x86_64-linux-gnu/libfabric.so.1.14.0
2024/11/10 18:03:00 recorder.go:46: 1731261780856302991 Lookup     /usr/lib/x86_64-linux-gnu/libudev.so.1
2024/11/10 18:03:00 recorder.go:46: 1731261780856341785 Lookup     /usr/lib/x86_64-linux-gnu/libudev.so.1.7.2
2024/11/10 18:03:00 recorder.go:46: 1731261780856410086 Open       /usr/lib/x86_64-linux-gnu/libudev.so.1.7.2
2024/11/10 18:03:00 recorder.go:46: 1731261780856776437 Lookup     /usr/lib/x86_64-linux-gnu/librdmacm.so.1
2024/11/10 18:03:00 recorder.go:46: 1731261780856827895 Lookup     /usr/lib/x86_64-linux-gnu/librdmacm.so.1.3.39.0
2024/11/10 18:03:00 recorder.go:46: 1731261780856892960 Open       /usr/lib/x86_64-linux-gnu/librdmacm.so.1.3.39.0
2024/11/10 18:03:00 recorder.go:46: 1731261780857342310 Lookup     /usr/lib/x86_64-linux-gnu/libefa.so.1
2024/11/10 18:03:00 recorder.go:46: 1731261780857388459 Lookup     /usr/lib/x86_64-linux-gnu/libefa.so.1.1.39.0
2024/11/10 18:03:00 recorder.go:46: 1731261780857480595 Open       /usr/lib/x86_64-linux-gnu/libefa.so.1.1.39.0
2024/11/10 18:03:00 recorder.go:46: 1731261780858016200 Lookup     /usr/lib/x86_64-linux-gnu/libibverbs.so.1
2024/11/10 18:03:00 recorder.go:46: 1731261780858055425 Lookup     /usr/lib/x86_64-linux-gnu/libibverbs.so.1.14.39.0
2024/11/10 18:03:00 recorder.go:46: 1731261780858123315 Open       /usr/lib/x86_64-linux-gnu/libibverbs.so.1.14.39.0
2024/11/10 18:03:00 recorder.go:46: 1731261780858598254 Lookup     /usr/lib/x86_64-linux-gnu/libpsm_infinipath.so.1
2024/11/10 18:03:00 recorder.go:46: 1731261780858720669 Lookup     /etc/alternatives
2024/11/10 18:03:00 recorder.go:46: 1731261780858765815 Lookup     /etc/alternatives/libpsm_infinipath.so.1
2024/11/10 18:03:00 recorder.go:46: 1731261780858838685 Lookup     /usr/lib/libpsm1
2024/11/10 18:03:00 recorder.go:46: 1731261780858870255 Lookup     /usr/lib/libpsm1/libpsm_infinipath.so.1.16
2024/11/10 18:03:00 recorder.go:46: 1731261780858908338 Open       /usr/lib/libpsm1/libpsm_infinipath.so.1.16
2024/11/10 18:03:00 recorder.go:46: 1731261780859406231 Lookup     /usr/lib/x86_64-linux-gnu/libpsm2.so.2
2024/11/10 18:03:00 recorder.go:46: 1731261780859459964 Lookup     /usr/lib/x86_64-linux-gnu/libpsm2.so.2.2
2024/11/10 18:03:00 recorder.go:46: 1731261780859549425 Open       /usr/lib/x86_64-linux-gnu/libpsm2.so.2.2
2024/11/10 18:03:00 recorder.go:46: 1731261780860496468 Lookup     /usr/lib/x86_64-linux-gnu/libnl-3.so.200
2024/11/10 18:03:00 recorder.go:46: 1731261780860562885 Lookup     /usr/lib/x86_64-linux-gnu/libnl-3.so.200.26.0
2024/11/10 18:03:00 recorder.go:46: 1731261780860661494 Open       /usr/lib/x86_64-linux-gnu/libnl-3.so.200.26.0
2024/11/10 18:03:00 recorder.go:46: 1731261780861079825 Lookup     /usr/lib/x86_64-linux-gnu/libnl-route-3.so.200
2024/11/10 18:03:00 recorder.go:46: 1731261780861126023 Lookup     /usr/lib/x86_64-linux-gnu/libnl-route-3.so.200.26.0
2024/11/10 18:03:00 recorder.go:46: 1731261780861194444 Open       /usr/lib/x86_64-linux-gnu/libnl-route-3.so.200.26.0
2024/11/10 18:03:00 recorder.go:46: 1731261780862025385 Lookup     /usr/lib/x86_64-linux-gnu/libinfinipath.so.4
2024/11/10 18:03:00 recorder.go:46: 1731261780862071383 Lookup     /usr/lib/x86_64-linux-gnu/libinfinipath.so.4.0
2024/11/10 18:03:00 recorder.go:46: 1731261780862146206 Open       /usr/lib/x86_64-linux-gnu/libinfinipath.so.4.0
2024/11/10 18:03:00 recorder.go:46: 1731261780862627408 Lookup     /usr/lib/x86_64-linux-gnu/librt.so.1
2024/11/10 18:03:00 recorder.go:46: 1731261780862677764 Open       /usr/lib/x86_64-linux-gnu/librt.so.1
2024/11/10 18:03:00 recorder.go:46: 1731261780862983599 Lookup     /usr/lib/x86_64-linux-gnu/libpthread.so.0
2024/11/10 18:03:00 recorder.go:46: 1731261780863019739 Open       /usr/lib/x86_64-linux-gnu/libpthread.so.0
2024/11/10 18:03:00 recorder.go:46: 1731261780863315585 Lookup     /usr/lib/x86_64-linux-gnu/libdl.so.2
2024/11/10 18:03:00 recorder.go:46: 1731261780863351384 Open       /usr/lib/x86_64-linux-gnu/libdl.so.2
2024/11/10 18:03:00 recorder.go:46: 1731261780863626701 Lookup     /usr/lib/x86_64-linux-gnu/libuuid.so.1
2024/11/10 18:03:00 recorder.go:46: 1731261780863666026 Lookup     /usr/lib/x86_64-linux-gnu/libuuid.so.1.3.0
2024/11/10 18:03:00 recorder.go:46: 1731261780863729157 Open       /usr/lib/x86_64-linux-gnu/libuuid.so.1.3.0
2024/11/10 18:03:00 recorder.go:46: 1731261780864020525 Lookup     /usr/lib/x86_64-linux-gnu/libnuma.so.1
2024/11/10 18:03:00 recorder.go:46: 1731261780864059509 Lookup     /usr/lib/x86_64-linux-gnu/libnuma.so.1.0.0
2024/11/10 18:03:00 recorder.go:46: 1731261780864119133 Open       /usr/lib/x86_64-linux-gnu/libnuma.so.1.0.0
2024/11/10 18:03:01 recorder.go:46: 1731261781090197230 Lookup     /usr/lib/x86_64-linux-gnu/hwloc
2024/11/10 18:03:01 recorder.go:46: 1731261781090563331 Lookup     /usr/lib/x86_64-linux-gnu/hwloc/hwloc_opencl.so
2024/11/10 18:03:01 recorder.go:46: 1731261781090603177 Lookup     /usr/lib/x86_64-linux-gnu/hwloc/hwloc_xml_libxml.so
2024/11/10 18:03:01 recorder.go:46: 1731261781090616984 Lookup     /usr/lib/x86_64-linux-gnu/hwloc/hwloc_gl.so
2024/11/10 18:03:01 recorder.go:46: 1731261781090631632 Lookup     /usr/lib/x86_64-linux-gnu/hwloc/hwloc_pci.so
2024/11/10 18:03:01 recorder.go:46: 1731261781090779044 Open       /usr/lib/x86_64-linux-gnu/hwloc/hwloc_opencl.so
2024/11/10 18:03:01 recorder.go:46: 1731261781091235257 Open       /etc/ld.so.cache
2024/11/10 18:03:01 recorder.go:46: 1731261781091598743 Lookup     /usr/lib/x86_64-linux-gnu/libOpenCL.so.1
2024/11/10 18:03:01 recorder.go:46: 1731261781091667605 Lookup     /usr/lib/x86_64-linux-gnu/libOpenCL.so.1.0.0
2024/11/10 18:03:01 recorder.go:46: 1731261781091793516 Open       /usr/lib/x86_64-linux-gnu/libOpenCL.so.1.0.0
2024/11/10 18:03:01 recorder.go:46: 1731261781092473728 Open       /usr/lib/x86_64-linux-gnu/hwloc/hwloc_xml_libxml.so
2024/11/10 18:03:01 recorder.go:46: 1731261781092851091 Open       /etc/ld.so.cache
2024/11/10 18:03:01 recorder.go:46: 1731261781093087152 Lookup     /usr/lib/x86_64-linux-gnu/libxml2.so.2
2024/11/10 18:03:01 recorder.go:46: 1731261781093126468 Lookup     /usr/lib/x86_64-linux-gnu/libxml2.so.2.9.13
2024/11/10 18:03:01 recorder.go:46: 1731261781093187334 Open       /usr/lib/x86_64-linux-gnu/libxml2.so.2.9.13
2024/11/10 18:03:01 recorder.go:46: 1731261781093633899 Lookup     /usr/lib/x86_64-linux-gnu/libicuuc.so.70
2024/11/10 18:03:01 recorder.go:46: 1731261781093678114 Lookup     /usr/lib/x86_64-linux-gnu/libicuuc.so.70.1
2024/11/10 18:03:01 recorder.go:46: 1731261781093742828 Open       /usr/lib/x86_64-linux-gnu/libicuuc.so.70.1
2024/11/10 18:03:01 recorder.go:46: 1731261781094147863 Lookup     /usr/lib/x86_64-linux-gnu/libz.so.1
2024/11/10 18:03:01 recorder.go:46: 1731261781094186817 Lookup     /usr/lib/x86_64-linux-gnu/libz.so.1.2.11
2024/11/10 18:03:01 recorder.go:46: 1731261781094248305 Open       /usr/lib/x86_64-linux-gnu/libz.so.1.2.11
2024/11/10 18:03:01 recorder.go:46: 1731261781094608455 Lookup     /usr/lib/x86_64-linux-gnu/liblzma.so.5
2024/11/10 18:03:01 recorder.go:46: 1731261781094652719 Lookup     /usr/lib/x86_64-linux-gnu/liblzma.so.5.2.5
2024/11/10 18:03:01 recorder.go:46: 1731261781094725088 Open       /usr/lib/x86_64-linux-gnu/liblzma.so.5.2.5
2024/11/10 18:03:01 recorder.go:46: 1731261781095069567 Lookup     /usr/lib/x86_64-linux-gnu/libicudata.so.70
2024/11/10 18:03:01 recorder.go:46: 1731261781095119363 Lookup     /usr/lib/x86_64-linux-gnu/libicudata.so.70.1
2024/11/10 18:03:01 recorder.go:46: 1731261781095184537 Open       /usr/lib/x86_64-linux-gnu/libicudata.so.70.1
2024/11/10 18:03:01 recorder.go:46: 1731261781096626317 Open       /usr/lib/x86_64-linux-gnu/hwloc/hwloc_gl.so
2024/11/10 18:03:01 recorder.go:46: 1731261781096954936 Open       /etc/ld.so.cache
2024/11/10 18:03:01 recorder.go:46: 1731261781097204194 Lookup     /usr/lib/x86_64-linux-gnu/libXNVCtrl.so.0
2024/11/10 18:03:01 recorder.go:46: 1731261781097252216 Lookup     /usr/lib/x86_64-linux-gnu/libXNVCtrl.so.0.0.0
2024/11/10 18:03:01 recorder.go:46: 1731261781097317130 Open       /usr/lib/x86_64-linux-gnu/libXNVCtrl.so.0.0.0
2024/11/10 18:03:01 recorder.go:46: 1731261781097771269 Lookup     /usr/lib/x86_64-linux-gnu/libX11.so.6
2024/11/10 18:03:01 recorder.go:46: 1731261781097825954 Lookup     /usr/lib/x86_64-linux-gnu/libX11.so.6.4.0
2024/11/10 18:03:01 recorder.go:46: 1731261781097921296 Open       /usr/lib/x86_64-linux-gnu/libX11.so.6.4.0
2024/11/10 18:03:01 recorder.go:46: 1731261781098506437 Lookup     /usr/lib/x86_64-linux-gnu/libXext.so.6
2024/11/10 18:03:01 recorder.go:46: 1731261781098553587 Lookup     /usr/lib/x86_64-linux-gnu/libXext.so.6.4.0
