2024/11/10 18:08:57 recorder.go:46: 1731262137161838109 Lookup     /etc
2024/11/10 18:08:57 recorder.go:46: 1731262137161971600 Lookup     /etc/host.conf
2024/11/10 18:08:57 recorder.go:46: 1731262137162051628 Lookup     /etc/hosts
2024/11/10 18:08:57 recorder.go:46: 1731262137162085567 Lookup     /etc/nsswitch.conf
2024/11/10 18:08:57 recorder.go:46: 1731262137162109879 Lookup     /etc/resolv.conf
2024/11/10 18:08:57 recorder.go:46: 1731262137162133350 Lookup     /dev
2024/11/10 18:08:57 recorder.go:46: 1731262137162154697 Lookup     /sys
2024/11/10 18:08:57 recorder.go:46: 1731262137162173429 Lookup     /proc
2024/11/10 18:08:57 recorder.go:46: 1731262137162199464 Lookup     /tmp
2024/11/10 18:08:57 recorder.go:46: 1731262137162217004 Lookup     /root
2024/11/10 18:08:57 recorder.go:46: 1731262137162252986 Lookup     /opt
2024/11/10 18:08:57 recorder.go:46: 1731262137162271218 Lookup     /opt/lammps
2024/11/10 18:08:57 recorder.go:46: 1731262137162290782 Lookup     /opt/lammps/examples
2024/11/10 18:08:57 recorder.go:46: 1731262137162312038 Lookup     /opt/lammps/examples/reax
2024/11/10 18:08:57 recorder.go:46: 1731262137162337382 Lookup     /opt/lammps/examples/reax/HNS
2024/11/10 18:08:57 recorder.go:46: 1731262137162448745 Lookup     /usr
2024/11/10 18:08:57 recorder.go:46: 1731262137162471083 Lookup     /usr/local
2024/11/10 18:08:57 recorder.go:46: 1731262137162489535 Lookup     /usr/local/sbin
2024/11/10 18:08:57 recorder.go:46: 1731262137162569233 Lookup     /usr/local/bin
2024/11/10 18:08:57 recorder.go:46: 1731262137162636409 Lookup     /usr/sbin
2024/11/10 18:08:57 recorder.go:46: 1731262137162704497 Lookup     /usr/bin
2024/11/10 18:08:57 recorder.go:46: 1731262137162731223 Lookup     /usr/bin/lmp
2024/11/10 18:08:57 recorder.go:46: 1731262137163020984 Open       /usr/bin/lmp
2024/11/10 18:08:57 recorder.go:46: 1731262137163406841 Open       /usr/bin/lmp
2024/11/10 18:08:57 recorder.go:46: 1731262137163529933 Lookup     /lib64
2024/11/10 18:08:57 recorder.go:46: 1731262137163592782 Lookup     /usr/lib64
2024/11/10 18:08:57 recorder.go:46: 1731262137163686935 Lookup     /usr/lib64/ld-linux-x86-64.so.2
2024/11/10 18:08:57 recorder.go:46: 1731262137163760873 Lookup     /lib
2024/11/10 18:08:57 recorder.go:46: 1731262137163799590 Lookup     /usr/lib
2024/11/10 18:08:57 recorder.go:46: 1731262137163870482 Lookup     /usr/lib/x86_64-linux-gnu
2024/11/10 18:08:57 recorder.go:46: 1731262137163900354 Lookup     /usr/lib/x86_64-linux-gnu/ld-linux-x86-64.so.2
2024/11/10 18:08:57 recorder.go:46: 1731262137163979941 Open       /usr/lib/x86_64-linux-gnu/ld-linux-x86-64.so.2
2024/11/10 18:08:57 recorder.go:46: 1731262137164584506 Open       /usr/bin/lmp
2024/11/10 18:08:57 recorder.go:46: 1731262137165370194 Open       /usr/lib/x86_64-linux-gnu/ld-linux-x86-64.so.2
2024/11/10 18:08:57 recorder.go:46: 1731262137166768592 Lookup     /etc/ld.so.cache
2024/11/10 18:08:57 recorder.go:46: 1731262137166802190 Open       /etc/ld.so.cache
2024/11/10 18:08:57 recorder.go:46: 1731262137166990235 Lookup     /usr/lib/x86_64-linux-gnu/libmpich.so.12
2024/11/10 18:08:57 recorder.go:46: 1731262137167023893 Lookup     /usr/lib/x86_64-linux-gnu/libmpich.so.12.2.0
2024/11/10 18:08:57 recorder.go:46: 1731262137167076824 Open       /usr/lib/x86_64-linux-gnu/libmpich.so.12.2.0
2024/11/10 18:08:57 recorder.go:46: 1731262137167510234 Lookup     /usr/lib/x86_64-linux-gnu/libstdc++.so.6
2024/11/10 18:08:57 recorder.go:46: 1731262137167554340 Lookup     /usr/lib/x86_64-linux-gnu/libstdc++.so.6.0.30
2024/11/10 18:08:57 recorder.go:46: 1731262137167611278 Open       /usr/lib/x86_64-linux-gnu/libstdc++.so.6.0.30
2024/11/10 18:08:57 recorder.go:46: 1731262137168084837 Lookup     /usr/lib/x86_64-linux-gnu/libm.so.6
2024/11/10 18:08:57 recorder.go:46: 1731262137168110892 Open       /usr/lib/x86_64-linux-gnu/libm.so.6
2024/11/10 18:08:57 recorder.go:46: 1731262137168644534 Lookup     /usr/lib/x86_64-linux-gnu/libgcc_s.so.1
2024/11/10 18:08:57 recorder.go:46: 1731262137168673084 Open       /usr/lib/x86_64-linux-gnu/libgcc_s.so.1
2024/11/10 18:08:57 recorder.go:46: 1731262137168990162 Lookup     /usr/lib/x86_64-linux-gnu/libc.so.6
2024/11/10 18:08:57 recorder.go:46: 1731262137169036021 Open       /usr/lib/x86_64-linux-gnu/libc.so.6
2024/11/10 18:08:57 recorder.go:46: 1731262137169740068 Lookup     /usr/lib/x86_64-linux-gnu/libhwloc.so.15
