2024/11/10 07:11:57 recorder.go:46: 1731222717241694835 Lookup     /etc
2024/11/10 07:11:57 recorder.go:46: 1731222717241940968 Lookup     /etc/host.conf
2024/11/10 07:11:57 recorder.go:46: 1731222717242090872 Lookup     /etc/hosts
2024/11/10 07:11:57 recorder.go:46: 1731222717242143094 Lookup     /etc/nsswitch.conf
2024/11/10 07:11:57 recorder.go:46: 1731222717242178143 Lookup     /etc/resolv.conf
2024/11/10 07:11:57 recorder.go:46: 1731222717242215155 Lookup     /dev
2024/11/10 07:11:57 recorder.go:46: 1731222717242244463 Lookup     /sys
2024/11/10 07:11:57 recorder.go:46: 1731222717242273550 Lookup     /proc
2024/11/10 07:11:57 recorder.go:46: 1731222717242308588 Lookup     /tmp
2024/11/10 07:11:57 recorder.go:46: 1731222717242336313 Lookup     /root
2024/11/10 07:11:57 recorder.go:46: 1731222717242397843 Lookup     /opt
2024/11/10 07:11:57 recorder.go:46: 1731222717242425027 Lookup     /opt/lammps
2024/11/10 07:11:57 recorder.go:46: 1731222717242454013 Lookup     /opt/lammps/examples
2024/11/10 07:11:57 recorder.go:46: 1731222717242525684 Lookup     /opt/lammps/examples/reaxff
2024/11/10 07:11:57 recorder.go:46: 1731222717242567596 Lookup     /opt/lammps/examples/reaxff/HNS
2024/11/10 07:11:57 recorder.go:46: 1731222717242721758 Lookup     /usr
2024/11/10 07:11:57 recorder.go:46: 1731222717242755555 Lookup     /usr/local
2024/11/10 07:11:57 recorder.go:46: 1731222717242783890 Lookup     /usr/local/sbin
2024/11/10 07:11:57 recorder.go:46: 1731222717242896100 Lookup     /usr/local/bin
2024/11/10 07:11:57 recorder.go:46: 1731222717243004332 Lookup     /usr/sbin
2024/11/10 07:11:57 recorder.go:46: 1731222717243112955 Lookup     /usr/bin
2024/11/10 07:11:57 recorder.go:46: 1731222717243165698 Lookup     /usr/bin/lmp
2024/11/10 07:11:57 recorder.go:46: 1731222717243441729 Open       /usr/bin/lmp
2024/11/10 07:11:57 recorder.go:46: 1731222717246763661 Open       /usr/bin/lmp
2024/11/10 07:11:57 recorder.go:46: 1731222717246894016 Lookup     /lib64
2024/11/10 07:11:57 recorder.go:46: 1731222717246996156 Lookup     /usr/lib64
2024/11/10 07:11:57 recorder.go:46: 1731222717247130530 Lookup     /usr/lib64/ld-linux-x86-64.so.2
2024/11/10 07:11:57 recorder.go:46: 1731222717247243080 Lookup     /lib
2024/11/10 07:11:57 recorder.go:46: 1731222717247295633 Lookup     /usr/lib
2024/11/10 07:11:57 recorder.go:46: 1731222717247412192 Lookup     /usr/lib/x86_64-linux-gnu
2024/11/10 07:11:57 recorder.go:46: 1731222717247450176 Lookup     /usr/lib/x86_64-linux-gnu/ld-linux-x86-64.so.2
2024/11/10 07:11:57 recorder.go:46: 1731222717247592685 Open       /usr/lib/x86_64-linux-gnu/ld-linux-x86-64.so.2
2024/11/10 07:11:57 recorder.go:46: 1731222717248555382 Open       /usr/bin/lmp
2024/11/10 07:11:57 recorder.go:46: 1731222717249396160 Open       /usr/lib/x86_64-linux-gnu/ld-linux-x86-64.so.2
2024/11/10 07:11:57 recorder.go:46: 1731222717253441700 Lookup     /etc/ld.so.cache
2024/11/10 07:11:57 recorder.go:46: 1731222717253575933 Open       /etc/ld.so.cache
2024/11/10 07:11:57 recorder.go:46: 1731222717254018360 Lookup     /usr/lib/x86_64-linux-gnu/libmpich.so.12
2024/11/10 07:11:57 recorder.go:46: 1731222717254122414 Lookup     /usr/lib/x86_64-linux-gnu/libmpich.so.12.2.0
2024/11/10 07:11:57 recorder.go:46: 1731222717254211819 Open       /usr/lib/x86_64-linux-gnu/libmpich.so.12.2.0
2024/11/10 07:11:57 recorder.go:46: 1731222717255459705 Lookup     /usr/lib/x86_64-linux-gnu/libgomp.so.1
2024/11/10 07:11:57 recorder.go:46: 1731222717255582656 Lookup     /usr/lib/x86_64-linux-gnu/libgomp.so.1.0.0
2024/11/10 07:11:57 recorder.go:46: 1731222717255690558 Open       /usr/lib/x86_64-linux-gnu/libgomp.so.1.0.0
2024/11/10 07:11:57 recorder.go:46: 1731222717256418124 Lookup     /usr/lib/x86_64-linux-gnu/libstdc++.so.6
2024/11/10 07:11:57 recorder.go:46: 1731222717256472921 Lookup     /usr/lib/x86_64-linux-gnu/libstdc++.so.6.0.30
2024/11/10 07:11:57 recorder.go:46: 1731222717256575582 Open       /usr/lib/x86_64-linux-gnu/libstdc++.so.6.0.30
2024/11/10 07:11:57 recorder.go:46: 1731222717257118707 Lookup     /usr/lib/x86_64-linux-gnu/libm.so.6
2024/11/10 07:11:57 recorder.go:46: 1731222717257157603 Open       /usr/lib/x86_64-linux-gnu/libm.so.6
2024/11/10 07:11:57 recorder.go:46: 1731222717257660028 Lookup     /usr/lib/x86_64-linux-gnu/libgcc_s.so.1
2024/11/10 07:11:57 recorder.go:46: 1731222717257703383 Open       /usr/lib/x86_64-linux-gnu/libgcc_s.so.1
2024/11/10 07:11:57 recorder.go:46: 1731222717258013060 Lookup     /usr/lib/x86_64-linux-gnu/libc.so.6
2024/11/10 07:11:57 recorder.go:46: 1731222717258042838 Open       /usr/lib/x86_64-linux-gnu/libc.so.6
2024/11/10 07:11:57 recorder.go:46: 1731222717258541275 Lookup     /usr/lib/x86_64-linux-gnu/libhwloc.so.15
2024/11/10 07:11:57 recorder.go:46: 1731222717258583137 Lookup     /usr/lib/x86_64-linux-gnu/libhwloc.so.15.5.2
2024/11/10 07:11:57 recorder.go:46: 1731222717258639618 Open       /usr/lib/x86_64-linux-gnu/libhwloc.so.15.5.2
2024/11/10 07:11:57 recorder.go:46: 1731222717259040554 Lookup     /usr/lib/x86_64-linux-gnu/libfabric.so.1
2024/11/10 07:11:57 recorder.go:46: 1731222717259075492 Lookup     /usr/lib/x86_64-linux-gnu/libfabric.so.1.14.0
2024/11/10 07:11:57 recorder.go:46: 1731222717259130189 Open       /usr/lib/x86_64-linux-gnu/libfabric.so.1.14.0
