2024/11/10 07:04:51 recorder.go:46: 1731222291098944601 Lookup     /etc
2024/11/10 07:04:51 recorder.go:46: 1731222291099080805 Lookup     /etc/host.conf
2024/11/10 07:04:51 recorder.go:46: 1731222291099156839 Lookup     /etc/hosts
2024/11/10 07:04:51 recorder.go:46: 1731222291099184745 Lookup     /etc/nsswitch.conf
2024/11/10 07:04:51 recorder.go:46: 1731222291099207922 Lookup     /etc/resolv.conf
2024/11/10 07:04:51 recorder.go:46: 1731222291099230538 Lookup     /dev
2024/11/10 07:04:51 recorder.go:46: 1731222291099251961 Lookup     /sys
2024/11/10 07:04:51 recorder.go:46: 1731222291099271170 Lookup     /proc
2024/11/10 07:04:51 recorder.go:46: 1731222291099297523 Lookup     /tmp
2024/11/10 07:04:51 recorder.go:46: 1731222291099315078 Lookup     /root
2024/11/10 07:04:51 recorder.go:46: 1731222291099364177 Lookup     /opt
2024/11/10 07:04:51 recorder.go:46: 1731222291099387314 Lookup     /opt/lammps
2024/11/10 07:04:51 recorder.go:46: 1731222291099408978 Lookup     /opt/lammps/examples
2024/11/10 07:04:51 recorder.go:46: 1731222291099432996 Lookup     /opt/lammps/examples/reaxff
2024/11/10 07:04:51 recorder.go:46: 1731222291099459941 Lookup     /opt/lammps/examples/reaxff/HNS
2024/11/10 07:04:51 recorder.go:46: 1731222291099580995 Lookup     /usr
2024/11/10 07:04:51 recorder.go:46: 1731222291099605905 Lookup     /usr/local
2024/11/10 07:04:51 recorder.go:46: 1731222291099626437 Lookup     /usr/local/sbin
2024/11/10 07:04:51 recorder.go:46: 1731222291099699574 Lookup     /usr/local/bin
2024/11/10 07:04:51 recorder.go:46: 1731222291099767922 Lookup     /usr/sbin
2024/11/10 07:04:51 recorder.go:46: 1731222291099837953 Lookup     /usr/bin
2024/11/10 07:04:51 recorder.go:46: 1731222291099873555 Lookup     /usr/bin/lmp
2024/11/10 07:04:51 recorder.go:46: 1731222291100238902 Open       /usr/bin/lmp
2024/11/10 07:04:51 recorder.go:46: 1731222291100549850 Open       /usr/bin/lmp
2024/11/10 07:04:51 recorder.go:46: 1731222291100626966 Lookup     /lib64
2024/11/10 07:04:51 recorder.go:46: 1731222291100673710 Lookup     /usr/lib64
2024/11/10 07:04:51 recorder.go:46: 1731222291100761998 Lookup     /usr/lib64/ld-linux-x86-64.so.2
2024/11/10 07:04:51 recorder.go:46: 1731222291100837751 Lookup     /lib
2024/11/10 07:04:51 recorder.go:46: 1731222291100869254 Lookup     /usr/lib
2024/11/10 07:04:51 recorder.go:46: 1731222291100949436 Lookup     /usr/lib/x86_64-linux-gnu
2024/11/10 07:04:51 recorder.go:46: 1731222291100977022 Lookup     /usr/lib/x86_64-linux-gnu/ld-linux-x86-64.so.2
2024/11/10 07:04:51 recorder.go:46: 1731222291101063055 Open       /usr/lib/x86_64-linux-gnu/ld-linux-x86-64.so.2
2024/11/10 07:04:51 recorder.go:46: 1731222291101705221 Open       /usr/bin/lmp
2024/11/10 07:04:51 recorder.go:46: 1731222291102438862 Open       /usr/lib/x86_64-linux-gnu/ld-linux-x86-64.so.2
2024/11/10 07:04:51 recorder.go:46: 1731222291103316403 Lookup     /etc/ld.so.cache
2024/11/10 07:04:51 recorder.go:46: 1731222291103347475 Open       /etc/ld.so.cache
2024/11/10 07:04:51 recorder.go:46: 1731222291103545996 Lookup     /usr/lib/x86_64-linux-gnu/libgomp.so.1
2024/11/10 07:04:51 recorder.go:46: 1731222291103582630 Lookup     /usr/lib/x86_64-linux-gnu/libgomp.so.1.0.0
2024/11/10 07:04:51 recorder.go:46: 1731222291103635827 Open       /usr/lib/x86_64-linux-gnu/libgomp.so.1.0.0
2024/11/10 07:04:51 recorder.go:46: 1731222291104114483 Lookup     /usr/lib/x86_64-linux-gnu/libmpich.so.12
2024/11/10 07:04:51 recorder.go:46: 1731222291104152229 Lookup     /usr/lib/x86_64-linux-gnu/libmpich.so.12.2.0
