2024/11/10 18:02:18 recorder.go:46: 1731261738757179624 Lookup     /etc
2024/11/10 18:02:18 recorder.go:46: 1731261738757563269 Lookup     /etc/host.conf
2024/11/10 18:02:18 recorder.go:46: 1731261738757683028 Lookup     /etc/hosts
2024/11/10 18:02:18 recorder.go:46: 1731261738757725840 Lookup     /etc/nsswitch.conf
2024/11/10 18:02:18 recorder.go:46: 1731261738757759404 Lookup     /etc/resolv.conf
2024/11/10 18:02:18 recorder.go:46: 1731261738757794191 Lookup     /dev
2024/11/10 18:02:18 recorder.go:46: 1731261738757828116 Lookup     /sys
2024/11/10 18:02:18 recorder.go:46: 1731261738757856550 Lookup     /proc
2024/11/10 18:02:18 recorder.go:46: 1731261738757896427 Lookup     /tmp
2024/11/10 18:02:18 recorder.go:46: 1731261738757923108 Lookup     /root
2024/11/10 18:02:18 recorder.go:46: 1731261738757975518 Lookup     /opt
2024/11/10 18:02:18 recorder.go:46: 1731261738758003191 Lookup     /opt/lammps
2024/11/10 18:02:18 recorder.go:46: 1731261738758036174 Lookup     /opt/lammps/examples
2024/11/10 18:02:18 recorder.go:46: 1731261738758069488 Lookup     /opt/lammps/examples/reax
2024/11/10 18:02:18 recorder.go:46: 1731261738758110637 Lookup     /opt/lammps/examples/reax/HNS
2024/11/10 18:02:18 recorder.go:46: 1731261738758258730 Lookup     /usr
2024/11/10 18:02:18 recorder.go:46: 1731261738758285091 Lookup     /usr/local
2024/11/10 18:02:18 recorder.go:46: 1731261738758312574 Lookup     /usr/local/sbin
2024/11/10 18:02:18 recorder.go:46: 1731261738758402285 Lookup     /usr/local/bin
2024/11/10 18:02:18 recorder.go:46: 1731261738758481467 Lookup     /usr/sbin
2024/11/10 18:02:18 recorder.go:46: 1731261738758584194 Lookup     /usr/bin
2024/11/10 18:02:18 recorder.go:46: 1731261738758616896 Lookup     /usr/bin/lmp
2024/11/10 18:02:18 recorder.go:46: 1731261738758902854 Open       /usr/bin/lmp
2024/11/10 18:02:18 recorder.go:46: 1731261738759201636 Open       /usr/bin/lmp
2024/11/10 18:02:18 recorder.go:46: 1731261738759296888 Lookup     /lib64
2024/11/10 18:02:18 recorder.go:46: 1731261738759350301 Lookup     /usr/lib64
2024/11/10 18:02:18 recorder.go:46: 1731261738759449611 Lookup     /usr/lib64/ld-linux-x86-64.so.2
2024/11/10 18:02:18 recorder.go:46: 1731261738759526207 Lookup     /lib
2024/11/10 18:02:18 recorder.go:46: 1731261738759560573 Lookup     /usr/lib
2024/11/10 18:02:18 recorder.go:46: 1731261738759626329 Lookup     /usr/lib/x86_64-linux-gnu
2024/11/10 18:02:18 recorder.go:46: 1731261738759650716 Lookup     /usr/lib/x86_64-linux-gnu/ld-linux-x86-64.so.2
2024/11/10 18:02:18 recorder.go:46: 1731261738759717674 Open       /usr/lib/x86_64-linux-gnu/ld-linux-x86-64.so.2
2024/11/10 18:02:18 recorder.go:46: 1731261738760635962 Open       /usr/bin/lmp
2024/11/10 18:02:18 recorder.go:46: 1731261738761421236 Open       /usr/lib/x86_64-linux-gnu/ld-linux-x86-64.so.2
2024/11/10 18:02:18 recorder.go:46: 1731261738762767544 Lookup     /etc/ld.so.cache
2024/11/10 18:02:18 recorder.go:46: 1731261738762816367 Open       /etc/ld.so.cache
2024/11/10 18:02:18 recorder.go:46: 1731261738763074431 Lookup     /usr/lib/x86_64-linux-gnu/libmpich.so.12
2024/11/10 18:02:18 recorder.go:46: 1731261738763115911 Lookup     /usr/lib/x86_64-linux-gnu/libmpich.so.12.2.0
2024/11/10 18:02:18 recorder.go:46: 1731261738763178881 Open       /usr/lib/x86_64-linux-gnu/libmpich.so.12.2.0
2024/11/10 18:02:18 recorder.go:46: 1731261738763739525 Lookup     /usr/lib/x86_64-linux-gnu/libgomp.so.1
2024/11/10 18:02:18 recorder.go:46: 1731261738763779271 Lookup     /usr/lib/x86_64-linux-gnu/libgomp.so.1.0.0
2024/11/10 18:02:18 recorder.go:46: 1731261738763836661 Open       /usr/lib/x86_64-linux-gnu/libgomp.so.1.0.0
2024/11/10 18:02:18 recorder.go:46: 1731261738764237658 Lookup     /usr/lib/x86_64-linux-gnu/libstdc++.so.6
2024/11/10 18:02:18 recorder.go:46: 1731261738764291341 Lookup     /usr/lib/x86_64-linux-gnu/libstdc++.so.6.0.30
2024/11/10 18:02:18 recorder.go:46: 1731261738764373258 Open       /usr/lib/x86_64-linux-gnu/libstdc++.so.6.0.30
2024/11/10 18:02:18 recorder.go:46: 1731261738764915416 Lookup     /usr/lib/x86_64-linux-gnu/libm.so.6
2024/11/10 18:02:18 recorder.go:46: 1731261738764950724 Open       /usr/lib/x86_64-linux-gnu/libm.so.6
2024/11/10 18:02:18 recorder.go:46: 1731261738765534862 Lookup     /usr/lib/x86_64-linux-gnu/libgcc_s.so.1
2024/11/10 18:02:18 recorder.go:46: 1731261738765580369 Open       /usr/lib/x86_64-linux-gnu/libgcc_s.so.1
2024/11/10 18:02:18 recorder.go:46: 1731261738765984583 Lookup     /usr/lib/x86_64-linux-gnu/libc.so.6
2024/11/10 18:02:18 recorder.go:46: 1731261738766026954 Open       /usr/lib/x86_64-linux-gnu/libc.so.6
2024/11/10 18:02:18 recorder.go:46: 1731261738766583640 Lookup     /usr/lib/x86_64-linux-gnu/libhwloc.so.15
2024/11/10 18:02:18 recorder.go:46: 1731261738766622214 Lookup     /usr/lib/x86_64-linux-gnu/libhwloc.so.15.5.2
2024/11/10 18:02:18 recorder.go:46: 1731261738766685014 Open       /usr/lib/x86_64-linux-gnu/libhwloc.so.15.5.2
2024/11/10 18:02:18 recorder.go:46: 1731261738767233384 Lookup     /usr/lib/x86_64-linux-gnu/libfabric.so.1
2024/11/10 18:02:18 recorder.go:46: 1731261738767281947 Lookup     /usr/lib/x86_64-linux-gnu/libfabric.so.1.14.0
2024/11/10 18:02:18 recorder.go:46: 1731261738767377320 Open       /usr/lib/x86_64-linux-gnu/libfabric.so.1.14.0
2024/11/10 18:02:18 recorder.go:46: 1731261738767875183 Lookup     /usr/lib/x86_64-linux-gnu/libudev.so.1
2024/11/10 18:02:18 recorder.go:46: 1731261738767925279 Lookup     /usr/lib/x86_64-linux-gnu/libudev.so.1.7.2
2024/11/10 18:02:18 recorder.go:46: 1731261738768000513 Open       /usr/lib/x86_64-linux-gnu/libudev.so.1.7.2
2024/11/10 18:02:18 recorder.go:46: 1731261738768314404 Lookup     /usr/lib/x86_64-linux-gnu/librdmacm.so.1
2024/11/10 18:02:18 recorder.go:46: 1731261738768354862 Lookup     /usr/lib/x86_64-linux-gnu/librdmacm.so.1.3.39.0
2024/11/10 18:02:18 recorder.go:46: 1731261738768416780 Open       /usr/lib/x86_64-linux-gnu/librdmacm.so.1.3.39.0
2024/11/10 18:02:18 recorder.go:46: 1731261738768889345 Lookup     /usr/lib/x86_64-linux-gnu/libefa.so.1
2024/11/10 18:02:18 recorder.go:46: 1731261738768943168 Lookup     /usr/lib/x86_64-linux-gnu/libefa.so.1.1.39.0
2024/11/10 18:02:18 recorder.go:46: 1731261738769036647 Open       /usr/lib/x86_64-linux-gnu/libefa.so.1.1.39.0
2024/11/10 18:02:18 recorder.go:46: 1731261738769335459 Lookup     /usr/lib/x86_64-linux-gnu/libibverbs.so.1
2024/11/10 18:02:18 recorder.go:46: 1731261738769368523 Lookup     /usr/lib/x86_64-linux-gnu/libibverbs.so.1.14.39.0
2024/11/10 18:02:18 recorder.go:46: 1731261738769424550 Open       /usr/lib/x86_64-linux-gnu/libibverbs.so.1.14.39.0
2024/11/10 18:02:18 recorder.go:46: 1731261738769731087 Lookup     /usr/lib/x86_64-linux-gnu/libpsm_infinipath.so.1
2024/11/10 18:02:18 recorder.go:46: 1731261738769837150 Lookup     /etc/alternatives
2024/11/10 18:02:18 recorder.go:46: 1731261738769869562 Lookup     /etc/alternatives/libpsm_infinipath.so.1
2024/11/10 18:02:18 recorder.go:46: 1731261738769938043 Lookup     /usr/lib/libpsm1
2024/11/10 18:02:18 recorder.go:46: 1731261738769960847 Lookup     /usr/lib/libpsm1/libpsm_infinipath.so.1.16
2024/11/10 18:02:18 recorder.go:46: 1731261738769995313 Open       /usr/lib/libpsm1/libpsm_infinipath.so.1.16
2024/11/10 18:02:18 recorder.go:46: 1731261738770533193 Lookup     /usr/lib/x86_64-linux-gnu/libpsm2.so.2
2024/11/10 18:02:18 recorder.go:46: 1731261738770593999 Lookup     /usr/lib/x86_64-linux-gnu/libpsm2.so.2.2
2024/11/10 18:02:18 recorder.go:46: 1731261738770679403 Open       /usr/lib/x86_64-linux-gnu/libpsm2.so.2.2
2024/11/10 18:02:18 recorder.go:46: 1731261738771154412 Lookup     /usr/lib/x86_64-linux-gnu/libnl-3.so.200
2024/11/10 18:02:18 recorder.go:46: 1731261738771218315 Lookup     /usr/lib/x86_64-linux-gnu/libnl-3.so.200.26.0
2024/11/10 18:02:18 recorder.go:46: 1731261738771307475 Open       /usr/lib/x86_64-linux-gnu/libnl-3.so.200.26.0
2024/11/10 18:02:18 recorder.go:46: 1731261738771693795 Lookup     /usr/lib/x86_64-linux-gnu/libnl-route-3.so.200
2024/11/10 18:02:18 recorder.go:46: 1731261738771742719 Lookup     /usr/lib/x86_64-linux-gnu/libnl-route-3.so.200.26.0
