2024/11/10 07:12:14 recorder.go:46: 1731222734949145941 Lookup     /etc
2024/11/10 07:12:14 recorder.go:46: 1731222734949290594 Lookup     /etc/host.conf
2024/11/10 07:12:14 recorder.go:46: 1731222734949377554 Lookup     /etc/hosts
2024/11/10 07:12:14 recorder.go:46: 1731222734949416440 Lookup     /etc/nsswitch.conf
2024/11/10 07:12:14 recorder.go:46: 1731222734949456609 Lookup     /etc/resolv.conf
2024/11/10 07:12:14 recorder.go:46: 1731222734949578588 Lookup     /dev
2024/11/10 07:12:14 recorder.go:46: 1731222734949643435 Lookup     /sys
2024/11/10 07:12:14 recorder.go:46: 1731222734949664686 Lookup     /proc
2024/11/10 07:12:14 recorder.go:46: 1731222734949695296 Lookup     /tmp
2024/11/10 07:12:14 recorder.go:46: 1731222734949715316 Lookup     /root
2024/11/10 07:12:14 recorder.go:46: 1731222734949755334 Lookup     /opt
2024/11/10 07:12:14 recorder.go:46: 1731222734949774922 Lookup     /opt/lammps
2024/11/10 07:12:14 recorder.go:46: 1731222734949795092 Lookup     /opt/lammps/examples
2024/11/10 07:12:14 recorder.go:46: 1731222734949821985 Lookup     /opt/lammps/examples/reaxff
2024/11/10 07:12:14 recorder.go:46: 1731222734949844689 Lookup     /opt/lammps/examples/reaxff/HNS
2024/11/10 07:12:14 recorder.go:46: 1731222734949971077 Lookup     /usr
2024/11/10 07:12:14 recorder.go:46: 1731222734949997438 Lookup     /usr/local
2024/11/10 07:12:14 recorder.go:46: 1731222734950016976 Lookup     /usr/local/sbin
2024/11/10 07:12:14 recorder.go:46: 1731222734950095490 Lookup     /usr/local/bin
2024/11/10 07:12:14 recorder.go:46: 1731222734950189905 Lookup     /usr/sbin
2024/11/10 07:12:14 recorder.go:46: 1731222734950312605 Lookup     /usr/bin
2024/11/10 07:12:14 recorder.go:46: 1731222734950371831 Lookup     /usr/bin/lmp
2024/11/10 07:12:14 recorder.go:46: 1731222734950799239 Open       /usr/bin/lmp
2024/11/10 07:12:14 recorder.go:46: 1731222734951282686 Open       /usr/bin/lmp
2024/11/10 07:12:14 recorder.go:46: 1731222734951375277 Lookup     /lib64
2024/11/10 07:12:14 recorder.go:46: 1731222734951425956 Lookup     /usr/lib64
2024/11/10 07:12:14 recorder.go:46: 1731222734951521523 Lookup     /usr/lib64/ld-linux-x86-64.so.2
2024/11/10 07:12:14 recorder.go:46: 1731222734951597943 Lookup     /lib
2024/11/10 07:12:14 recorder.go:46: 1731222734951635777 Lookup     /usr/lib
