2024/11/10 07:08:29 recorder.go:46: 1731222509544384018 Lookup     /etc
2024/11/10 07:08:29 recorder.go:46: 1731222509544605487 Lookup     /etc/host.conf
2024/11/10 07:08:29 recorder.go:46: 1731222509544670235 Lookup     /etc/hosts
2024/11/10 07:08:29 recorder.go:46: 1731222509544696698 Lookup     /etc/nsswitch.conf
2024/11/10 07:08:29 recorder.go:46: 1731222509544719322 Lookup     /etc/resolv.conf
2024/11/10 07:08:29 recorder.go:46: 1731222509544741627 Lookup     /dev
2024/11/10 07:08:29 recorder.go:46: 1731222509544760564 Lookup     /sys
2024/11/10 07:08:29 recorder.go:46: 1731222509544780073 Lookup     /proc
2024/11/10 07:08:29 recorder.go:46: 1731222509544805283 Lookup     /tmp
2024/11/10 07:08:29 recorder.go:46: 1731222509544823309 Lookup     /root
2024/11/10 07:08:29 recorder.go:46: 1731222509544860322 Lookup     /opt
2024/11/10 07:08:29 recorder.go:46: 1731222509544879149 Lookup     /opt/lammps
2024/11/10 07:08:29 recorder.go:46: 1731222509544898357 Lookup     /opt/lammps/examples
2024/11/10 07:08:29 recorder.go:46: 1731222509544919970 Lookup     /opt/lammps/examples/reaxff
2024/11/10 07:08:29 recorder.go:46: 1731222509544941904 Lookup     /opt/lammps/examples/reaxff/HNS
2024/11/10 07:08:29 recorder.go:46: 1731222509545125417 Lookup     /usr
2024/11/10 07:08:29 recorder.go:46: 1731222509545158022 Lookup     /usr/local
2024/11/10 07:08:29 recorder.go:46: 1731222509545178863 Lookup     /usr/local/sbin
2024/11/10 07:08:29 recorder.go:46: 1731222509545261056 Lookup     /usr/local/bin
2024/11/10 07:08:29 recorder.go:46: 1731222509545333550 Lookup     /usr/sbin
2024/11/10 07:08:29 recorder.go:46: 1731222509545417817 Lookup     /usr/bin
2024/11/10 07:08:29 recorder.go:46: 1731222509545462055 Lookup     /usr/bin/lmp
2024/11/10 07:08:29 recorder.go:46: 1731222509545781879 Open       /usr/bin/lmp
2024/11/10 07:08:29 recorder.go:46: 1731222509546211921 Open       /usr/bin/lmp
2024/11/10 07:08:29 recorder.go:46: 1731222509546365696 Lookup     /lib64
2024/11/10 07:08:29 recorder.go:46: 1731222509546452298 Lookup     /usr/lib64
2024/11/10 07:08:29 recorder.go:46: 1731222509546593217 Lookup     /usr/lib64/ld-linux-x86-64.so.2
2024/11/10 07:08:29 recorder.go:46: 1731222509546688957 Lookup     /lib
2024/11/10 07:08:29 recorder.go:46: 1731222509546732814 Lookup     /usr/lib
2024/11/10 07:08:29 recorder.go:46: 1731222509546813554 Lookup     /usr/lib/x86_64-linux-gnu
2024/11/10 07:08:29 recorder.go:46: 1731222509546842551 Lookup     /usr/lib/x86_64-linux-gnu/ld-linux-x86-64.so.2
2024/11/10 07:08:29 recorder.go:46: 1731222509546924374 Open       /usr/lib/x86_64-linux-gnu/ld-linux-x86-64.so.2
2024/11/10 07:08:29 recorder.go:46: 1731222509547717296 Open       /usr/bin/lmp
2024/11/10 07:08:29 recorder.go:46: 1731222509548622781 Open       /usr/lib/x86_64-linux-gnu/ld-linux-x86-64.so.2
2024/11/10 07:08:29 recorder.go:46: 1731222509549740296 Lookup     /etc/ld.so.cache
2024/11/10 07:08:29 recorder.go:46: 1731222509549785155 Open       /etc/ld.so.cache
2024/11/10 07:08:29 recorder.go:46: 1731222509550043657 Lookup     /usr/lib/x86_64-linux-gnu/libgomp.so.1
2024/11/10 07:08:29 recorder.go:46: 1731222509550097624 Lookup     /usr/lib/x86_64-linux-gnu/libgomp.so.1.0.0
2024/11/10 07:08:29 recorder.go:46: 1731222509550194757 Open       /usr/lib/x86_64-linux-gnu/libgomp.so.1.0.0
2024/11/10 07:08:29 recorder.go:46: 1731222509550854004 Lookup     /usr/lib/x86_64-linux-gnu/libmpich.so.12
2024/11/10 07:08:29 recorder.go:46: 1731222509550896197 Lookup     /usr/lib/x86_64-linux-gnu/libmpich.so.12.2.0
2024/11/10 07:08:29 recorder.go:46: 1731222509550961827 Open       /usr/lib/x86_64-linux-gnu/libmpich.so.12.2.0
2024/11/10 07:08:29 recorder.go:46: 1731222509551576235 Lookup     /usr/lib/x86_64-linux-gnu/libstdc++.so.6
2024/11/10 07:08:29 recorder.go:46: 1731222509551615012 Lookup     /usr/lib/x86_64-linux-gnu/libstdc++.so.6.0.30
2024/11/10 07:08:29 recorder.go:46: 1731222509551680672 Open       /usr/lib/x86_64-linux-gnu/libstdc++.so.6.0.30
2024/11/10 07:08:29 recorder.go:46: 1731222509552126015 Lookup     /usr/lib/x86_64-linux-gnu/libm.so.6
2024/11/10 07:08:29 recorder.go:46: 1731222509552156866 Open       /usr/lib/x86_64-linux-gnu/libm.so.6
2024/11/10 07:08:29 recorder.go:46: 1731222509552598311 Lookup     /usr/lib/x86_64-linux-gnu/libgcc_s.so.1
2024/11/10 07:08:29 recorder.go:46: 1731222509552640726 Open       /usr/lib/x86_64-linux-gnu/libgcc_s.so.1
2024/11/10 07:08:29 recorder.go:46: 1731222509552961181 Lookup     /usr/lib/x86_64-linux-gnu/libc.so.6
2024/11/10 07:08:29 recorder.go:46: 1731222509552991511 Open       /usr/lib/x86_64-linux-gnu/libc.so.6
2024/11/10 07:08:29 recorder.go:46: 1731222509553743903 Lookup     /usr/lib/x86_64-linux-gnu/libhwloc.so.15
2024/11/10 07:08:29 recorder.go:46: 1731222509553784172 Lookup     /usr/lib/x86_64-linux-gnu/libhwloc.so.15.5.2
2024/11/10 07:08:29 recorder.go:46: 1731222509553846185 Open       /usr/lib/x86_64-linux-gnu/libhwloc.so.15.5.2
2024/11/10 07:08:29 recorder.go:46: 1731222509554300025 Lookup     /usr/lib/x86_64-linux-gnu/libfabric.so.1
2024/11/10 07:08:29 recorder.go:46: 1731222509554351928 Lookup     /usr/lib/x86_64-linux-gnu/libfabric.so.1.14.0
2024/11/10 07:08:29 recorder.go:46: 1731222509554409993 Open       /usr/lib/x86_64-linux-gnu/libfabric.so.1.14.0
2024/11/10 07:08:29 recorder.go:46: 1731222509554839354 Lookup     /usr/lib/x86_64-linux-gnu/libudev.so.1
2024/11/10 07:08:29 recorder.go:46: 1731222509554884053 Lookup     /usr/lib/x86_64-linux-gnu/libudev.so.1.7.2
2024/11/10 07:08:29 recorder.go:46: 1731222509554944873 Open       /usr/lib/x86_64-linux-gnu/libudev.so.1.7.2
2024/11/10 07:08:29 recorder.go:46: 1731222509555263425 Lookup     /usr/lib/x86_64-linux-gnu/librdmacm.so.1
2024/11/10 07:08:29 recorder.go:46: 1731222509555297512 Lookup     /usr/lib/x86_64-linux-gnu/librdmacm.so.1.3.39.0
2024/11/10 07:08:29 recorder.go:46: 1731222509555353103 Open       /usr/lib/x86_64-linux-gnu/librdmacm.so.1.3.39.0
2024/11/10 07:08:29 recorder.go:46: 1731222509555687345 Lookup     /usr/lib/x86_64-linux-gnu/libefa.so.1
2024/11/10 07:08:29 recorder.go:46: 1731222509555722264 Lookup     /usr/lib/x86_64-linux-gnu/libefa.so.1.1.39.0
2024/11/10 07:08:29 recorder.go:46: 1731222509555781462 Open       /usr/lib/x86_64-linux-gnu/libefa.so.1.1.39.0
2024/11/10 07:08:29 recorder.go:46: 1731222509556112879 Lookup     /usr/lib/x86_64-linux-gnu/libibverbs.so.1
2024/11/10 07:08:29 recorder.go:46: 1731222509556149571 Lookup     /usr/lib/x86_64-linux-gnu/libibverbs.so.1.14.39.0
2024/11/10 07:08:29 recorder.go:46: 1731222509556208789 Open       /usr/lib/x86_64-linux-gnu/libibverbs.so.1.14.39.0
2024/11/10 07:08:29 recorder.go:46: 1731222509556534274 Lookup     /usr/lib/x86_64-linux-gnu/libpsm_infinipath.so.1
2024/11/10 07:08:29 recorder.go:46: 1731222509556958615 Lookup     /etc/alternatives
2024/11/10 07:08:29 recorder.go:46: 1731222509556992563 Lookup     /etc/alternatives/libpsm_infinipath.so.1
2024/11/10 07:08:29 recorder.go:46: 1731222509557061790 Lookup     /usr/lib/libpsm1
