2024/11/10 06:52:17 recorder.go:46: 1731221537534907750 Lookup     /etc
2024/11/10 06:52:17 recorder.go:46: 1731221537535121403 Lookup     /etc/host.conf
2024/11/10 06:52:17 recorder.go:46: 1731221537535269063 Lookup     /etc/hosts
2024/11/10 06:52:17 recorder.go:46: 1731221537535370574 Lookup     /etc/nsswitch.conf
2024/11/10 06:52:17 recorder.go:46: 1731221537535425979 Lookup     /etc/resolv.conf
2024/11/10 06:52:17 recorder.go:46: 1731221537535520949 Lookup     /dev
2024/11/10 06:52:17 recorder.go:46: 1731221537535627219 Lookup     /sys
2024/11/10 06:52:17 recorder.go:46: 1731221537535661244 Lookup     /proc
2024/11/10 06:52:17 recorder.go:46: 1731221537535711178 Lookup     /tmp
2024/11/10 06:52:17 recorder.go:46: 1731221537535752406 Lookup     /root
2024/11/10 06:52:17 recorder.go:46: 1731221537535817860 Lookup     /opt
2024/11/10 06:52:17 recorder.go:46: 1731221537535848207 Lookup     /opt/lammps
2024/11/10 06:52:17 recorder.go:46: 1731221537535885477 Lookup     /opt/lammps/examples
2024/11/10 06:52:17 recorder.go:46: 1731221537535930402 Lookup     /opt/lammps/examples/reaxff
2024/11/10 06:52:17 recorder.go:46: 1731221537535977311 Lookup     /opt/lammps/examples/reaxff/HNS
2024/11/10 06:52:17 recorder.go:46: 1731221537536163894 Lookup     /usr
2024/11/10 06:52:17 recorder.go:46: 1731221537536205242 Lookup     /usr/local
2024/11/10 06:52:17 recorder.go:46: 1731221537536238264 Lookup     /usr/local/sbin
2024/11/10 06:52:17 recorder.go:46: 1731221537536365144 Lookup     /usr/local/bin
2024/11/10 06:52:17 recorder.go:46: 1731221537536477466 Lookup     /usr/sbin
2024/11/10 06:52:17 recorder.go:46: 1731221537536602983 Lookup     /usr/bin
2024/11/10 06:52:17 recorder.go:46: 1731221537536656284 Lookup     /usr/bin/lmp
2024/11/10 06:52:17 recorder.go:46: 1731221537537014521 Open       /usr/bin/lmp
2024/11/10 06:52:17 recorder.go:46: 1731221537537587314 Open       /usr/bin/lmp
2024/11/10 06:52:17 recorder.go:46: 1731221537537686521 Lookup     /lib64
2024/11/10 06:52:17 recorder.go:46: 1731221537537752967 Lookup     /usr/lib64
2024/11/10 06:52:17 recorder.go:46: 1731221537537877242 Lookup     /usr/lib64/ld-linux-x86-64.so.2
2024/11/10 06:52:17 recorder.go:46: 1731221537537986538 Lookup     /lib
2024/11/10 06:52:17 recorder.go:46: 1731221537538030852 Lookup     /usr/lib
2024/11/10 06:52:17 recorder.go:46: 1731221537538135860 Lookup     /usr/lib/x86_64-linux-gnu
2024/11/10 06:52:17 recorder.go:46: 1731221537538172469 Lookup     /usr/lib/x86_64-linux-gnu/ld-linux-x86-64.so.2
2024/11/10 06:52:17 recorder.go:46: 1731221537538285543 Open       /usr/lib/x86_64-linux-gnu/ld-linux-x86-64.so.2
2024/11/10 06:52:17 recorder.go:46: 1731221537539112456 Open       /usr/bin/lmp
2024/11/10 06:52:17 recorder.go:46: 1731221537540148394 Open       /usr/lib/x86_64-linux-gnu/ld-linux-x86-64.so.2
2024/11/10 06:52:17 recorder.go:46: 1731221537541388958 Lookup     /etc/ld.so.cache
2024/11/10 06:52:17 recorder.go:46: 1731221537541439684 Open       /etc/ld.so.cache
2024/11/10 06:52:17 recorder.go:46: 1731221537541825954 Lookup     /usr/lib/x86_64-linux-gnu/libgomp.so.1
2024/11/10 06:52:17 recorder.go:46: 1731221537541902669 Lookup     /usr/lib/x86_64-linux-gnu/libgomp.so.1.0.0
2024/11/10 06:52:17 recorder.go:46: 1731221537542005764 Open       /usr/lib/x86_64-linux-gnu/libgomp.so.1.0.0
2024/11/10 06:52:17 recorder.go:46: 1731221537543065967 Lookup     /usr/lib/x86_64-linux-gnu/libmpich.so.12
2024/11/10 06:52:17 recorder.go:46: 1731221537543145377 Lookup     /usr/lib/x86_64-linux-gnu/libmpich.so.12.2.0
2024/11/10 06:52:17 recorder.go:46: 1731221537543237281 Open       /usr/lib/x86_64-linux-gnu/libmpich.so.12.2.0
