2024/11/10 06:55:51 recorder.go:46: 1731221751972024561 Lookup     /etc
2024/11/10 06:55:51 recorder.go:46: 1731221751972548983 Lookup     /etc/host.conf
2024/11/10 06:55:51 recorder.go:46: 1731221751972759551 Lookup     /etc/hosts
2024/11/10 06:55:51 recorder.go:46: 1731221751972809605 Lookup     /etc/nsswitch.conf
2024/11/10 06:55:51 recorder.go:46: 1731221751972848078 Lookup     /etc/resolv.conf
2024/11/10 06:55:51 recorder.go:46: 1731221751972883695 Lookup     /dev
2024/11/10 06:55:51 recorder.go:46: 1731221751972923781 Lookup     /sys
2024/11/10 06:55:51 recorder.go:46: 1731221751972964749 Lookup     /proc
2024/11/10 06:55:51 recorder.go:46: 1731221751973024532 Lookup     /tmp
2024/11/10 06:55:51 recorder.go:46: 1731221751973058326 Lookup     /root
2024/11/10 06:55:51 recorder.go:46: 1731221751973118058 Lookup     /opt
2024/11/10 06:55:51 recorder.go:46: 1731221751973149859 Lookup     /opt/lammps
2024/11/10 06:55:51 recorder.go:46: 1731221751973180196 Lookup     /opt/lammps/examples
2024/11/10 06:55:51 recorder.go:46: 1731221751973225492 Lookup     /opt/lammps/examples/reaxff
2024/11/10 06:55:51 recorder.go:46: 1731221751973274184 Lookup     /opt/lammps/examples/reaxff/HNS
2024/11/10 06:55:51 recorder.go:46: 1731221751973627271 Lookup     /usr
2024/11/10 06:55:51 recorder.go:46: 1731221751973679480 Lookup     /usr/local
2024/11/10 06:55:51 recorder.go:46: 1731221751973714095 Lookup     /usr/local/sbin
2024/11/10 06:55:51 recorder.go:46: 1731221751973843270 Lookup     /usr/local/bin
2024/11/10 06:55:51 recorder.go:46: 1731221751973941816 Lookup     /usr/sbin
2024/11/10 06:55:51 recorder.go:46: 1731221751974048137 Lookup     /usr/bin
2024/11/10 06:55:51 recorder.go:46: 1731221751974130583 Lookup     /usr/bin/lmp
2024/11/10 06:55:51 recorder.go:46: 1731221751974507205 Open       /usr/bin/lmp
2024/11/10 06:55:51 recorder.go:46: 1731221751974772496 Open       /usr/bin/lmp
2024/11/10 06:55:51 recorder.go:46: 1731221751974913212 Lookup     /lib64
2024/11/10 06:55:51 recorder.go:46: 1731221751975000608 Lookup     /usr/lib64
2024/11/10 06:55:51 recorder.go:46: 1731221751975203361 Lookup     /usr/lib64/ld-linux-x86-64.so.2
2024/11/10 06:55:51 recorder.go:46: 1731221751975327886 Lookup     /lib
2024/11/10 06:55:51 recorder.go:46: 1731221751975377170 Lookup     /usr/lib
2024/11/10 06:55:51 recorder.go:46: 1731221751975489302 Lookup     /usr/lib/x86_64-linux-gnu
2024/11/10 06:55:51 recorder.go:46: 1731221751975564885 Lookup     /usr/lib/x86_64-linux-gnu/ld-linux-x86-64.so.2
2024/11/10 06:55:51 recorder.go:46: 1731221751975695461 Open       /usr/lib/x86_64-linux-gnu/ld-linux-x86-64.so.2
2024/11/10 06:55:51 recorder.go:46: 1731221751976712534 Open       /usr/bin/lmp
2024/11/10 06:55:51 recorder.go:46: 1731221751977538275 Open       /usr/lib/x86_64-linux-gnu/ld-linux-x86-64.so.2
2024/11/10 06:55:51 recorder.go:46: 1731221751978657501 Lookup     /etc/ld.so.cache
2024/11/10 06:55:51 recorder.go:46: 1731221751978700943 Open       /etc/ld.so.cache
2024/11/10 06:55:51 recorder.go:46: 1731221751978958440 Lookup     /usr/lib/x86_64-linux-gnu/libgomp.so.1
2024/11/10 06:55:51 recorder.go:46: 1731221751979010799 Lookup     /usr/lib/x86_64-linux-gnu/libgomp.so.1.0.0
2024/11/10 06:55:51 recorder.go:46: 1731221751979089909 Open       /usr/lib/x86_64-linux-gnu/libgomp.so.1.0.0
2024/11/10 06:55:51 recorder.go:46: 1731221751979752451 Lookup     /usr/lib/x86_64-linux-gnu/libmpich.so.12
2024/11/10 06:55:51 recorder.go:46: 1731221751979806504 Lookup     /usr/lib/x86_64-linux-gnu/libmpich.so.12.2.0
2024/11/10 06:55:51 recorder.go:46: 1731221751979888018 Open       /usr/lib/x86_64-linux-gnu/libmpich.so.12.2.0
2024/11/10 06:55:51 recorder.go:46: 1731221751980665237 Lookup     /usr/lib/x86_64-linux-gnu/libstdc++.so.6
2024/11/10 06:55:51 recorder.go:46: 1731221751980733226 Lookup     /usr/lib/x86_64-linux-gnu/libstdc++.so.6.0.30
2024/11/10 06:55:51 recorder.go:46: 1731221751980826632 Open       /usr/lib/x86_64-linux-gnu/libstdc++.so.6.0.30
2024/11/10 06:55:51 recorder.go:46: 1731221751981447967 Lookup     /usr/lib/x86_64-linux-gnu/libm.so.6
2024/11/10 06:55:51 recorder.go:46: 1731221751981501258 Open       /usr/lib/x86_64-linux-gnu/libm.so.6
2024/11/10 06:55:51 recorder.go:46: 1731221751982052309 Lookup     /usr/lib/x86_64-linux-gnu/libgcc_s.so.1
2024/11/10 06:55:51 recorder.go:46: 1731221751982098857 Open       /usr/lib/x86_64-linux-gnu/libgcc_s.so.1
2024/11/10 06:55:51 recorder.go:46: 1731221751982542757 Lookup     /usr/lib/x86_64-linux-gnu/libc.so.6
2024/11/10 06:55:51 recorder.go:46: 1731221751982587812 Open       /usr/lib/x86_64-linux-gnu/libc.so.6
2024/11/10 06:55:51 recorder.go:46: 1731221751983313925 Lookup     /usr/lib/x86_64-linux-gnu/libhwloc.so.15
2024/11/10 06:55:51 recorder.go:46: 1731221751983364771 Lookup     /usr/lib/x86_64-linux-gnu/libhwloc.so.15.5.2
2024/11/10 06:55:51 recorder.go:46: 1731221751983450723 Open       /usr/lib/x86_64-linux-gnu/libhwloc.so.15.5.2
2024/11/10 06:55:51 recorder.go:46: 1731221751984023406 Lookup     /usr/lib/x86_64-linux-gnu/libfabric.so.1
2024/11/10 06:55:51 recorder.go:46: 1731221751984072348 Lookup     /usr/lib/x86_64-linux-gnu/libfabric.so.1.14.0
2024/11/10 06:55:51 recorder.go:46: 1731221751984162950 Open       /usr/lib/x86_64-linux-gnu/libfabric.so.1.14.0
2024/11/10 06:55:51 recorder.go:46: 1731221751984719602 Lookup     /usr/lib/x86_64-linux-gnu/libudev.so.1
2024/11/10 06:55:51 recorder.go:46: 1731221751984769987 Lookup     /usr/lib/x86_64-linux-gnu/libudev.so.1.7.2
2024/11/10 06:55:51 recorder.go:46: 1731221751984852333 Open       /usr/lib/x86_64-linux-gnu/libudev.so.1.7.2
2024/11/10 06:55:51 recorder.go:46: 1731221751985273139 Lookup     /usr/lib/x86_64-linux-gnu/librdmacm.so.1
2024/11/10 06:55:51 recorder.go:46: 1731221751985315909 Lookup     /usr/lib/x86_64-linux-gnu/librdmacm.so.1.3.39.0
2024/11/10 06:55:51 recorder.go:46: 1731221751985391853 Open       /usr/lib/x86_64-linux-gnu/librdmacm.so.1.3.39.0
2024/11/10 06:55:51 recorder.go:46: 1731221751985818359 Lookup     /usr/lib/x86_64-linux-gnu/libefa.so.1
2024/11/10 06:55:51 recorder.go:46: 1731221751985863885 Lookup     /usr/lib/x86_64-linux-gnu/libefa.so.1.1.39.0
2024/11/10 06:55:51 recorder.go:46: 1731221751985938957 Open       /usr/lib/x86_64-linux-gnu/libefa.so.1.1.39.0
2024/11/10 06:55:51 recorder.go:46: 1731221751986358781 Lookup     /usr/lib/x86_64-linux-gnu/libibverbs.so.1
2024/11/10 06:55:51 recorder.go:46: 1731221751986402554 Lookup     /usr/lib/x86_64-linux-gnu/libibverbs.so.1.14.39.0
2024/11/10 06:55:51 recorder.go:46: 1731221751986476874 Open       /usr/lib/x86_64-linux-gnu/libibverbs.so.1.14.39.0
2024/11/10 06:55:51 recorder.go:46: 1731221751986894304 Lookup     /usr/lib/x86_64-linux-gnu/libpsm_infinipath.so.1
2024/11/10 06:55:51 recorder.go:46: 1731221751987345607 Lookup     /etc/alternatives
2024/11/10 06:55:51 recorder.go:46: 1731221751987390492 Lookup     /etc/alternatives/libpsm_infinipath.so.1
2024/11/10 06:55:51 recorder.go:46: 1731221751987488297 Lookup     /usr/lib/libpsm1
2024/11/10 06:55:51 recorder.go:46: 1731221751987522561 Lookup     /usr/lib/libpsm1/libpsm_infinipath.so.1.16
2024/11/10 06:55:51 recorder.go:46: 1731221751987575972 Open       /usr/lib/libpsm1/libpsm_infinipath.so.1.16
2024/11/10 06:55:51 recorder.go:46: 1731221751988176107 Lookup     /usr/lib/x86_64-linux-gnu/libpsm2.so.2
2024/11/10 06:55:51 recorder.go:46: 1731221751988241731 Lookup     /usr/lib/x86_64-linux-gnu/libpsm2.so.2.2
2024/11/10 06:55:51 recorder.go:46: 1731221751988331501 Open       /usr/lib/x86_64-linux-gnu/libpsm2.so.2.2
2024/11/10 06:55:51 recorder.go:46: 1731221751988869147 Lookup     /usr/lib/x86_64-linux-gnu/libnl-3.so.200
2024/11/10 06:55:51 recorder.go:46: 1731221751988949679 Lookup     /usr/lib/x86_64-linux-gnu/libnl-3.so.200.26.0
2024/11/10 06:55:51 recorder.go:46: 1731221751989058675 Open       /usr/lib/x86_64-linux-gnu/libnl-3.so.200.26.0
2024/11/10 06:55:51 recorder.go:46: 1731221751989670492 Lookup     /usr/lib/x86_64-linux-gnu/libnl-route-3.so.200
2024/11/10 06:55:51 recorder.go:46: 1731221751989746225 Lookup     /usr/lib/x86_64-linux-gnu/libnl-route-3.so.200.26.0
2024/11/10 06:55:51 recorder.go:46: 1731221751989850783 Open       /usr/lib/x86_64-linux-gnu/libnl-route-3.so.200.26.0
2024/11/10 06:55:51 recorder.go:46: 1731221751991108601 Lookup     /usr/lib/x86_64-linux-gnu/libinfinipath.so.4
2024/11/10 06:55:51 recorder.go:46: 1731221751991164176 Lookup     /usr/lib/x86_64-linux-gnu/libinfinipath.so.4.0
2024/11/10 06:55:51 recorder.go:46: 1731221751991254246 Open       /usr/lib/x86_64-linux-gnu/libinfinipath.so.4.0
2024/11/10 06:55:51 recorder.go:46: 1731221751991670864 Lookup     /usr/lib/x86_64-linux-gnu/librt.so.1
