2024/11/10 07:08:47 recorder.go:46: 1731222527775664470 Lookup     /etc
2024/11/10 07:08:47 recorder.go:46: 1731222527775871891 Lookup     /etc/host.conf
2024/11/10 07:08:47 recorder.go:46: 1731222527775976638 Lookup     /etc/hosts
2024/11/10 07:08:47 recorder.go:46: 1731222527776010515 Lookup     /etc/nsswitch.conf
2024/11/10 07:08:47 recorder.go:46: 1731222527776041086 Lookup     /etc/resolv.conf
2024/11/10 07:08:47 recorder.go:46: 1731222527776069823 Lookup     /dev
2024/11/10 07:08:47 recorder.go:46: 1731222527776096696 Lookup     /sys
2024/11/10 07:08:47 recorder.go:46: 1731222527776120573 Lookup     /proc
2024/11/10 07:08:47 recorder.go:46: 1731222527776153218 Lookup     /tmp
2024/11/10 07:08:47 recorder.go:46: 1731222527776175893 Lookup     /root
2024/11/10 07:08:47 recorder.go:46: 1731222527776219559 Lookup     /opt
2024/11/10 07:08:47 recorder.go:46: 1731222527776242715 Lookup     /opt/lammps
2024/11/10 07:08:47 recorder.go:46: 1731222527776271091 Lookup     /opt/lammps/examples
2024/11/10 07:08:47 recorder.go:46: 1731222527776299147 Lookup     /opt/lammps/examples/reaxff
2024/11/10 07:08:47 recorder.go:46: 1731222527776329026 Lookup     /opt/lammps/examples/reaxff/HNS
2024/11/10 07:08:47 recorder.go:46: 1731222527776462400 Lookup     /usr
2024/11/10 07:08:47 recorder.go:46: 1731222527776496157 Lookup     /usr/local
2024/11/10 07:08:47 recorder.go:46: 1731222527776522319 Lookup     /usr/local/sbin
2024/11/10 07:08:47 recorder.go:46: 1731222527776609081 Lookup     /usr/local/bin
2024/11/10 07:08:47 recorder.go:46: 1731222527776690231 Lookup     /usr/sbin
2024/11/10 07:08:47 recorder.go:46: 1731222527776775721 Lookup     /usr/bin
2024/11/10 07:08:47 recorder.go:46: 1731222527776819567 Lookup     /usr/bin/lmp
2024/11/10 07:08:47 recorder.go:46: 1731222527777096145 Open       /usr/bin/lmp
2024/11/10 07:08:47 recorder.go:46: 1731222527777574212 Open       /usr/bin/lmp
2024/11/10 07:08:47 recorder.go:46: 1731222527777653218 Lookup     /lib64
2024/11/10 07:08:47 recorder.go:46: 1731222527777759338 Lookup     /usr/lib64
2024/11/10 07:08:47 recorder.go:46: 1731222527777840669 Lookup     /usr/lib64/ld-linux-x86-64.so.2
2024/11/10 07:08:47 recorder.go:46: 1731222527777931489 Lookup     /lib
2024/11/10 07:08:47 recorder.go:46: 1731222527777978803 Lookup     /usr/lib
2024/11/10 07:08:47 recorder.go:46: 1731222527778048952 Lookup     /usr/lib/x86_64-linux-gnu
2024/11/10 07:08:47 recorder.go:46: 1731222527778081927 Lookup     /usr/lib/x86_64-linux-gnu/ld-linux-x86-64.so.2
2024/11/10 07:08:47 recorder.go:46: 1731222527778179450 Open       /usr/lib/x86_64-linux-gnu/ld-linux-x86-64.so.2
2024/11/10 07:08:47 recorder.go:46: 1731222527778760120 Open       /usr/bin/lmp
2024/11/10 07:08:47 recorder.go:46: 1731222527779536387 Open       /usr/lib/x86_64-linux-gnu/ld-linux-x86-64.so.2
2024/11/10 07:08:47 recorder.go:46: 1731222527780735020 Lookup     /etc/ld.so.cache
2024/11/10 07:08:47 recorder.go:46: 1731222527780776382 Open       /etc/ld.so.cache
2024/11/10 07:08:47 recorder.go:46: 1731222527781110083 Lookup     /usr/lib/x86_64-linux-gnu/libmpich.so.12
2024/11/10 07:08:47 recorder.go:46: 1731222527781170853 Lookup     /usr/lib/x86_64-linux-gnu/libmpich.so.12.2.0
2024/11/10 07:08:47 recorder.go:46: 1731222527781272615 Open       /usr/lib/x86_64-linux-gnu/libmpich.so.12.2.0
2024/11/10 07:08:47 recorder.go:46: 1731222527782033792 Lookup     /usr/lib/x86_64-linux-gnu/libgomp.so.1
2024/11/10 07:08:47 recorder.go:46: 1731222527782093340 Lookup     /usr/lib/x86_64-linux-gnu/libgomp.so.1.0.0
2024/11/10 07:08:47 recorder.go:46: 1731222527782155222 Open       /usr/lib/x86_64-linux-gnu/libgomp.so.1.0.0
2024/11/10 07:08:47 recorder.go:46: 1731222527782583520 Lookup     /usr/lib/x86_64-linux-gnu/libstdc++.so.6
2024/11/10 07:08:47 recorder.go:46: 1731222527782628339 Lookup     /usr/lib/x86_64-linux-gnu/libstdc++.so.6.0.30
2024/11/10 07:08:47 recorder.go:46: 1731222527782688899 Open       /usr/lib/x86_64-linux-gnu/libstdc++.so.6.0.30
2024/11/10 07:08:47 recorder.go:46: 1731222527783195963 Lookup     /usr/lib/x86_64-linux-gnu/libm.so.6
2024/11/10 07:08:47 recorder.go:46: 1731222527783238237 Open       /usr/lib/x86_64-linux-gnu/libm.so.6
2024/11/10 07:08:47 recorder.go:46: 1731222527783804488 Lookup     /usr/lib/x86_64-linux-gnu/libgcc_s.so.1
2024/11/10 07:08:47 recorder.go:46: 1731222527783858405 Open       /usr/lib/x86_64-linux-gnu/libgcc_s.so.1
2024/11/10 07:08:47 recorder.go:46: 1731222527784326071 Lookup     /usr/lib/x86_64-linux-gnu/libc.so.6
2024/11/10 07:08:47 recorder.go:46: 1731222527784371090 Open       /usr/lib/x86_64-linux-gnu/libc.so.6
2024/11/10 07:08:47 recorder.go:46: 1731222527784895669 Lookup     /usr/lib/x86_64-linux-gnu/libhwloc.so.15
2024/11/10 07:08:47 recorder.go:46: 1731222527784938333 Lookup     /usr/lib/x86_64-linux-gnu/libhwloc.so.15.5.2
2024/11/10 07:08:47 recorder.go:46: 1731222527785004715 Open       /usr/lib/x86_64-linux-gnu/libhwloc.so.15.5.2
2024/11/10 07:08:47 recorder.go:46: 1731222527785472010 Lookup     /usr/lib/x86_64-linux-gnu/libfabric.so.1
2024/11/10 07:08:47 recorder.go:46: 1731222527785531939 Lookup     /usr/lib/x86_64-linux-gnu/libfabric.so.1.14.0
2024/11/10 07:08:47 recorder.go:46: 1731222527785600364 Open       /usr/lib/x86_64-linux-gnu/libfabric.so.1.14.0
2024/11/10 07:08:47 recorder.go:46: 1731222527785980998 Lookup     /usr/lib/x86_64-linux-gnu/libudev.so.1
2024/11/10 07:08:47 recorder.go:46: 1731222527786026007 Lookup     /usr/lib/x86_64-linux-gnu/libudev.so.1.7.2
2024/11/10 07:08:47 recorder.go:46: 1731222527786103009 Open       /usr/lib/x86_64-linux-gnu/libudev.so.1.7.2
2024/11/10 07:08:47 recorder.go:46: 1731222527786427492 Lookup     /usr/lib/x86_64-linux-gnu/librdmacm.so.1
2024/11/10 07:08:47 recorder.go:46: 1731222527786464966 Lookup     /usr/lib/x86_64-linux-gnu/librdmacm.so.1.3.39.0
2024/11/10 07:08:47 recorder.go:46: 1731222527786546437 Open       /usr/lib/x86_64-linux-gnu/librdmacm.so.1.3.39.0
2024/11/10 07:08:47 recorder.go:46: 1731222527786883956 Lookup     /usr/lib/x86_64-linux-gnu/libefa.so.1
