2024/11/10 06:53:13 recorder.go:46: 1731221593678677532 Lookup     /etc
2024/11/10 06:53:13 recorder.go:46: 1731221593678837104 Lookup     /etc/host.conf
2024/11/10 06:53:13 recorder.go:46: 1731221593678936872 Lookup     /etc/hosts
2024/11/10 06:53:13 recorder.go:46: 1731221593679016022 Lookup     /etc/nsswitch.conf
2024/11/10 06:53:13 recorder.go:46: 1731221593679050878 Lookup     /etc/resolv.conf
2024/11/10 06:53:13 recorder.go:46: 1731221593679082848 Lookup     /dev
2024/11/10 06:53:13 recorder.go:46: 1731221593679110390 Lookup     /sys
2024/11/10 06:53:13 recorder.go:46: 1731221593679131209 Lookup     /proc
2024/11/10 06:53:13 recorder.go:46: 1731221593679158731 Lookup     /tmp
2024/11/10 06:53:13 recorder.go:46: 1731221593679177527 Lookup     /root
2024/11/10 06:53:13 recorder.go:46: 1731221593679228543 Lookup     /opt
2024/11/10 06:53:13 recorder.go:46: 1731221593679279600 Lookup     /opt/lammps
2024/11/10 06:53:13 recorder.go:46: 1731221593679302112 Lookup     /opt/lammps/examples
2024/11/10 06:53:13 recorder.go:46: 1731221593679325887 Lookup     /opt/lammps/examples/reax
2024/11/10 06:53:13 recorder.go:46: 1731221593679350474 Lookup     /opt/lammps/examples/reax/HNS
2024/11/10 06:53:13 recorder.go:46: 1731221593679478756 Lookup     /usr
2024/11/10 06:53:13 recorder.go:46: 1731221593679513602 Lookup     /usr/local
2024/11/10 06:53:13 recorder.go:46: 1731221593679538169 Lookup     /usr/local/sbin
2024/11/10 06:53:13 recorder.go:46: 1731221593679618200 Lookup     /usr/local/bin
2024/11/10 06:53:13 recorder.go:46: 1731221593679689635 Lookup     /usr/sbin
2024/11/10 06:53:13 recorder.go:46: 1731221593679774405 Lookup     /usr/bin
2024/11/10 06:53:13 recorder.go:46: 1731221593679825291 Lookup     /usr/bin/lmp
2024/11/10 06:53:13 recorder.go:46: 1731221593680126972 Open       /usr/bin/lmp
2024/11/10 06:53:13 recorder.go:46: 1731221593680710084 Open       /usr/bin/lmp
2024/11/10 06:53:13 recorder.go:46: 1731221593680823408 Lookup     /lib64
2024/11/10 06:53:13 recorder.go:46: 1731221593680895955 Lookup     /usr/lib64
2024/11/10 06:53:13 recorder.go:46: 1731221593681018587 Lookup     /usr/lib64/ld-linux-x86-64.so.2
2024/11/10 06:53:13 recorder.go:46: 1731221593681111062 Lookup     /lib
2024/11/10 06:53:13 recorder.go:46: 1731221593681161337 Lookup     /usr/lib
2024/11/10 06:53:13 recorder.go:46: 1731221593681261917 Lookup     /usr/lib/x86_64-linux-gnu
2024/11/10 06:53:13 recorder.go:46: 1731221593681300760 Lookup     /usr/lib/x86_64-linux-gnu/ld-linux-x86-64.so.2
2024/11/10 06:53:13 recorder.go:46: 1731221593681407672 Open       /usr/lib/x86_64-linux-gnu/ld-linux-x86-64.so.2
2024/11/10 06:53:13 recorder.go:46: 1731221593682255505 Open       /usr/bin/lmp
2024/11/10 06:53:13 recorder.go:46: 1731221593683254082 Open       /usr/lib/x86_64-linux-gnu/ld-linux-x86-64.so.2
2024/11/10 06:53:13 recorder.go:46: 1731221593684499636 Lookup     /etc/ld.so.cache
2024/11/10 06:53:13 recorder.go:46: 1731221593684553428 Open       /etc/ld.so.cache
2024/11/10 06:53:13 recorder.go:46: 1731221593684757554 Lookup     /usr/lib/x86_64-linux-gnu/libgomp.so.1
2024/11/10 06:53:13 recorder.go:46: 1731221593684801226 Lookup     /usr/lib/x86_64-linux-gnu/libgomp.so.1.0.0
2024/11/10 06:53:13 recorder.go:46: 1731221593684859236 Open       /usr/lib/x86_64-linux-gnu/libgomp.so.1.0.0
2024/11/10 06:53:13 recorder.go:46: 1731221593685484948 Lookup     /usr/lib/x86_64-linux-gnu/libmpich.so.12
2024/11/10 06:53:13 recorder.go:46: 1731221593685547857 Lookup     /usr/lib/x86_64-linux-gnu/libmpich.so.12.2.0
2024/11/10 06:53:13 recorder.go:46: 1731221593685637797 Open       /usr/lib/x86_64-linux-gnu/libmpich.so.12.2.0
2024/11/10 06:53:13 recorder.go:46: 1731221593686240637 Lookup     /usr/lib/x86_64-linux-gnu/libstdc++.so.6
2024/11/10 06:53:13 recorder.go:46: 1731221593686290341 Lookup     /usr/lib/x86_64-linux-gnu/libstdc++.so.6.0.30
2024/11/10 06:53:13 recorder.go:46: 1731221593686379249 Open       /usr/lib/x86_64-linux-gnu/libstdc++.so.6.0.30
2024/11/10 06:53:13 recorder.go:46: 1731221593686951571 Lookup     /usr/lib/x86_64-linux-gnu/libm.so.6
2024/11/10 06:53:13 recorder.go:46: 1731221593686983511 Open       /usr/lib/x86_64-linux-gnu/libm.so.6
2024/11/10 06:53:13 recorder.go:46: 1731221593687364671 Lookup     /usr/lib/x86_64-linux-gnu/libgcc_s.so.1
2024/11/10 06:53:13 recorder.go:46: 1731221593687398836 Open       /usr/lib/x86_64-linux-gnu/libgcc_s.so.1
2024/11/10 06:53:13 recorder.go:46: 1731221593687738117 Lookup     /usr/lib/x86_64-linux-gnu/libc.so.6
2024/11/10 06:53:13 recorder.go:46: 1731221593687773935 Open       /usr/lib/x86_64-linux-gnu/libc.so.6
2024/11/10 06:53:13 recorder.go:46: 1731221593688365142 Lookup     /usr/lib/x86_64-linux-gnu/libhwloc.so.15
2024/11/10 06:53:13 recorder.go:46: 1731221593688419154 Lookup     /usr/lib/x86_64-linux-gnu/libhwloc.so.15.5.2
2024/11/10 06:53:13 recorder.go:46: 1731221593688485770 Open       /usr/lib/x86_64-linux-gnu/libhwloc.so.15.5.2
2024/11/10 06:53:13 recorder.go:46: 1731221593688954145 Lookup     /usr/lib/x86_64-linux-gnu/libfabric.so.1
2024/11/10 06:53:13 recorder.go:46: 1731221593689015301 Lookup     /usr/lib/x86_64-linux-gnu/libfabric.so.1.14.0
2024/11/10 06:53:13 recorder.go:46: 1731221593689113988 Open       /usr/lib/x86_64-linux-gnu/libfabric.so.1.14.0
2024/11/10 06:53:13 recorder.go:46: 1731221593689668836 Lookup     /usr/lib/x86_64-linux-gnu/libudev.so.1
2024/11/10 06:53:13 recorder.go:46: 1731221593689717628 Lookup     /usr/lib/x86_64-linux-gnu/libudev.so.1.7.2
2024/11/10 06:53:13 recorder.go:46: 1731221593689788162 Open       /usr/lib/x86_64-linux-gnu/libudev.so.1.7.2
2024/11/10 06:53:13 recorder.go:46: 1731221593690123966 Lookup     /usr/lib/x86_64-linux-gnu/librdmacm.so.1
2024/11/10 06:53:13 recorder.go:46: 1731221593690163541 Lookup     /usr/lib/x86_64-linux-gnu/librdmacm.so.1.3.39.0
2024/11/10 06:53:13 recorder.go:46: 1731221593690231880 Open       /usr/lib/x86_64-linux-gnu/librdmacm.so.1.3.39.0
2024/11/10 06:53:13 recorder.go:46: 1731221593690624813 Lookup     /usr/lib/x86_64-linux-gnu/libefa.so.1
2024/11/10 06:53:13 recorder.go:46: 1731221593690693814 Lookup     /usr/lib/x86_64-linux-gnu/libefa.so.1.1.39.0
2024/11/10 06:53:13 recorder.go:46: 1731221593690772462 Open       /usr/lib/x86_64-linux-gnu/libefa.so.1.1.39.0
2024/11/10 06:53:13 recorder.go:46: 1731221593691157740 Lookup     /usr/lib/x86_64-linux-gnu/libibverbs.so.1
2024/11/10 06:53:13 recorder.go:46: 1731221593691204639 Lookup     /usr/lib/x86_64-linux-gnu/libibverbs.so.1.14.39.0
2024/11/10 06:53:13 recorder.go:46: 1731221593691270363 Open       /usr/lib/x86_64-linux-gnu/libibverbs.so.1.14.39.0
2024/11/10 06:53:13 recorder.go:46: 1731221593691641545 Lookup     /usr/lib/x86_64-linux-gnu/libpsm_infinipath.so.1
2024/11/10 06:53:13 recorder.go:46: 1731221593691760049 Lookup     /etc/alternatives
2024/11/10 06:53:13 recorder.go:46: 1731221593691789404 Lookup     /etc/alternatives/libpsm_infinipath.so.1
2024/11/10 06:53:13 recorder.go:46: 1731221593691856371 Lookup     /usr/lib/libpsm1
2024/11/10 06:53:13 recorder.go:46: 1731221593691879785 Lookup     /usr/lib/libpsm1/libpsm_infinipath.so.1.16
2024/11/10 06:53:13 recorder.go:46: 1731221593691915332 Open       /usr/lib/libpsm1/libpsm_infinipath.so.1.16
2024/11/10 06:53:13 recorder.go:46: 1731221593692918438 Lookup     /usr/lib/x86_64-linux-gnu/libpsm2.so.2
2024/11/10 06:53:13 recorder.go:46: 1731221593692985836 Lookup     /usr/lib/x86_64-linux-gnu/libpsm2.so.2.2
2024/11/10 06:53:13 recorder.go:46: 1731221593693073762 Open       /usr/lib/x86_64-linux-gnu/libpsm2.so.2.2
2024/11/10 06:53:13 recorder.go:46: 1731221593693458539 Lookup     /usr/lib/x86_64-linux-gnu/libnl-3.so.200
2024/11/10 06:53:13 recorder.go:46: 1731221593693515357 Lookup     /usr/lib/x86_64-linux-gnu/libnl-3.so.200.26.0
2024/11/10 06:53:13 recorder.go:46: 1731221593693595849 Open       /usr/lib/x86_64-linux-gnu/libnl-3.so.200.26.0
2024/11/10 06:53:13 recorder.go:46: 1731221593694024739 Lookup     /usr/lib/x86_64-linux-gnu/libnl-route-3.so.200
2024/11/10 06:53:13 recorder.go:46: 1731221593694074493 Lookup     /usr/lib/x86_64-linux-gnu/libnl-route-3.so.200.26.0
2024/11/10 06:53:13 recorder.go:46: 1731221593694139226 Open       /usr/lib/x86_64-linux-gnu/libnl-route-3.so.200.26.0
2024/11/10 06:53:13 recorder.go:46: 1731221593695056189 Lookup     /usr/lib/x86_64-linux-gnu/libinfinipath.so.4
2024/11/10 06:53:13 recorder.go:46: 1731221593695109329 Lookup     /usr/lib/x86_64-linux-gnu/libinfinipath.so.4.0
2024/11/10 06:53:13 recorder.go:46: 1731221593695168581 Open       /usr/lib/x86_64-linux-gnu/libinfinipath.so.4.0
2024/11/10 06:53:13 recorder.go:46: 1731221593695565862 Lookup     /usr/lib/x86_64-linux-gnu/librt.so.1
2024/11/10 06:53:13 recorder.go:46: 1731221593695617259 Open       /usr/lib/x86_64-linux-gnu/librt.so.1
2024/11/10 06:53:13 recorder.go:46: 1731221593695915723 Lookup     /usr/lib/x86_64-linux-gnu/libpthread.so.0
2024/11/10 06:53:13 recorder.go:46: 1731221593695942273 Open       /usr/lib/x86_64-linux-gnu/libpthread.so.0
2024/11/10 06:53:13 recorder.go:46: 1731221593696198307 Lookup     /usr/lib/x86_64-linux-gnu/libdl.so.2
2024/11/10 06:53:13 recorder.go:46: 1731221593696230278 Open       /usr/lib/x86_64-linux-gnu/libdl.so.2
2024/11/10 06:53:13 recorder.go:46: 1731221593696535234 Lookup     /usr/lib/x86_64-linux-gnu/libuuid.so.1
2024/11/10 06:53:13 recorder.go:46: 1731221593696581161 Lookup     /usr/lib/x86_64-linux-gnu/libuuid.so.1.3.0
2024/11/10 06:53:13 recorder.go:46: 1731221593696648037 Open       /usr/lib/x86_64-linux-gnu/libuuid.so.1.3.0
2024/11/10 06:53:13 recorder.go:46: 1731221593696938196 Lookup     /usr/lib/x86_64-linux-gnu/libnuma.so.1
2024/11/10 06:53:13 recorder.go:46: 1731221593696977650 Lookup     /usr/lib/x86_64-linux-gnu/libnuma.so.1.0.0
